time,position,t,p,v
2024-12-07 02:49:02.420084,0,34,1079,2.68
2024-12-07 03:35:36.889877,1,33,1052,2.68
2024-12-07 03:35:37.516825,3,38,1044,2.74
2024-12-07 03:35:41.516767,1,33,1052,2.68
2024-12-07 03:35:46.956794,2,33,957,2.68
2024-12-07 03:38:35.007068,0,33,1075,2.68
2024-12-07 03:38:35.00989,3,38,1044,2.74
2024-12-07 03:38:48.682188,3,38,1044,2.74
2024-12-07 03:38:48.686678,0,33,1075,2.68
2024-12-07 03:38:48.689556,0,33,1075,2.68
2024-12-07 04:27:21.285537,1,32,1048,2.66
2024-12-07 04:27:32.167828,0,33,1072,2.66
2024-12-07 04:27:34.218114,3,37,1043,2.72
2024-12-07 04:27:38.230543,2,34,965,2.68
2024-12-07 04:27:50.949453,1,32,1048,2.66
2024-12-07 04:28:17.067684,2,34,960,2.68
2024-12-07 04:28:21.238301,1,32,1052,2.66
2024-12-07 04:28:31.13766,1,32,1052,2.66
2024-12-07 05:04:21.333396,1,32,1047,2.66
2024-12-07 06:30:03.922407,3,35,1034,2.7
2024-12-07 06:30:17.081957,2,33,955,2.66
2024-12-07 06:30:31.180394,1,30,1045,2.64
2024-12-07 06:30:34.182011,3,35,1033,2.7
2024-12-07 06:30:36.871925,2,33,955,2.66
2024-12-07 10:47:22.401923,0,35,1081,2.64
2024-12-07 10:47:51.611818,1,32,1056,2.62
2024-12-07 10:48:02.581456,0,35,1080,2.66
2024-12-07 10:48:21.316818,1,32,1056,2.62
2024-12-07 10:48:42.771444,0,35,1080,2.66
2024-12-07 10:48:46.817194,2,35,965,2.66
2024-12-07 10:48:51.057133,1,32,1056,2.62
2024-12-07 10:48:54.047052,3,36,1038,2.68
2024-12-07 10:48:56.71236,2,35,965,2.66
2024-12-07 10:49:02.5809,0,35,1080,2.66
2024-12-07 10:49:04.52408,3,36,1038,2.68
2024-12-07 10:49:12.476467,0,35,1080,2.66
2024-12-07 10:49:15.243615,3,36,1038,2.68
2024-12-07 10:49:21.322564,1,32,1055,2.62
2024-12-07 11:35:22.406405,0,37,1098,2.68
2024-12-07 11:35:26.989536,2,40,973,2.68
2024-12-07 11:35:35.468483,3,38,1054,2.7
2024-12-07 11:35:44.11157,3,38,1054,2.7
2024-12-07 11:36:03.970574,3,38,1054,2.7
2024-12-07 11:36:12.208087,2,40,973,2.68
2024-12-07 11:36:14.420139,3,38,1057,2.7
2024-12-07 11:36:17.107533,2,40,977,2.68
2024-12-07 11:36:22.411106,0,37,1088,2.68
2024-12-07 11:36:36.911856,2,40,977,2.68
2024-12-07 11:36:41.152816,1,38,1074,2.66
2024-12-07 11:37:02.586999,0,38,1089,2.68
2024-12-07 11:37:06.627407,2,40,977,2.68
2024-12-07 11:37:11.430421,1,38,1076,2.66
2024-12-07 11:37:12.531861,0,38,1089,2.68
2024-12-07 11:37:26.99689,2,40,981,2.7
2024-12-07 11:37:31.273518,1,38,1076,2.66
2024-12-07 11:37:32.882127,0,38,1093,2.68
2024-12-07 11:37:36.905933,2,40,981,2.7
2024-12-07 11:37:42.791161,0,38,1093,2.68
2024-12-07 11:37:54.04092,3,38,1050,2.7
2024-12-07 11:38:01.525546,1,38,1071,2.66
2024-12-07 11:38:04.506433,3,39,1049,2.7
2024-12-07 11:38:12.501708,0,38,1093,2.68
2024-12-07 02:49:03.839733,3,39,1046,2.74
2024-12-07 02:49:12.349588,0,34,1079,2.68
2024-12-07 03:35:44.067123,3,38,1043,2.74
2024-12-07 03:36:30.036921,1,33,1052,2.68
2024-12-07 03:36:30.039617,0,33,1075,2.68
2024-12-07 03:36:31.186831,1,33,1052,2.68
2024-12-07 03:36:32.186759,0,34,1075,2.66
2024-12-07 03:36:44.037519,3,38,1043,2.74
2024-12-07 03:38:51.521791,1,33,1051,2.68
2024-12-07 03:38:53.951544,3,38,1044,2.74
2024-12-07 03:39:03.851434,3,38,1044,2.74
2024-12-07 04:27:22.272267,0,33,1072,2.66
2024-12-07 04:27:24.267239,3,37,1043,2.72
2024-12-07 04:27:46.782192,2,34,965,2.68
2024-12-07 04:27:56.689689,2,34,965,2.68
2024-12-07 05:09:58.38688,1,32,1047,2.66
2024-12-07 05:10:01.452641,1,32,1047,2.66
2024-12-07 05:10:02.197751,0,33,1077,2.64
2024-12-07 05:10:09.388765,1,32,1047,2.66
2024-12-07 05:10:31.150457,1,32,1047,2.66
2024-12-07 05:10:44.076657,3,36,1040,2.7
2024-12-07 05:10:52.566863,0,33,1076,2.66
2024-12-07 05:10:53.981371,3,36,1040,2.7
2024-12-07 05:11:01.441387,1,32,1049,2.64
2024-12-07 05:11:06.634039,2,34,952,2.68
2024-12-07 05:11:11.356959,1,32,1049,2.64
2024-12-07 05:11:17.067842,2,35,956,2.68
2024-12-07 05:11:21.728842,1,32,1049,2.64
2024-12-07 05:11:22.283922,0,33,1076,2.66
2024-12-07 09:20:42.741457,0,34,1075,2.64
2024-12-07 09:20:51.037578,1,31,1051,2.62
2024-12-07 09:20:52.672253,0,34,1075,2.64
2024-12-07 09:20:54.027677,3,35,1036,2.68
2024-12-07 10:47:26.997419,2,35,962,2.66
2024-12-07 10:47:46.796417,2,35,962,2.66
2024-12-07 10:48:03.932011,3,36,1038,2.68
2024-12-07 10:48:32.306772,0,35,1080,2.66
2024-12-07 10:49:31.235012,1,32,1055,2.62
2024-12-07 10:49:32.863576,0,35,1079,2.66
2024-12-07 10:49:36.894009,2,35,964,2.64
2024-12-07 11:35:07.549407,3,38,1049,2.7
2024-12-07 11:35:08.633954,2,40,979,2.68
2024-12-07 11:35:21.357483,1,38,1072,2.66
2024-12-07 11:35:31.239411,1,38,1072,2.66
2024-12-07 11:35:36.967165,2,40,973,2.68
2024-12-07 11:35:51.646136,1,38,1074,2.66
2024-12-07 11:35:52.690904,0,37,1088,2.68
2024-12-07 11:36:32.308858,0,37,1088,2.68
2024-12-07 11:36:52.701592,0,38,1089,2.68
2024-12-07 11:36:54.037738,3,38,1057,2.7
