time,position,t,p,v
2024-12-03 01:53:59.145873,3,48,1085,2.86
2024-12-03 01:54:09.485062,2,48,1004,2.84
2024-12-03 01:54:29.297844,2,48,1004,2.84
2024-12-03 01:54:38.778618,3,48,1085,2.86
2024-12-03 01:54:59.020225,2,48,1004,2.84
2024-12-03 01:55:24.096988,1,45,1100,2.82
2024-12-03 01:55:27.106451,0,44,1111,2.8
2024-12-03 01:55:47.504809,0,44,1122,2.8
2024-12-03 01:55:54.381747,1,46,1098,2.82
2024-12-03 01:56:07.308351,0,44,1122,2.8
2024-12-03 01:56:39.210095,2,48,995,2.84
2024-12-03 01:56:43.911504,1,46,1098,2.82
2024-12-03 01:56:59.604408,2,48,1006,2.84
2024-12-03 01:57:14.188519,1,45,1100,2.82
2024-12-03 01:57:37.578724,0,44,1126,2.8
2024-12-03 01:57:49.118352,2,48,1006,2.84
2024-12-03 01:57:54.381654,1,45,1091,2.8
2024-12-03 01:57:59.144145,3,48,1084,2.86
2024-12-03 01:58:09.046957,3,48,1084,2.86
2024-12-03 01:58:28.860348,3,48,1084,2.86
2024-12-03 01:58:29.30733,2,48,1006,2.84
2024-12-03 01:58:31.327097,0,44,1126,2.8
2024-12-03 01:58:39.225063,2,48,1006,2.84
2024-12-03 01:58:43.89731,1,45,1091,2.8
2024-12-03 01:58:47.496965,0,44,1108,2.8
2024-12-03 04:18:44.840672,1,44,1093,2.78
2024-12-03 04:18:48.810333,3,45,1076,2.82
2024-12-03 04:19:17.329703,0,41,1103,2.78
2024-12-03 04:19:22.334616,3,45,1074,2.82
2024-12-03 04:20:48.793696,3,45,1072,2.82
2024-12-03 05:21:09.207415,3,45,1076,2.82
2024-12-03 05:21:09.665249,2,48,1010,2.82
2024-12-03 05:21:09.688234,2,48,1010,2.82
2024-12-03 05:21:14.378557,1,46,1102,2.8
2024-12-03 05:21:27.266649,0,42,1107,2.78
2024-12-03 05:21:44.672849,1,46,1102,2.8
2024-12-03 05:22:04.488384,1,46,1102,2.8
2024-12-03 05:22:09.218508,3,45,1073,2.82
2024-12-03 05:22:34.191451,1,46,1102,2.8
2024-12-03 05:22:39.378025,2,48,1013,2.82
2024-12-03 05:22:44.112421,1,46,1102,2.8
2024-12-03 05:22:47.639468,0,42,1105,2.78
2024-12-03 05:22:48.842636,3,45,1073,2.82
2024-12-03 05:22:57.558681,0,42,1105,2.78
2024-12-03 05:23:04.485723,1,46,1104,2.8
2024-12-03 05:23:09.668815,2,48,1013,2.82
2024-12-03 05:23:19.576902,2,48,1013,2.82
2024-12-03 05:23:34.198701,1,46,1104,2.8
2024-12-03 05:23:54.573511,1,46,1102,2.8
2024-12-03 05:24:09.668584,2,48,1014,2.82
2024-12-03 05:24:24.280151,1,46,1102,2.8
2024-12-03 05:24:31.352,1,46,1102,2.8
2024-12-03 05:24:37.766118,0,42,1106,2.76
2024-12-03 05:24:38.942032,3,45,1077,2.82
2024-12-03 05:24:57.566764,0,42,1106,2.76
2024-12-03 05:24:59.783274,2,48,1014,2.82
2024-12-03 05:25:19.577381,2,48,1014,2.82
2024-12-03 05:25:34.20733,1,46,1109,2.8
2024-12-03 05:25:44.681476,1,46,1106,2.8
2024-12-03 05:25:47.658626,0,42,1105,2.78
