time,position,t,p,v
2024-12-09 00:38:34.542066,3,38,1048,2.72
2024-12-09 00:38:34.598754,0,35,1076,2.68
2024-12-09 00:38:35.972257,3,38,1049,2.72
2024-12-09 00:38:39.62658,2,37,963,2.7
2024-12-09 00:38:43.69719,1,37,1058,2.7
2024-12-09 00:38:54.147125,1,37,1059,2.7
2024-12-09 00:39:06.25286,3,38,1048,2.72
2024-12-09 00:39:09.327934,2,37,963,2.7
2024-12-09 00:39:13.972021,1,37,1059,2.7
2024-12-09 00:39:14.132731,0,35,1077,2.68
2024-12-09 00:39:19.817918,2,37,963,2.72
2024-12-09 00:39:25.158099,3,38,1048,2.72
2024-12-09 00:39:29.717616,2,37,963,2.72
2024-12-09 00:39:33.943465,0,35,1077,2.68
2024-12-09 00:39:43.672567,1,37,1059,2.7
2024-12-09 00:39:45.897561,3,38,1048,2.72
2024-12-09 00:39:53.607497,1,37,1059,2.7
2024-12-09 00:39:54.323007,0,35,1075,2.68
2024-12-09 00:39:59.43227,2,37,963,2.72
2024-12-09 00:40:04.052658,1,36,1060,2.7
2024-12-09 00:40:04.235987,0,35,1075,2.68
2024-12-09 00:40:05.683967,3,38,1048,2.72
2024-12-09 00:40:09.34277,2,37,963,2.72
2024-12-09 00:40:13.272519,0,35,1075,2.68
2024-12-09 00:40:19.812767,2,37,963,2.7
2024-12-09 00:40:24.035189,0,35,1075,2.68
2024-12-09 00:40:29.723071,2,37,963,2.7
2024-12-09 00:40:33.768449,1,36,1060,2.7
2024-12-09 00:40:33.953986,0,35,1075,2.68
2024-12-09 00:40:35.983326,3,38,1048,2.72
2024-12-09 00:40:43.683578,1,36,1060,2.7
2024-12-09 00:40:49.513037,2,37,963,2.7
2024-12-09 00:40:54.333605,0,35,1073,2.68
2024-12-09 00:41:04.233131,0,35,1073,2.68
2024-12-09 00:41:05.683421,3,38,1048,2.72
2024-12-09 00:41:09.344466,2,37,963,2.7
2024-12-09 00:41:12.813257,2,37,963,2.7
2024-12-09 00:41:13.973121,1,36,1059,2.7
2024-12-09 00:41:33.933776,0,35,1073,2.68
2024-12-09 00:41:35.968657,3,38,1049,2.72
2024-12-09 00:41:59.439207,2,37,964,2.7
2024-12-09 00:42:24.074534,0,35,1076,2.68
2024-12-09 00:42:26.075603,3,38,1048,2.72
2024-12-09 00:42:29.728023,2,37,963,2.7
2024-12-09 00:42:33.773887,1,36,1058,2.7
2024-12-09 00:42:39.619922,2,37,963,2.7
2024-12-09 00:42:54.334898,0,34,1078,2.68
2024-12-09 00:42:55.785468,3,38,1048,2.72
2024-12-09 00:43:04.064961,1,36,1062,2.7
2024-12-09 00:41:14.173414,0,35,1073,2.68
2024-12-09 00:41:16.164548,3,38,1049,2.72
2024-12-09 00:41:19.804768,2,37,964,2.7
2024-12-09 00:41:44.438197,0,35,1076,2.68
2024-12-09 00:41:54.324239,0,35,1076,2.68
2024-12-09 00:43:16.155257,3,38,1053,2.72
2024-12-09 00:43:19.819485,2,37,958,2.7
2024-12-09 00:43:34.514876,0,35,1075,2.68
2024-12-09 00:43:35.995445,3,38,1053,2.72
2024-12-09 00:43:39.626201,2,37,958,2.7
2024-12-09 00:43:45.895256,3,38,1053,2.72
2024-12-09 00:43:53.595032,1,36,1062,2.7
2024-12-09 00:44:44.425786,0,35,1079,2.68
2024-12-09 00:42:44.424591,0,34,1078,2.68
2024-12-09 00:43:09.334789,2,37,963,2.7
2024-12-09 00:43:14.135188,0,34,1078,2.68
2024-12-09 00:43:33.784592,1,36,1062,2.7
2024-12-09 00:43:43.685154,1,36,1062,2.7
2024-12-09 00:43:55.788407,3,38,1053,2.72
2024-12-09 00:43:59.42,2,37,958,2.7
2024-12-09 00:44:14.125529,0,35,1075,2.68
2024-12-09 00:44:16.159981,3,38,1047,2.72
2024-12-09 00:44:19.799871,2,37,963,2.7
2024-12-09 00:44:23.885617,1,36,1061,2.7
2024-12-09 00:44:25.175189,3,38,1047,2.72
2024-12-09 00:44:29.735664,2,37,963,2.7
2024-12-09 00:44:45.875207,3,38,1047,2.72
2024-12-09 00:44:54.16614,1,36,1058,2.7
2024-12-09 00:44:54.315492,0,35,1079,2.68
2024-12-09 00:44:55.770627,3,38,1047,2.72
2024-12-09 00:44:59.435893,2,37,963,2.7
2024-12-09 00:45:04.235261,0,35,1079,2.68
2024-12-09 00:45:04.255628,0,35,1079,2.68
2024-12-09 00:45:05.695698,3,38,1047,2.72
2024-12-09 00:45:09.335964,2,37,963,2.7
2024-12-09 00:45:13.975775,1,36,1058,2.7
2024-12-09 00:45:35.966734,3,38,1048,2.72
2024-12-09 00:45:39.606355,2,37,964,2.7
2024-12-09 00:45:53.60603,1,36,1058,2.7
2024-12-09 00:46:12.896088,2,37,964,2.7
2024-12-09 00:46:13.967388,1,36,1055,2.7
2024-12-09 00:46:14.136634,0,34,1074,2.68
2024-12-09 00:46:16.187231,3,38,1056,2.72
2024-12-09 00:46:26.066251,3,38,1056,2.72
2024-12-09 00:46:29.712148,2,37,957,2.7
2024-12-09 00:46:34.512565,0,34,1076,2.68
