time,position,t,p,v
2024-12-11 12:52:57.981051,3,54,1100,2.86
2024-12-11 12:53:02.765276,2,62,1042,2.9
2024-12-11 12:53:16.26431,0,50,1132,2.82
2024-12-11 12:53:18.37022,3,54,1107,2.86
2024-12-11 12:53:33.063586,2,62,1034,2.9
2024-12-11 12:53:38.174264,3,54,1107,2.86
2024-12-11 12:53:56.484758,0,50,1136,2.82
2024-12-11 12:54:17.051935,1,58,1139,2.88
2024-12-11 12:54:19.987661,3,54,1101,2.86
2024-12-11 12:54:23.135151,2,62,1038,2.9
2024-12-11 12:54:26.949477,1,58,1139,2.88
2024-12-11 12:54:36.106366,0,50,1136,2.82
2024-12-11 12:54:48.850228,3,54,1101,2.86
2024-12-11 12:54:56.486324,0,51,1130,2.82
2024-12-11 12:55:07.911599,3,54,1101,2.86
2024-12-11 12:55:07.961081,0,51,1130,2.82
2024-12-11 12:55:28.280509,3,54,1101,2.86
2024-12-11 12:55:33.057994,2,62,1042,2.9
2024-12-11 12:56:17.043214,1,58,1139,2.88
2024-12-11 12:56:23.727574,2,62,1042,2.9
2024-12-11 12:56:26.186738,0,50,1129,2.82
2024-12-11 12:56:26.971458,1,58,1139,2.88
2024-12-11 12:56:46.564702,0,51,1131,2.84
2024-12-11 12:56:48.096077,3,54,1101,2.86
2024-12-11 12:57:07.900068,3,54,1101,2.86
2024-12-11 12:57:23.193138,2,62,1038,2.9
2024-12-11 12:57:26.957097,1,58,1137,2.88
2024-12-11 14:59:42.927904,1,55,1128,2.86
2024-12-11 15:00:16.475836,0,48,1123,2.82
2024-12-11 15:00:26.417429,1,56,1132,2.86
2024-12-11 15:00:38.384372,3,53,1096,2.86
2024-12-11 15:00:57.502242,1,56,1131,2.88
2024-12-11 15:01:05.778244,1,56,1131,2.88
2024-12-11 15:01:06.543277,0,48,1121,2.82
2024-12-11 15:01:42.94911,1,56,1131,2.88
2024-12-11 15:02:05.768984,1,56,1133,2.86
2024-12-11 15:02:06.549051,0,49,1124,2.82
2024-12-11 15:02:38.800103,1,56,1133,2.86
2024-12-11 15:03:08.093824,3,53,1096,2.86
2024-12-11 15:03:26.367491,0,48,1123,2.82
2024-12-11 15:03:30.562669,1,56,1131,2.88
2024-12-11 15:03:38.410964,3,52,1096,2.86
2024-12-11 15:03:38.839973,1,56,1131,2.88
2024-12-11 15:04:03.061764,2,59,1032,2.9
2024-12-11 15:04:16.457673,0,49,1122,2.82
2024-12-11 15:04:27.612643,3,53,1105,2.86
2024-12-11 15:04:28.49668,3,53,1105,2.86
2024-12-11 15:04:33.356058,2,59,1034,2.9
2024-12-11 15:04:36.286344,0,49,1122,2.82
2024-12-11 15:04:42.976697,1,56,1132,2.88
2024-12-11 15:04:46.746354,0,49,1133,2.82
2024-12-11 15:04:51.215375,1,56,1132,2.88
2024-12-11 15:30:58.267427,3,53,1115,2.88
2024-12-11 15:31:08.152074,3,53,1115,2.88
2024-12-11 15:31:33.437273,2,60,1037,2.92
2024-12-11 15:31:43.337426,2,60,1037,2.92
2024-12-11 15:33:06.604422,0,49,1127,2.82
2024-12-11 15:33:18.630213,3,53,1106,2.86
2024-12-11 15:33:26.407269,0,49,1127,2.82
2024-12-11 15:33:36.889336,0,49,1125,2.84
2024-12-11 15:33:46.794336,0,49,1125,2.84
2024-12-11 15:34:13.077218,2,60,1033,2.92
2024-12-11 15:34:18.641891,3,53,1101,2.88
2024-12-11 15:34:23.566143,2,61,1039,2.92
2024-12-11 15:34:29.66207,3,53,1101,2.88
2024-12-11 15:34:38.456929,3,53,1101,2.88
2024-12-11 15:34:46.791687,0,49,1127,2.84
2024-12-11 15:34:48.346997,3,53,1101,2.88
2024-12-11 15:34:58.237624,3,53,1101,2.88
2024-12-11 15:35:06.607122,0,49,1127,2.84
2024-12-11 15:35:08.452459,3,53,1101,2.88
2024-12-11 15:35:48.321805,3,53,1101,2.88
2024-12-11 15:35:57.027038,1,57,1136,2.88
2024-12-11 15:36:06.627078,0,49,1123,2.82
2024-12-11 15:36:13.682764,2,61,1030,2.92
2024-12-11 15:36:26.427365,0,49,1123,2.82
2024-12-11 16:56:56.800201,0,48,1126,2.82
2024-12-11 16:56:57.181685,1,55,1135,2.88
2024-12-11 16:56:58.349636,3,53,1096,2.86
2024-12-11 16:57:03.363626,2,58,1029,2.9
2024-12-11 16:57:23.732741,2,59,1029,2.92
2024-12-11 16:57:36.978396,0,48,1125,2.82
