time,position,t,p,v
2024-12-01 10:59:26.94071,3,39,1046,2.74
2024-12-01 10:59:27.085335,2,34,961,2.64
2024-12-01 10:59:41.687974,1,32,1052,2.6
2024-12-01 12:51:56.81338,2,31,953,2.6
2024-12-01 12:51:57.254004,3,37,1039,2.72
2024-12-01 12:52:07.321505,2,31,956,2.6
2024-12-01 12:52:11.987129,1,30,1049,2.58
2024-12-01 12:52:25.372561,0,34,1080,2.64
2024-12-01 12:52:31.818452,1,30,1049,2.58
2024-12-01 12:52:38.49331,3,37,1039,2.72
2024-12-01 12:52:55.66251,0,34,1079,2.64
2024-12-01 17:59:36.00193,0,30,1066,2.6
2024-12-01 17:59:52.245085,1,27,1035,2.54
2024-12-01 17:59:55.765512,0,30,1066,2.6
2024-12-01 18:00:46.87092,2,27,940,2.54
2024-12-01 18:00:56.736021,3,32,1035,2.64
2024-12-01 18:00:56.777596,2,27,940,2.54
2024-12-01 18:05:36.930739,3,32,1029,2.64
2024-12-01 18:05:36.959589,2,28,949,2.54
2024-12-01 18:05:56.784624,2,28,949,2.54
2024-12-01 18:06:27.035091,3,32,1028,2.64
2024-12-01 18:06:27.060021,2,28,948,2.54
2024-12-01 18:06:52.240371,1,28,1044,2.54
2024-12-01 18:07:07.247517,2,28,942,2.56
2024-12-01 18:07:17.140547,2,28,942,2.56
2024-12-01 18:07:26.076132,0,30,1074,2.6
2024-12-01 18:07:31.891778,1,28,1044,2.54
2024-12-01 18:07:45.861358,0,30,1074,2.6
2024-12-01 18:08:27.060193,2,28,944,2.56
2024-12-01 18:08:41.766981,1,28,1041,2.54
2024-12-01 18:09:05.6472,0,30,1064,2.6
2024-12-01 18:09:14.557732,1,28,1053,2.54
2024-12-01 18:09:17.10368,3,32,1030,2.64
2024-12-01 18:09:17.112654,3,32,1030,2.64
2024-12-01 18:09:17.16838,2,28,954,2.56
2024-12-01 18:09:21.952364,1,28,1053,2.54
2024-12-01 18:09:27.008568,3,32,1030,2.64
2024-12-01 18:09:27.049488,2,28,954,2.56
2024-12-01 18:09:35.947715,0,31,1067,2.6
2024-12-01 18:09:46.813537,3,32,1030,2.64
2024-12-01 18:10:07.198433,3,32,1033,2.64
2024-12-01 18:10:07.244012,2,29,957,2.56
2024-12-01 18:10:17.143843,2,29,957,2.56
2024-12-01 18:10:21.949776,1,28,1048,2.56
2024-12-01 18:10:31.86362,1,28,1048,2.56
