time,position,t,p,v
2024-12-05 02:53:51.401824,0,41,1099,2.76
2024-12-05 02:53:51.46179,0,41,1099,2.76
2024-12-05 02:53:51.464088,1,41,1083,2.78
2024-12-05 02:54:01.836724,3,44,1071,2.82
2024-12-05 09:18:46.817207,0,40,1091,2.74
2024-12-05 09:18:46.879659,3,39,1058,2.74
2024-12-05 09:18:48.446968,1,35,1067,2.68
2024-12-05 09:18:52.081867,3,39,1057,2.74
2024-12-05 09:18:54.037788,2,42,987,2.76
2024-12-05 09:19:12.47244,3,39,1058,2.74
2024-12-05 09:19:14.381711,2,42,987,2.74
2024-12-05 09:19:22.375909,3,39,1058,2.74
2024-12-05 09:19:22.413725,3,39,1058,2.74
2024-12-05 09:19:24.304198,2,42,987,2.74
2024-12-05 09:19:28.632915,1,35,1067,2.68
2024-12-05 09:19:28.673792,1,35,1067,2.68
2024-12-05 09:19:32.267092,3,39,1058,2.74
2024-12-05 13:12:38.630828,1,37,1072,2.68
2024-12-05 13:12:40.945598,0,38,1087,2.72
2024-12-05 13:12:52.190013,3,39,1049,2.72
2024-12-05 13:13:08.955054,1,37,1072,2.68
2024-12-05 13:13:10.64608,0,38,1087,2.72
2024-12-05 13:13:18.841351,1,37,1072,2.68
2024-12-05 13:13:20.551461,0,38,1087,2.72
2024-12-05 13:13:24.405137,2,41,976,2.72
2024-12-05 13:13:28.767044,1,37,1072,2.68
2024-12-05 13:13:30.467814,0,38,1087,2.72
2024-12-05 13:13:30.52646,0,38,1087,2.72
2024-12-05 13:13:48.541699,1,37,1072,2.68
2024-12-05 13:13:52.183891,3,39,1061,2.72
2024-12-05 13:13:54.138924,2,41,976,2.72
2024-12-05 13:13:59.026952,1,37,1066,2.66
2024-12-05 13:14:00.771968,0,38,1097,2.72
2024-12-05 13:14:04.023746,2,41,976,2.72
2024-12-05 13:14:12.556974,3,39,1051,2.72
2024-12-05 13:14:22.466805,3,39,1051,2.72
2024-12-05 13:14:22.46947,3,39,1051,2.72
2024-12-05 13:14:24.412061,2,41,987,2.72
2024-12-05 13:14:28.73249,1,37,1066,2.66
2024-12-05 13:14:28.747076,1,37,1066,2.66
2024-12-05 13:14:31.022083,0,38,1087,2.72
2024-12-05 13:14:42.283306,3,39,1051,2.72
2024-12-05 13:14:44.246847,2,41,987,2.72
2024-12-05 13:14:48.573394,1,37,1066,2.66
2024-12-05 13:14:52.17358,3,39,1051,2.72
2024-12-05 13:14:54.125774,2,41,987,2.72
2024-12-05 13:15:08.933086,1,37,1070,2.68
2024-12-05 13:15:10.642862,0,38,1087,2.72
2024-12-05 13:15:12.56741,3,39,1057,2.72
2024-12-05 13:15:18.857957,1,37,1070,2.68
2024-12-05 13:15:20.55118,0,38,1087,2.72
2024-12-05 13:15:22.451358,3,39,1057,2.72
2024-12-05 13:15:30.438673,0,38,1087,2.72
2024-12-05 13:15:32.361181,3,39,1057,2.72
2024-12-05 13:15:38.649404,1,37,1070,2.68
2024-12-05 13:15:42.262625,3,39,1057,2.72
2024-12-05 13:15:44.209122,2,41,976,2.72
2024-12-05 13:15:50.853021,0,38,1088,2.72
2024-12-05 13:15:54.108178,2,41,976,2.72
2024-12-05 13:16:00.743013,0,38,1088,2.72
2024-12-05 13:16:02.082534,3,39,1057,2.72
2024-12-05 13:16:12.562653,3,39,1053,2.72
2024-12-05 13:16:14.502551,2,41,982,2.72
2024-12-05 13:16:15.687583,2,41,982,2.72
2024-12-05 13:16:20.554206,0,38,1088,2.72
2024-12-05 13:16:22.448219,3,39,1053,2.72
2024-12-05 13:16:28.752541,1,37,1071,2.68
2024-12-05 13:16:30.47405,0,38,1088,2.72
2024-12-05 13:16:34.308956,2,41,982,2.72
2024-12-05 13:16:50.850976,0,38,1099,2.72
2024-12-05 13:16:52.153794,3,39,1053,2.72
2024-12-05 13:16:59.07064,1,37,1070,2.68
2024-12-05 13:17:00.769574,0,38,1099,2.72
2024-12-05 13:17:04.023385,2,41,982,2.72
2024-12-05 13:17:08.913096,1,37,1070,2.68
2024-12-05 13:17:12.549771,3,39,1061,2.72
2024-12-05 13:17:18.824484,1,37,1070,2.68
2024-12-05 13:17:20.554729,0,38,1099,2.72
2024-12-05 13:17:24.393897,2,41,977,2.72
2024-12-05 13:17:40.923967,0,38,1087,2.72
2024-12-05 13:17:42.28458,3,39,1061,2.72
2024-12-05 13:17:49.114577,1,37,1073,2.68
2024-12-05 13:17:59.035235,1,37,1073,2.68
2024-12-05 13:18:02.639637,3,39,1071,2.72
2024-12-05 13:18:12.565019,3,39,1071,2.72
2024-12-05 13:18:28.744753,1,37,1073,2.68
2024-12-05 13:18:30.465559,0,38,1087,2.72
2024-12-05 13:18:30.494862,0,38,1087,2.72
2024-12-05 13:18:42.259721,3,39,1071,2.72
2024-12-05 13:18:48.540913,1,37,1073,2.68
2024-12-05 13:18:52.180184,3,39,1071,2.72
2024-12-05 13:19:00.754742,0,38,1087,2.72
2024-12-05 13:19:10.658109,0,38,1087,2.72
2024-12-05 13:19:12.55193,3,39,1053,2.72
2024-12-05 13:19:18.886704,1,37,1073,2.66
2024-12-05 13:19:22.455699,3,39,1053,2.72
2024-12-05 13:19:28.845517,1,37,1073,2.66
2024-12-05 13:19:31.01596,0,38,1103,2.72
2024-12-05 13:19:38.635863,1,37,1073,2.66
2024-12-05 13:19:40.92699,0,38,1103,2.72
2024-12-05 13:19:44.220668,2,41,977,2.72
2024-12-05 13:19:54.141593,2,41,977,2.72
2024-12-05 13:20:02.056015,3,39,1053,2.72
2024-12-05 13:20:04.053252,2,41,977,2.72
2024-12-05 13:20:20.567474,0,38,1103,2.72
2024-12-05 13:20:28.747667,1,38,1076,2.68
2024-12-05 13:20:31.026616,0,38,1099,2.72
2024-12-05 13:20:34.332686,2,41,981,2.72
2024-12-05 13:20:44.28804,2,41,981,2.72
2024-12-05 13:20:48.537997,1,38,1076,2.68
2024-12-05 13:20:52.162004,3,39,1053,2.72
2024-12-05 13:20:59.059593,1,38,1068,2.68
2024-12-05 13:21:04.021934,2,41,981,2.72
2024-12-05 13:21:12.567223,3,39,1064,2.72
2024-12-05 13:21:15.802186,2,41,978,2.72
2024-12-05 13:21:22.467764,3,39,1064,2.72
2024-12-05 13:21:24.441849,2,41,978,2.72
2024-12-05 13:21:32.38755,3,39,1064,2.72
2024-12-05 13:21:38.667572,1,38,1068,2.68
2024-12-05 13:21:40.942295,0,38,1089,2.72
2024-12-05 13:21:59.013926,1,38,1077,2.66
2024-12-05 13:22:02.068626,3,39,1064,2.72
2024-12-05 13:22:04.60321,2,41,986,2.72
2024-12-05 13:22:24.580224,2,41,986,2.72
2024-12-05 13:22:28.732877,1,38,1077,2.66
2024-12-05 13:22:30.452898,0,38,1089,2.72
2024-12-05 13:22:32.342032,3,39,1053,2.72
2024-12-05 13:22:34.308591,2,41,986,2.72
2024-12-05 13:22:44.209923,2,41,986,2.72
2024-12-05 13:22:50.820427,0,38,1090,2.72
2024-12-05 13:22:59.024096,1,38,1072,2.68
2024-12-05 13:23:00.73293,0,38,1090,2.72
2024-12-05 13:23:02.052164,3,39,1053,2.72
2024-12-05 13:23:04.015423,2,41,986,2.72
2024-12-05 13:23:12.538855,3,39,1053,2.72
2024-12-05 13:23:22.45264,3,39,1053,2.72
2024-12-05 13:23:24.390033,2,42,988,2.72
2024-12-05 13:23:28.72999,1,38,1072,2.68
2024-12-05 13:23:30.452453,0,38,1090,2.72
2024-12-05 13:23:31.008763,0,38,1090,2.72
2024-12-05 13:23:34.295852,2,42,988,2.72
2024-12-05 13:23:44.204588,2,42,988,2.72
2024-12-05 13:23:52.168799,3,39,1053,2.72
2024-12-05 13:23:54.126714,2,42,988,2.72
2024-12-05 13:23:59.01339,1,38,1078,2.68
2024-12-05 13:24:00.736878,0,38,1090,2.72
2024-12-05 13:24:14.493141,2,42,987,2.72
2024-12-05 13:24:20.540934,0,38,1090,2.72
2024-12-05 13:24:22.469718,3,39,1053,2.72
2024-12-05 13:24:24.4201,2,42,987,2.72
2024-12-05 13:24:28.736888,1,38,1078,2.68
2024-12-05 13:24:34.299087,2,42,987,2.72
2024-12-05 13:24:40.950091,0,38,1089,2.72
2024-12-05 13:24:54.109609,2,42,987,2.72
2024-12-05 13:24:59.012698,1,38,1078,2.68
2024-12-05 13:25:02.629817,3,39,1054,2.72
2024-12-05 13:25:12.543358,3,39,1054,2.72
2024-12-05 13:25:18.812611,1,38,1078,2.68
2024-12-05 13:25:20.541452,0,38,1089,2.72
2024-12-05 13:26:00.741636,0,38,1091,2.72
2024-12-05 13:26:04.608786,2,42,984,2.72
2024-12-05 13:26:08.927986,1,38,1079,2.68
2024-12-05 13:26:15.932428,2,42,984,2.72
2024-12-05 16:29:00.868536,0,42,1104,2.74
2024-12-05 16:29:19.671135,3,46,1076,2.78
2024-12-05 16:29:24.623896,2,52,1017,2.82
2024-12-05 16:29:50.947597,0,42,1102,2.74
2024-12-05 16:29:54.341052,2,52,1017,2.82
2024-12-05 16:30:12.663576,3,46,1077,2.78
2024-12-05 16:30:28.913484,1,48,1110,2.78
2024-12-05 16:30:34.531386,2,52,1016,2.82
2024-12-05 16:30:38.847601,1,48,1110,2.78
2024-12-05 16:30:52.28753,3,46,1077,2.78
2024-12-05 16:36:42.382074,3,46,1079,2.78
2024-12-05 16:37:30.602372,0,43,1104,2.76
2024-12-05 16:37:59.238011,1,48,1111,2.78
2024-12-05 16:38:02.767574,3,46,1076,2.78
2024-12-05 16:38:24.658191,2,53,1019,2.82
2024-12-05 16:38:28.948476,1,48,1111,2.78
2024-12-05 16:38:48.758194,1,48,1111,2.78
2024-12-05 16:39:10.788683,0,43,1105,2.76
2024-12-05 16:39:14.744871,2,53,1016,2.82
2024-12-05 16:39:20.683632,0,43,1105,2.76
2024-12-05 16:39:24.638971,2,53,1016,2.82
2024-12-05 16:39:30.208998,1,48,1111,2.78
2024-12-05 16:39:54.396149,2,53,1016,2.82
2024-12-05 16:40:02.199879,3,46,1073,2.78
2024-12-05 16:40:32.481745,3,46,1090,2.78
2024-12-05 16:50:19.049158,1,49,1104,2.8
2024-12-05 16:50:20.692886,0,43,1107,2.74
2024-12-05 16:50:22.578408,3,46,1096,2.78
2024-12-05 16:50:34.587699,2,53,1012,2.84
2024-12-05 16:50:48.763647,1,49,1104,2.8
2024-12-05 16:50:50.974007,0,43,1118,2.76
2024-12-05 16:51:14.799334,2,53,1023,2.84
2024-12-05 16:51:22.583094,3,47,1091,2.8
2024-12-05 16:51:30.616784,0,43,1118,2.76
2024-12-05 16:52:00.895977,0,43,1105,2.76
2024-12-05 16:52:02.780536,3,47,1076,2.8
2024-12-05 16:52:09.170115,1,49,1114,2.8
2024-12-05 16:52:49.335077,1,49,1114,2.8
2024-12-05 16:52:52.310217,3,47,1076,2.8
2024-12-05 16:53:09.144652,1,49,1114,2.8
2024-12-05 16:53:19.055364,1,49,1114,2.8
2024-12-05 16:53:30.605544,0,43,1108,2.76
2024-12-05 16:53:30.621157,0,43,1108,2.76
2024-12-05 16:53:49.335155,1,50,1117,2.78
2024-12-05 16:53:50.986899,0,43,1107,2.76
2024-12-05 16:53:52.301509,3,47,1083,2.8
2024-12-05 16:53:59.256361,1,50,1117,2.78
2024-12-05 16:54:00.881012,0,43,1107,2.76
2024-12-05 16:54:19.055222,1,50,1117,2.78
2024-12-05 16:54:23.710831,3,47,1080,2.8
2024-12-05 16:54:24.666326,2,53,1024,2.84
2024-12-05 16:54:31.170601,0,43,1117,2.76
2024-12-05 16:54:52.326829,3,47,1080,2.8
2024-12-05 16:55:10.791576,0,43,1117,2.76
2024-12-05 17:29:18.266046,1,51,1116,2.82
2024-12-05 17:29:18.327141,0,44,1111,2.76
2024-12-05 17:29:29.416066,1,51,1114,2.8
2024-12-05 17:29:30.651987,0,45,1110,2.76
2024-12-05 17:29:41.116035,0,45,1111,2.76
2024-12-05 17:29:52.35572,3,48,1085,2.8
2024-12-05 17:29:59.300533,1,51,1115,2.82
2024-12-05 17:30:04.361816,2,54,1022,2.84
2024-12-05 17:30:20.761327,0,45,1111,2.76
2024-12-05 17:41:31.729818,3,48,1092,2.8
2024-12-05 17:41:34.64517,2,55,1016,2.84
2024-12-05 17:41:38.929946,1,51,1110,2.8
2024-12-05 17:41:48.258515,3,48,1092,2.8
2024-12-05 17:41:51.02168,0,45,1112,2.76
2024-12-05 17:41:56.770595,3,48,1092,2.8
2024-12-05 17:42:14.834359,2,55,1017,2.84
2024-12-05 17:42:20.729901,0,45,1112,2.76
2024-12-05 17:42:24.733353,2,55,1017,2.84
2024-12-05 17:42:34.706865,2,55,1017,2.84
2024-12-05 17:42:44.546394,2,55,1017,2.84
2024-12-05 17:43:09.210229,1,51,1118,2.82
