time,position,t,p,v
2024-12-08 16:44:44.181815,0,36,1082,2.7
2024-12-08 16:44:55.582188,3,39,1051,2.74
2024-12-08 16:45:15.912825,3,39,1053,2.74
2024-12-08 16:45:19.431552,2,39,964,2.74
2024-12-08 16:45:33.387447,1,38,1064,2.72
2024-12-08 16:45:44.17668,0,36,1081,2.7
2024-12-08 16:45:53.20894,1,38,1064,2.72
2024-12-08 16:46:13.888842,0,36,1081,2.7
2024-12-08 16:46:29.352124,2,39,960,2.74
2024-12-08 16:46:33.384229,1,37,1068,2.72
2024-12-08 16:46:35.711698,3,39,1051,2.74
2024-12-08 16:46:43.289854,1,37,1068,2.72
2024-12-08 16:46:54.089918,0,36,1089,2.7
2024-12-08 16:47:13.56972,1,38,1068,2.72
2024-12-08 16:47:13.897887,0,36,1089,2.7
2024-12-08 16:47:23.793709,0,36,1089,2.7
2024-12-08 16:47:39.254901,2,39,977,2.74
2024-12-08 18:00:53.822494,1,39,1070,2.72
2024-12-08 18:00:59.072692,0,36,1090,2.68
2024-12-08 18:01:09.508967,2,41,978,2.74
2024-12-08 18:01:19.474132,2,41,980,2.74
2024-12-08 18:01:23.863104,0,36,1090,2.68
2024-12-08 18:01:34.302923,0,36,1090,2.68
2024-12-08 18:01:35.743316,3,39,1053,2.74
2024-12-08 18:01:59.087961,0,36,1090,2.68
2024-12-08 18:02:09.580149,2,41,983,2.74
2024-12-08 18:02:27.981558,0,36,1090,2.68
2024-12-08 18:02:29.41744,2,41,983,2.74
2024-12-08 18:02:46.699325,0,36,1080,2.68
2024-12-08 18:02:59.098478,0,36,1080,2.68
2024-12-08 18:03:15.944605,3,39,1052,2.74
2024-12-08 18:03:33.459746,1,39,1080,2.72
2024-12-08 18:03:45.650726,3,39,1052,2.74
2024-12-08 18:03:46.695071,0,36,1081,2.68
2024-12-08 18:03:53.242193,1,39,1080,2.72
2024-12-08 18:03:59.096648,2,41,982,2.74
2024-12-08 18:04:24.975587,3,39,1054,2.74
2024-12-08 18:21:23.823567,0,36,1084,2.68
2024-12-08 18:21:29.379216,2,43,978,2.76
2024-12-08 18:22:03.734044,1,41,1081,2.72
2024-12-08 18:22:13.934483,0,36,1095,2.7
2024-12-08 18:22:19.484738,2,43,987,2.76
2024-12-08 18:22:25.839277,3,40,1054,2.74
2024-12-08 18:22:35.759671,3,40,1054,2.74
2024-12-08 18:22:53.249244,1,41,1081,2.72
2024-12-08 18:23:13.626205,1,41,1079,2.72
2024-12-08 18:23:13.925224,0,37,1088,2.68
2024-12-08 18:23:23.535705,1,41,1079,2.72
2024-12-08 18:23:23.835074,0,37,1088,2.68
2024-12-08 18:23:35.735714,3,40,1057,2.74
2024-12-08 18:23:53.816651,1,41,1083,2.72
2024-12-08 18:23:54.110328,0,37,1086,2.7
2024-12-08 18:24:13.646359,1,41,1083,2.72
2024-12-08 18:24:25.836917,3,40,1056,2.74
2024-12-08 18:24:33.445581,1,41,1083,2.72
2024-12-08 18:24:43.336047,1,41,1083,2.72
2024-12-08 18:24:45.65666,3,40,1056,2.74
2024-12-08 18:24:49.195976,2,43,986,2.76
2024-12-08 18:24:54.106365,0,37,1086,2.7
2024-12-08 18:25:13.926409,0,37,1086,2.7
2024-12-08 18:25:13.94215,0,37,1086,2.7
2024-12-08 18:25:15.937417,3,40,1056,2.74
2024-12-08 18:25:23.841557,0,37,1086,2.7
2024-12-08 18:25:34.321357,0,37,1086,2.68
2024-12-08 18:25:53.250844,1,42,1082,2.72
2024-12-08 18:26:04.027457,0,37,1086,2.68
2024-12-08 18:26:06.208125,3,40,1056,2.74
2024-12-08 18:26:09.978602,2,43,988,2.76
2024-12-08 18:26:15.937428,3,40,1056,2.74
2024-12-08 18:27:05.452793,3,40,1056,2.74
2024-12-08 18:27:13.64226,1,42,1082,2.72
2024-12-08 18:27:13.936872,0,37,1089,2.7
2024-12-08 18:42:33.744494,0,38,1099,2.68
2024-12-08 18:42:43.365923,1,42,1087,2.74
2024-12-08 18:42:53.265855,1,42,1087,2.74
2024-12-08 18:43:13.648821,1,43,1088,2.74
2024-12-08 18:43:19.494943,2,45,994,2.76
2024-12-08 18:43:23.549921,1,43,1088,2.74
2024-12-08 18:43:25.844421,3,41,1058,2.74
2024-12-08 18:43:44.230161,0,38,1087,2.7
2024-12-08 18:44:05.464937,3,41,1058,2.74
2024-12-08 18:44:09.605059,2,45,992,2.76
2024-12-08 18:44:13.946213,0,38,1087,2.7
2024-12-08 18:44:33.455659,1,43,1087,2.74
2024-12-08 18:44:54.126864,0,38,1096,2.7
2024-12-08 18:45:09.010963,2,45,992,2.76
2024-12-08 18:45:23.835936,0,38,1096,2.7
2024-12-08 18:45:25.855353,3,41,1057,2.74
2024-12-08 18:45:44.221206,0,38,1087,2.7
2024-12-08 18:45:53.851208,1,43,1084,2.74
2024-12-08 18:46:09.0324,2,45,990,2.76
2024-12-08 18:46:13.922232,0,38,1087,2.7
2024-12-08 19:02:33.478703,1,44,1089,2.74
2024-12-08 19:02:59.135511,2,46,998,2.78
2024-12-08 19:03:19.529162,2,46,997,2.78
2024-12-08 19:03:29.414677,2,46,997,2.78
2024-12-08 19:03:44.250733,0,39,1091,2.7
2024-12-08 19:04:09.619483,2,46,997,2.78
2024-12-08 19:04:25.865354,3,42,1060,2.76
2024-12-08 19:04:34.316049,0,38,1092,2.7
2024-12-08 19:04:35.764404,3,42,1060,2.76
2024-12-08 19:04:49.230699,2,46,997,2.78
2024-12-08 19:05:04.245849,0,38,1092,2.7
2024-12-08 19:05:13.666212,1,45,1093,2.76
2024-12-08 19:05:13.9467,0,38,1092,2.7
2024-12-08 19:05:23.855265,0,38,1092,2.7
2024-12-08 19:05:29.411754,2,47,994,2.76
2024-12-08 19:05:34.333048,0,38,1090,2.7
2024-12-08 19:05:35.781081,3,42,1061,2.76
2024-12-08 19:05:45.66584,3,42,1061,2.76
2024-12-08 19:06:09.062478,2,47,994,2.76
2024-12-08 19:06:33.762639,0,38,1090,2.7
2024-12-08 19:06:43.38196,1,44,1096,2.76
2024-12-08 19:06:54.146493,0,39,1090,2.7
2024-12-08 19:07:09.596995,2,47,996,2.78
2024-12-08 19:07:15.962019,3,42,1063,2.76
2024-12-08 19:23:33.486746,1,46,1096,2.76
2024-12-08 19:23:33.765995,0,39,1096,2.7
2024-12-08 19:23:54.143268,0,39,1094,2.7
2024-12-08 19:24:03.776799,1,46,1097,2.76
2024-12-08 19:24:09.067509,2,49,1000,2.78
