time,position,t,p,v
2024-12-02 00:15:27.148484,3,42,1066,2.74
2024-12-02 00:15:37.079147,3,42,1066,2.74
2024-12-02 00:15:37.098701,2,42,990,2.7
2024-12-02 00:15:46.999647,2,42,990,2.7
2024-12-02 00:15:56.900171,2,42,990,2.7
2024-12-02 00:16:07.331629,3,42,1068,2.74
2024-12-02 00:16:07.386822,2,42,987,2.7
2024-12-02 00:16:26.202348,0,37,1089,2.68
2024-12-02 00:16:37.041539,3,42,1068,2.74
2024-12-02 00:16:45.986744,0,37,1089,2.68
2024-12-02 00:17:27.141683,3,42,1066,2.74
2024-12-02 00:17:37.041794,3,42,1066,2.74
2024-12-02 00:17:56.902739,2,42,991,2.7
2024-12-02 00:18:25.617402,0,37,1089,2.66
2024-12-02 00:18:27.152496,3,42,1067,2.74
2024-12-02 00:18:32.632547,0,37,1089,2.66
2024-12-02 00:18:37.041517,3,42,1067,2.74
2024-12-02 00:18:41.942314,1,39,1077,2.68
2024-12-02 00:18:45.991484,0,37,1091,2.68
2024-12-02 00:18:46.941707,3,42,1067,2.74
2024-12-02 00:18:57.432527,3,42,1066,2.74
2024-12-02 00:19:15.701512,0,37,1091,2.68
2024-12-02 00:19:17.24147,3,42,1066,2.74
2024-12-02 00:19:19.282491,3,42,1066,2.74
2024-12-02 00:19:32.032534,1,39,1075,2.68
2024-12-02 00:19:37.101648,2,42,990,2.7
2024-12-02 00:19:37.152152,1,39,1075,2.68
2024-12-02 00:19:56.851641,3,42,1066,2.74
2024-12-02 00:20:02.321905,1,39,1078,2.68
2024-12-02 00:20:12.231579,1,39,1078,2.68
2024-12-02 00:38:56.860945,3,42,1068,2.74
2024-12-02 00:39:22.146025,1,39,1079,2.68
2024-12-02 00:39:26.201862,0,37,1089,2.68
2024-12-02 00:39:27.156255,3,42,1066,2.74
2024-12-02 00:39:36.102408,0,37,1089,2.68
2024-12-02 00:39:52.426681,1,39,1080,2.68
2024-12-02 00:39:56.866209,3,42,1066,2.74
2024-12-02 00:39:57.47749,2,42,987,2.7
2024-12-02 00:40:02.32639,1,39,1080,2.68
2024-12-02 00:40:12.232759,1,39,1080,2.68
2024-12-02 00:40:25.613507,0,37,1089,2.68
2024-12-02 00:40:27.14326,3,42,1068,2.74
2024-12-02 00:40:41.952745,1,39,1080,2.68
2024-12-02 00:40:47.003113,2,42,987,2.7
2024-12-02 00:40:55.903365,0,37,1090,2.68
2024-12-02 00:41:07.864219,2,42,991,2.72
2024-12-02 00:41:12.233064,1,39,1078,2.68
2024-12-02 00:42:05.814077,0,38,1091,2.68
2024-12-02 00:42:07.332907,3,42,1069,2.74
2024-12-02 00:42:27.143563,3,42,1069,2.74
2024-12-02 00:42:27.184483,2,42,988,2.72
2024-12-02 00:42:52.424559,1,39,1079,2.68
2024-12-02 00:43:02.334938,1,39,1079,2.68
2024-12-02 01:10:47.030488,2,42,991,2.72
2024-12-02 01:11:02.350212,1,40,1078,2.68
2024-12-02 01:11:05.824637,0,38,1090,2.68
2024-12-02 01:11:07.349851,3,43,1067,2.74
2024-12-02 01:11:07.411346,2,43,994,2.72
2024-12-02 00:15:41.943556,1,39,1079,2.68
2024-12-02 00:43:15.724219,0,38,1090,2.68
2024-12-02 00:44:12.230756,1,39,1080,2.68
2024-12-02 00:44:22.26089,1,39,1080,2.68
2024-12-02 00:44:27.174732,3,42,1067,2.74
2024-12-02 00:44:32.040817,1,39,1080,2.68
2024-12-02 00:44:36.095059,0,37,1089,2.68
2024-12-02 00:44:47.020999,2,42,990,2.72
2024-12-02 00:44:56.901252,2,42,990,2.72
2024-12-02 00:44:57.431608,3,42,1067,2.74
2024-12-02 00:45:17.290899,2,42,990,2.72
2024-12-02 00:45:27.195699,2,42,990,2.72
2024-12-02 00:45:32.045668,1,39,1077,2.68
2024-12-02 00:45:56.911748,2,42,990,2.72
2024-12-02 00:46:02.326246,1,39,1078,2.68
2024-12-02 00:46:07.983505,2,42,987,2.72
2024-12-02 00:46:17.296163,2,42,987,2.72
2024-12-02 00:46:25.628645,0,37,1091,2.68
2024-12-02 00:46:27.136407,3,42,1069,2.74
2024-12-02 00:46:37.06171,3,42,1069,2.74
2024-12-02 01:11:27.183549,3,43,1067,2.74
2024-12-02 01:11:56.880776,3,43,1067,2.74
2024-12-02 01:12:37.117073,2,42,993,2.72
2024-12-02 01:12:46.010935,0,38,1094,2.68
2024-12-02 01:12:55.920906,0,38,1094,2.68
2024-12-02 01:12:56.882567,3,43,1067,2.74
2024-12-02 01:13:27.211974,2,42,990,2.72
2024-12-02 02:15:07.440304,2,41,985,2.7
2024-12-02 02:15:17.298077,3,42,1067,2.74
2024-12-02 02:15:27.193188,3,42,1067,2.74
2024-12-02 02:16:07.400122,3,42,1067,2.74
2024-12-02 02:16:15.776438,0,38,1088,2.68
2024-12-02 02:16:17.341331,2,41,993,2.7
2024-12-02 02:16:26.246024,0,38,1088,2.68
2024-12-02 02:16:37.145933,2,41,993,2.7
2024-12-02 02:16:47.026173,3,42,1067,2.74
2024-12-02 02:16:55.961168,0,38,1088,2.68
2024-12-02 02:17:17.301311,3,42,1067,2.74
2024-12-02 02:17:27.200976,3,42,1067,2.74
2024-12-02 02:17:27.252521,2,41,985,2.7
2024-12-02 02:17:36.16183,0,38,1089,2.68
2024-12-02 02:17:56.944209,3,42,1067,2.74
2024-12-02 02:18:07.438017,2,41,987,2.7
2024-12-02 02:18:22.187451,1,38,1075,2.68
2024-12-02 02:18:25.672073,0,38,1089,2.68
2024-12-02 02:18:32.687776,0,38,1089,2.68
2024-12-02 02:18:37.128447,3,42,1067,2.74
