time,position,t,p,v
2024-12-12 00:00:07.287514,0,51,1135,2.86
2024-12-12 00:00:14.457608,2,66,1048,2.96
2024-12-12 00:00:16.311769,0,51,1135,2.86
2024-12-12 00:00:19.469245,3,56,1111,2.9
2024-12-12 00:00:24.928166,2,66,1052,2.96
2024-12-12 00:00:28.536766,1,61,1145,2.92
2024-12-12 00:00:34.85722,2,66,1052,2.96
2024-12-12 00:00:36.986742,0,51,1135,2.86
2024-12-12 00:00:39.281866,3,56,1111,2.9
2024-12-12 00:00:44.758025,2,66,1052,2.96
2024-12-12 00:01:04.563186,2,66,1052,2.96
2024-12-12 00:01:08.987706,3,56,1111,2.9
2024-12-12 00:01:15.441422,2,66,1052,2.96
2024-12-12 00:01:37.556582,0,51,1133,2.86
2024-12-12 00:01:48.336396,1,61,1142,2.92
2024-12-12 00:01:49.189645,3,56,1111,2.9
2024-12-12 00:01:57.367559,0,51,1133,2.86
2024-12-12 00:01:58.256565,1,61,1142,2.92
2024-12-12 00:02:04.567472,2,66,1054,2.96
2024-12-12 00:02:07.281855,0,51,1133,2.86
2024-12-12 00:02:08.997301,3,56,1111,2.9
2024-12-12 00:02:24.953638,2,66,1051,2.96
2024-12-12 00:02:28.546655,1,61,1148,2.92
2024-12-12 00:02:34.877189,2,66,1051,2.96
2024-12-12 00:02:36.996938,0,51,1133,2.86
2024-12-12 00:02:39.276608,3,57,1108,2.9
2024-12-12 00:02:47.466527,0,51,1130,2.86
2024-12-12 00:02:58.826606,1,61,1146,2.92
2024-12-12 00:03:04.557121,2,66,1051,2.96
2024-12-12 00:03:07.296837,0,51,1130,2.86
2024-12-12 00:03:18.657064,1,61,1146,2.92
2024-12-12 00:03:24.94737,2,66,1049,2.96
2024-12-12 00:03:37.576459,0,51,1135,2.84
2024-12-12 00:03:38.467714,1,61,1146,2.92
2024-12-12 00:03:39.29183,3,56,1109,2.9
2024-12-12 00:03:57.377271,0,51,1135,2.84
2024-12-12 00:03:58.277298,1,61,1146,2.92
2024-12-12 00:04:04.587447,2,66,1049,2.96
2024-12-12 00:04:19.497716,3,57,1109,2.9
2024-12-12 00:04:24.951761,2,66,1047,2.96
2024-12-12 00:04:28.557053,1,61,1146,2.92
2024-12-12 00:04:29.367913,3,57,1109,2.9
2024-12-12 00:04:29.397346,3,57,1109,2.9
2024-12-12 00:04:37.037457,0,51,1135,2.84
2024-12-12 00:04:49.197351,3,57,1109,2.9
2024-12-12 00:04:59.106889,3,57,1109,2.9
2024-12-12 00:05:04.582642,2,66,1047,2.96
2024-12-12 00:05:07.281474,0,51,1138,2.86
2024-12-12 00:05:08.988207,3,57,1109,2.9
2024-12-12 00:05:16.332037,0,51,1138,2.86
2024-12-12 00:05:18.646699,1,61,1147,2.92
2024-12-12 00:05:24.962754,2,66,1051,2.96
2024-12-12 00:05:28.546867,1,61,1147,2.92
2024-12-12 00:05:36.993371,0,51,1138,2.86
2024-12-12 00:05:47.469706,0,51,1134,2.86
2024-12-12 00:05:57.379619,0,51,1134,2.86
2024-12-12 00:05:58.82831,1,61,1148,2.92
2024-12-12 00:05:59.147533,3,56,1111,2.9
2024-12-12 00:06:09.571232,3,56,1111,2.9
2024-12-12 00:06:15.042459,2,66,1051,2.96
2024-12-12 00:06:15.497233,2,66,1051,2.96
2024-12-12 00:06:19.476852,3,56,1111,2.9
2024-12-12 00:06:27.096999,0,51,1134,2.86
2024-12-12 00:06:28.533456,1,61,1148,2.92
2024-12-12 00:06:29.36712,3,56,1111,2.9
2024-12-12 00:06:47.473047,0,51,1137,2.86
2024-12-12 00:06:49.183914,3,56,1111,2.9
2024-12-12 00:06:57.387607,0,51,1137,2.86
2024-12-12 00:07:08.742743,1,61,1148,2.92
2024-12-12 00:07:09.003325,3,56,1111,2.9
2024-12-12 00:07:18.647629,1,61,1148,2.92
2024-12-12 00:07:39.288276,3,57,1110,2.9
2024-12-12 00:07:47.484049,0,51,1134,2.86
2024-12-12 00:07:57.393804,0,51,1134,2.86
2024-12-12 00:07:58.267389,1,61,1148,2.92
2024-12-12 00:08:09.587675,3,57,1111,2.92
2024-12-12 00:08:19.501576,3,57,1111,2.92
2024-12-12 00:08:27.127009,0,51,1134,2.86
2024-12-12 00:08:29.401896,3,57,1111,2.92
2024-12-12 00:08:34.863265,2,66,1054,2.96
2024-12-12 00:08:57.393755,0,51,1134,2.86
2024-12-12 00:08:58.843511,1,61,1148,2.92
2024-12-12 00:09:18.654148,1,61,1148,2.92
2024-12-12 00:09:28.559719,1,61,1148,2.92
2024-12-12 00:09:29.421879,3,56,1111,2.9
2024-12-12 00:09:37.58162,0,51,1134,2.86
2024-12-12 00:09:44.786262,2,66,1048,2.96
2024-12-12 00:09:47.493422,0,51,1134,2.86
2024-12-12 00:09:54.679597,2,66,1048,2.96
2024-12-12 00:09:58.269693,1,61,1148,2.92
2024-12-12 00:10:07.283802,0,51,1134,2.86
2024-12-12 00:10:09.573762,3,56,1110,2.9
2024-12-12 00:10:15.064027,2,66,1047,2.96
2024-12-12 00:10:16.313798,0,51,1134,2.86
2024-12-12 00:10:24.974344,2,66,1047,2.96
2024-12-12 00:10:27.109842,0,51,1134,2.86
2024-12-12 00:10:29.399521,3,56,1110,2.9
2024-12-12 00:10:44.789482,2,66,1047,2.96
2024-12-12 00:10:54.694581,2,66,1047,2.96
2024-12-12 00:10:59.106704,3,56,1110,2.9
2024-12-12 00:11:08.767612,1,61,1144,2.92
2024-12-12 00:11:09.018356,3,56,1110,2.9
2024-12-12 00:11:15.625323,2,66,1047,2.96
2024-12-12 00:11:17.235046,0,51,1143,2.84
2024-12-12 00:11:18.656582,1,61,1144,2.92
2024-12-12 00:11:19.47189,3,56,1120,2.92
2024-12-12 00:11:28.58657,1,61,1144,2.92
2024-12-12 00:11:29.397238,3,56,1120,2.92
2024-12-12 00:11:58.854937,1,61,1148,2.92
2024-12-12 00:12:04.606399,2,66,1046,2.96
2024-12-12 00:12:17.200132,0,51,1133,2.86
2024-12-12 00:12:18.65021,1,61,1148,2.92
2024-12-12 00:12:19.495201,3,57,1111,2.9
2024-12-12 00:12:24.986241,2,66,1052,2.96
2024-12-12 00:12:28.572832,1,61,1148,2.92
2024-12-12 00:12:29.410249,3,57,1111,2.9
2024-12-12 00:12:34.886242,2,66,1052,2.96
2024-12-12 00:12:44.793184,2,66,1052,2.96
2024-12-12 00:12:47.495445,0,51,1133,2.86
2024-12-12 00:12:59.110682,3,57,1111,2.9
2024-12-12 00:13:08.771851,1,61,1147,2.92
2024-12-12 00:13:14.511075,2,66,1052,2.96
2024-12-12 00:13:19.495265,3,56,1110,2.9
2024-12-12 00:13:27.122935,0,51,1133,2.86
2024-12-12 00:13:37.602863,0,51,1135,2.86
2024-12-12 00:13:38.491152,1,61,1147,2.92
2024-12-12 00:13:48.386942,1,61,1147,2.92
2024-12-12 00:13:58.299884,1,61,1147,2.92
2024-12-12 00:14:04.637816,2,66,1051,2.96
2024-12-12 00:14:09.022026,3,56,1110,2.9
2024-12-12 00:14:19.497417,3,57,1110,2.9
2024-12-12 00:14:24.987687,2,66,1050,2.96
2024-12-12 00:14:28.503666,3,57,1110,2.9
2024-12-12 00:14:28.56684,1,61,1149,2.92
2024-12-12 00:14:29.432814,3,57,1110,2.9
2024-12-12 00:14:44.828004,2,66,1050,2.96
2024-12-12 00:14:59.132712,3,57,1110,2.9
2024-12-12 00:15:07.29787,0,51,1138,2.86
2024-12-12 00:15:15.097663,2,66,1049,2.96
2024-12-12 00:15:18.34771,0,51,1138,2.86
2024-12-12 00:15:19.507551,3,57,1110,2.9
2024-12-12 00:15:28.579336,1,61,1146,2.92
2024-12-12 00:15:29.397665,3,57,1110,2.9
2024-12-12 00:15:37.017788,0,51,1138,2.86
2024-12-12 00:15:48.404885,1,61,1146,2.92
2024-12-12 00:15:58.293125,1,61,1146,2.92
2024-12-12 00:16:09.013308,3,57,1110,2.9
2024-12-12 00:16:15.727472,2,66,1049,2.96
2024-12-12 00:16:17.222185,0,51,1152,2.86
2024-12-12 00:16:19.502986,3,56,1108,2.92
2024-12-12 00:16:34.898532,2,66,1051,2.96
2024-12-12 00:16:38.502123,1,61,1149,2.92
2024-12-12 00:16:39.3233,3,56,1108,2.92
2024-12-12 00:16:49.219386,3,56,1108,2.92
2024-12-12 00:16:57.386212,0,51,1149,2.86
2024-12-12 00:17:07.30947,0,51,1149,2.86
2024-12-12 00:17:15.092068,2,66,1045,2.96
2024-12-12 00:17:17.223712,0,51,1149,2.86
2024-12-12 00:17:38.49008,1,61,1149,2.92
2024-12-12 00:17:48.389486,1,61,1149,2.92
2024-12-12 00:18:17.219886,0,51,1135,2.84
2024-12-12 00:18:19.522838,3,56,1111,2.9
2024-12-12 00:18:25.006468,2,66,1042,2.96
2024-12-12 00:18:37.019996,0,51,1135,2.84
2024-12-12 00:17:29.409515,3,56,1120,2.9
2024-12-12 00:17:37.024902,0,51,1149,2.86
2024-12-12 00:17:54.724843,2,66,1045,2.96
2024-12-12 00:17:58.884162,1,61,1148,2.92
2024-12-12 00:18:07.309636,0,51,1135,2.84
2024-12-12 00:18:39.320995,3,56,1111,2.9
2024-12-12 00:18:44.820341,2,66,1042,2.96
2024-12-12 00:18:47.529779,0,51,1143,2.84
2024-12-12 00:18:49.210166,3,56,1111,2.9
2024-12-12 00:18:57.400819,0,51,1143,2.84
2024-12-12 00:19:18.691367,1,61,1141,2.92
2024-12-12 00:19:27.120904,0,51,1143,2.84
2024-12-12 00:19:28.511355,3,57,1123,2.9
2024-12-12 00:19:28.600959,1,61,1141,2.92
2024-12-12 00:19:37.031696,0,51,1143,2.84
2024-12-12 00:19:48.40199,1,61,1141,2.92
2024-12-12 00:19:49.22072,3,57,1123,2.9
2024-12-12 00:19:58.891142,1,61,1147,2.92
2024-12-12 00:20:07.326641,0,51,1134,2.86
2024-12-12 00:20:09.610845,3,57,1108,2.9
2024-12-12 00:20:17.236317,0,51,1134,2.86
2024-12-12 00:20:49.221952,3,57,1108,2.9
2024-12-12 00:20:59.122224,3,57,1108,2.9
2024-12-12 00:21:15.816809,2,66,1048,2.96
2024-12-12 00:21:27.117401,0,52,1138,2.86
2024-12-12 00:21:28.586789,1,61,1144,2.92
2024-12-12 00:21:48.434688,1,61,1144,2.92
2024-12-12 00:21:58.31843,1,61,1144,2.92
2024-12-12 00:21:59.127085,3,56,1110,2.92
2024-12-12 00:22:08.787923,1,61,1140,2.92
2024-12-12 00:22:09.037561,3,56,1110,2.92
2024-12-12 00:22:17.228295,0,52,1136,2.84
2024-12-12 00:22:19.507599,3,56,1110,2.9
2024-12-12 00:22:25.039695,2,66,1051,2.96
2024-12-12 00:22:37.027836,0,52,1136,2.84
2024-12-12 00:22:38.498301,1,61,1140,2.92
2024-12-12 00:22:39.322955,3,56,1110,2.9
2024-12-12 00:22:48.41746,1,61,1140,2.92
2024-12-12 00:22:57.407765,0,52,1135,2.86
2024-12-12 00:23:08.783124,1,61,1147,2.92
2024-12-12 00:23:09.017928,3,56,1110,2.9
2024-12-12 00:23:15.115091,2,66,1042,2.96
2024-12-12 00:23:19.507866,3,56,1119,2.9
2024-12-12 00:23:25.023378,2,66,1042,2.96
2024-12-12 00:23:27.128989,0,52,1135,2.86
2024-12-12 00:23:28.593226,1,61,1147,2.92
2024-12-12 00:23:44.82881,2,66,1042,2.96
2024-12-12 00:23:54.739939,2,66,1042,2.96
2024-12-12 00:23:57.413944,0,51,1130,2.86
2024-12-12 00:23:58.88849,1,61,1149,2.92
2024-12-12 00:23:59.128618,3,56,1119,2.9
2024-12-12 00:24:04.633245,2,66,1042,2.96
2024-12-12 00:24:07.308734,0,51,1130,2.86
2024-12-12 00:24:17.219406,0,51,1130,2.86
2024-12-12 00:24:28.609085,1,61,1149,2.92
2024-12-12 00:24:32.554334,3,56,1110,2.9
2024-12-12 00:24:34.930631,2,65,1051,2.96
2024-12-12 00:24:47.509167,0,51,1135,2.86
2024-12-12 00:25:16.334327,0,51,1135,2.86
2024-12-12 00:25:17.241081,0,51,1135,2.86
2024-12-12 00:25:19.524833,3,56,1111,2.92
2024-12-12 00:25:37.601034,0,51,1135,2.86
2024-12-12 00:25:48.420412,1,61,1135,2.92
2024-12-12 00:25:58.901267,1,61,1137,2.92
2024-12-12 00:26:08.821536,1,61,1137,2.92
2024-12-12 00:26:09.624727,3,57,1123,2.92
2024-12-12 00:26:17.240904,0,51,1135,2.86
2024-12-12 00:26:19.530296,3,57,1123,2.92
2024-12-12 00:26:34.950113,2,65,1038,2.96
2024-12-12 00:26:37.620734,0,51,1135,2.86
2024-12-12 00:26:38.521299,1,61,1137,2.92
2024-12-12 00:26:39.331302,3,57,1123,2.92
2024-12-12 00:26:44.845346,2,65,1038,2.96
2024-12-12 00:26:47.521412,0,51,1135,2.86
2024-12-12 00:26:54.765437,2,65,1038,2.96
2024-12-12 00:27:08.821012,1,61,1144,2.92
2024-12-12 00:27:14.560919,2,65,1038,2.96
2024-12-12 00:27:18.701309,1,61,1144,2.92
2024-12-12 00:27:27.151104,0,51,1135,2.86
2024-12-12 00:27:37.056823,0,51,1135,2.86
2024-12-12 00:27:48.471996,1,61,1144,2.92
2024-12-12 00:27:57.416484,0,51,1144,2.86
2024-12-12 00:27:58.387256,1,61,1144,2.92
2024-12-12 00:27:59.127504,3,56,1120,2.92
2024-12-12 00:28:09.059665,3,56,1120,2.92
2024-12-12 00:28:17.227537,0,51,1144,2.86
2024-12-12 00:28:37.047398,0,51,1144,2.86
2024-12-12 00:28:38.52737,1,61,1137,2.92
2024-12-12 00:28:47.587122,0,51,1133,2.86
2024-12-12 00:29:19.527632,3,56,1109,2.9
2024-12-12 00:29:28.627662,1,61,1144,2.92
2024-12-12 00:29:36.567685,3,56,1109,2.9
2024-12-12 00:29:47.527913,0,51,1133,2.84
2024-12-12 00:30:54.073756,3,56,1110,2.9
2024-12-12 00:30:54.077192,1,61,1142,2.92
2024-12-12 00:30:54.080071,3,56,1110,2.9
2024-12-12 00:31:17.219082,0,51,1136,2.86
2024-12-12 00:31:37.609042,0,51,1135,2.86
2024-12-12 00:31:57.42417,0,51,1135,2.86
2024-12-12 00:32:07.335596,0,51,1135,2.86
2024-12-12 00:32:37.039807,0,51,1135,2.86
2024-12-12 00:32:38.529502,1,61,1145,2.92
2024-12-12 00:32:39.324822,3,56,1110,2.9
2024-12-12 00:32:48.440077,1,61,1145,2.92
2024-12-12 00:32:49.251434,3,56,1110,2.9
2024-12-12 00:33:09.625979,3,56,1109,2.9
2024-12-12 00:33:17.251175,0,51,1133,2.86
2024-12-12 00:33:18.720713,1,61,1146,2.92
2024-12-12 00:33:28.615507,1,61,1146,2.92
2024-12-12 00:33:29.441161,3,56,1109,2.9
2024-12-12 00:33:47.520661,0,51,1129,2.86
