time,position,t,p,v
2024-12-10 02:52:35.21652,2,36,956,2.7
2024-12-10 02:52:35.275129,0,37,1079,2.7
2024-12-10 02:52:35.323907,0,37,1079,2.7
2024-12-10 02:52:35.328733,3,38,1053,2.74
2024-12-10 02:52:36.665193,3,38,1053,2.74
2024-12-10 02:52:40.599917,2,36,956,2.7
2024-12-10 02:52:44.71135,1,33,1052,2.68
2024-12-10 02:52:45.210524,0,37,1078,2.7
2024-12-10 02:52:54.590636,1,33,1052,2.68
2024-12-10 02:52:55.120521,0,37,1078,2.7
2024-12-10 02:53:06.360267,3,38,1053,2.74
2024-12-10 02:53:10.30751,2,36,956,2.7
2024-12-10 02:53:14.905276,0,37,1078,2.7
2024-12-10 02:53:24.815623,0,37,1078,2.7
2024-12-10 02:53:34.731095,0,37,1078,2.7
2024-12-10 02:53:40.596517,2,36,955,2.7
2024-12-10 02:53:55.167536,1,33,1051,2.68
2024-12-10 02:54:00.396157,2,36,955,2.7
2024-12-10 02:54:05.066478,1,33,1051,2.68
2024-12-10 02:54:14.907095,0,37,1078,2.7
2024-12-10 02:54:16.846292,3,38,1051,2.74
2024-12-10 02:54:20.791741,2,36,958,2.7
2024-12-10 02:54:23.866744,3,38,1051,2.74
2024-12-10 02:54:26.761063,3,38,1051,2.74
2024-12-10 02:54:30.680978,2,36,958,2.7
2024-12-10 02:54:36.660886,3,38,1051,2.74
2024-12-10 02:54:45.206211,0,37,1076,2.7
2024-12-10 02:58:01.069016,2,36,957,2.7
2024-12-10 02:58:08.41406,0,37,1076,2.7
2024-12-10 02:58:08.417059,0,36,1077,2.7
2024-12-10 02:58:20.798395,2,36,955,2.7
2024-12-10 02:58:24.820723,0,36,1077,2.7
2024-12-10 02:58:44.705201,1,33,1052,2.68
2024-12-10 02:58:45.189838,0,36,1076,2.7
2024-12-10 02:59:05.059616,1,33,1052,2.68
2024-12-10 02:59:10.314788,2,36,955,2.7
2024-12-10 02:59:14.915253,0,36,1076,2.7
2024-12-10 02:59:29.875185,3,38,1051,2.74
2024-12-10 02:59:40.605583,2,36,954,2.7
2024-12-10 03:00:05.031868,0,36,1076,2.7
2024-12-10 03:00:10.885361,2,36,957,2.7
2024-12-10 03:00:20.800533,2,36,957,2.7
2024-12-10 03:00:24.826237,0,36,1076,2.7
2024-12-10 02:58:40.593274,2,36,955,2.7
2024-12-10 02:59:06.359569,3,38,1051,2.74
2024-12-10 02:59:16.846015,3,38,1051,2.74
2024-12-10 02:59:44.685227,1,33,1052,2.68
2024-12-10 02:59:45.195845,0,36,1076,2.7
2024-12-10 02:59:55.200242,0,36,1076,2.7
2024-12-10 02:59:55.205116,1,33,1053,2.68
2024-12-10 03:00:06.965744,3,38,1051,2.74
2024-12-10 03:00:14.975194,0,36,1076,2.7
2024-12-10 03:00:16.83578,3,38,1051,2.74
2024-12-10 03:07:16.255929,0,36,1076,2.7
2024-12-10 03:07:16.307547,3,38,1052,2.74
2024-12-10 03:07:24.031805,0,36,1076,2.7
2024-12-10 03:07:24.032439,2,36,957,2.7
