time,position,t,p,v
2024-12-06 05:56:51.72157,0,38,1091,2.72
2024-12-06 05:57:00.27154,1,36,1066,2.7
2024-12-06 05:57:01.657538,0,38,1091,2.72
2024-12-06 05:57:03.052036,3,42,1063,2.78
2024-12-06 05:57:13.512323,3,42,1062,2.78
2024-12-06 05:57:29.991847,1,36,1066,2.7
2024-12-06 05:57:31.341496,0,38,1091,2.72
2024-12-06 06:16:51.732478,0,38,1090,2.72
2024-12-06 06:17:03.631207,3,41,1061,2.76
2024-12-06 06:17:11.536833,0,38,1090,2.72
2024-12-06 06:17:41.85692,0,38,1091,2.72
2024-12-06 06:18:11.551909,0,38,1091,2.72
2024-12-06 06:18:13.543153,3,41,1061,2.78
2024-12-06 06:18:23.451988,3,41,1061,2.78
2024-12-06 06:18:35.662619,2,41,980,2.74
2024-12-06 06:18:51.731912,0,38,1090,2.72
2024-12-06 06:19:22.551241,3,41,1060,2.78
2024-12-06 06:19:34.382351,1,36,1066,2.7
2024-12-06 06:20:13.54139,3,41,1061,2.78
2024-12-06 06:20:23.451679,3,41,1061,2.78
2024-12-06 06:20:31.351659,0,38,1091,2.72
2024-12-06 06:21:41.861658,0,38,1090,2.72
2024-12-06 06:43:41.844457,0,38,1090,2.72
2024-12-06 06:43:51.742972,0,38,1090,2.72
2024-12-06 06:43:53.168907,3,41,1061,2.76
2024-12-06 06:44:21.453021,0,38,1090,2.72
2024-12-06 06:44:26.564312,3,41,1061,2.76
2024-12-06 06:44:35.681701,2,42,981,2.74
2024-12-06 06:45:03.076931,3,41,1061,2.76
2024-12-06 06:46:21.486551,0,38,1090,2.72
2024-12-06 06:46:23.453421,3,41,1061,2.76
2024-12-06 06:46:41.836519,0,38,1090,2.7
2024-12-06 06:46:53.155728,3,41,1061,2.76
2024-12-06 07:11:13.566181,3,41,1060,2.76
2024-12-06 07:11:31.947524,0,38,1089,2.7
2024-12-06 07:11:33.365591,3,41,1060,2.76
2024-12-06 07:11:41.845964,0,38,1089,2.7
2024-12-06 07:11:43.265719,3,41,1060,2.76
2024-12-06 07:12:31.963541,0,38,1090,2.72
2024-12-06 07:13:53.167681,3,41,1061,2.76
2024-12-06 07:14:24.585683,3,41,1060,2.76
2024-12-06 07:14:33.368105,3,41,1060,2.76
2024-12-06 07:14:56.321786,3,41,1060,2.76
2024-12-06 07:14:56.324151,1,36,1065,2.7
2024-12-06 07:14:56.326019,3,41,1060,2.76
2024-12-06 07:15:03.081897,3,41,1060,2.76
2024-12-06 07:15:10.2117,1,36,1065,2.7
2024-12-06 07:15:33.375047,3,41,1060,2.76
2024-12-06 07:15:35.684919,2,42,982,2.74
2024-12-06 07:16:05.445362,2,42,982,2.74
2024-12-06 07:16:11.586441,0,38,1090,2.72
2024-12-06 07:16:20.287675,1,36,1064,2.7
2024-12-06 07:16:51.781982,0,38,1091,2.72
2024-12-06 07:17:05.418044,2,42,983,2.76
2024-12-06 13:18:13.671689,3,38,1047,2.72
2024-12-06 13:18:20.240864,1,36,1068,2.66
2024-12-06 13:19:03.20859,3,38,1047,2.72
2024-12-06 13:19:21.696069,0,37,1083,2.7
2024-12-06 13:19:24.720928,3,37,1046,2.72
2024-12-06 13:19:25.971779,2,39,977,2.7
2024-12-06 13:19:30.156002,1,36,1064,2.66
2024-12-06 13:19:37.166509,1,36,1064,2.66
2024-12-06 13:20:00.437266,1,36,1071,2.66
2024-12-06 13:20:01.890994,0,37,1084,2.7
2024-12-06 13:20:03.226631,3,37,1046,2.72
2024-12-06 13:20:05.612129,2,39,977,2.7
2024-12-06 13:20:42.057862,0,37,1085,2.7
2024-12-06 13:20:43.408211,3,38,1048,2.72
2024-12-06 13:20:51.951828,0,37,1085,2.7
2024-12-06 13:20:53.307534,3,38,1048,2.72
2024-12-06 13:20:55.697899,2,39,979,2.7
2024-12-06 13:21:01.869322,0,37,1085,2.7
2024-12-06 13:21:12.624432,2,39,979,2.7
2024-12-06 13:21:20.243051,1,36,1069,2.66
2024-12-06 13:21:23.576967,3,38,1063,2.72
2024-12-06 13:21:31.597986,0,37,1085,2.7
2024-12-06 13:52:33.497784,3,39,1053,2.72
2024-12-06 13:52:40.065863,1,40,1085,2.7
2024-12-06 13:52:43.400072,3,39,1053,2.72
2024-12-06 13:54:00.447492,1,40,1080,2.7
2024-12-06 13:54:30.25754,1,40,1080,2.7
2024-12-06 13:55:03.205691,3,39,1059,2.72
2024-12-06 13:55:06.280366,0,38,1090,2.7
2024-12-06 13:55:20.258511,1,40,1084,2.7
2024-12-06 13:55:21.68483,0,38,1090,2.7
2024-12-06 13:55:50.539703,1,40,1076,2.7
2024-12-06 13:55:51.964768,0,38,1093,2.7
2024-12-06 13:56:00.436648,1,40,1076,2.7
2024-12-06 13:56:01.877033,0,38,1093,2.7
2024-12-06 13:56:23.605864,3,39,1053,2.72
2024-12-06 13:56:30.175734,1,40,1076,2.7
2024-12-06 13:57:06.158552,2,44,1000,2.74
2024-12-06 13:57:11.775609,0,38,1089,2.7
2024-12-06 13:57:16.075915,2,44,1000,2.74
