time,position,t,p,v
2024-12-22 01:23:36.917427,3,34,1032,2.68
2024-12-22 01:23:39.148349,1,34,1046,2.66
2024-12-22 01:23:55.477443,2,34,938,2.66
2024-12-22 01:24:05.066379,0,33,1062,2.64
2024-12-22 01:24:08.867443,1,34,1046,2.66
2024-12-22 01:24:27.026824,3,34,1031,2.68
2024-12-22 01:24:29.246361,1,34,1045,2.66
2024-12-22 01:24:36.04682,3,34,1031,2.68
2024-12-22 01:24:56.737541,3,34,1031,2.68
2024-12-22 01:24:58.958168,1,34,1045,2.66
2024-12-22 01:25:05.388341,2,33,938,2.66
2024-12-22 01:25:10.067961,0,33,1063,2.64
2024-12-22 01:25:29.23699,1,33,1046,2.64
2024-12-22 02:51:21.911406,3,34,1030,2.66
2024-12-22 02:51:21.967733,3,34,1031,2.66
2024-12-22 02:51:21.97971,1,33,1046,2.62
2024-12-22 02:51:25.21189,2,34,939,2.64
2024-12-22 02:51:25.312377,2,34,939,2.64
2024-12-22 02:51:29.301831,1,33,1046,2.62
2024-12-22 02:51:36.937247,3,33,1029,2.66
2024-12-22 02:51:44.717651,0,32,1061,2.64
2024-12-22 02:51:58.985247,1,33,1046,2.62
2024-12-22 02:52:05.413318,2,34,939,2.64
2024-12-22 02:52:15.011869,0,32,1060,2.64
2024-12-22 02:52:15.323182,2,34,939,2.64
2024-12-22 02:52:16.553094,3,33,1029,2.66
2024-12-22 02:52:24.904549,0,32,1060,2.64
2024-12-22 02:52:27.028576,3,34,1030,2.66
2024-12-22 02:52:45.282997,0,32,1060,2.64
2024-12-22 02:52:45.594014,2,34,938,2.64
2024-12-22 02:52:46.843656,3,34,1030,2.66
2024-12-22 02:52:56.74284,3,34,1030,2.66
2024-12-22 03:13:03.443147,0,32,1063,2.62
2024-12-22 03:13:05.104432,0,32,1063,2.62
2024-12-22 03:13:06.192339,2,33,931,2.64
2024-12-22 03:13:15.302926,2,33,931,2.64
2024-12-22 03:13:19.361449,1,32,1038,2.62
2024-12-22 03:13:24.911923,0,32,1063,2.62
