time,position,t,p,v
2024-12-04 02:53:58.997172,0,43,1109,2.78
2024-12-04 06:44:46.487591,1,38,1072,2.72
2024-12-04 06:45:09.048878,0,38,1109,2.72
2024-12-04 06:45:12.157819,2,40,978,2.76
2024-12-04 06:48:06.860755,1,38,1074,2.72
2024-12-04 06:48:09.02649,0,38,1094,2.72
2024-12-04 06:48:23.277334,3,41,1074,2.78
2024-12-04 07:09:18.952635,0,39,1097,2.74
2024-12-04 07:09:26.735981,1,39,1075,2.74
2024-12-04 07:09:46.494323,1,39,1075,2.74
2024-12-04 07:09:51.791733,2,42,986,2.76
2024-12-04 07:09:59.159721,0,39,1096,2.74
2024-12-04 07:10:26.683542,1,39,1075,2.74
2024-12-04 07:10:30.818329,3,42,1061,2.78
2024-12-04 07:10:56.968329,1,39,1077,2.74
2024-12-04 07:11:14.380305,2,42,989,2.76
2024-12-04 07:11:22.079891,2,42,989,2.76
2024-12-04 07:11:49.232805,0,39,1096,2.74
2024-12-04 07:11:50.612975,3,42,1062,2.78
2024-12-04 07:12:16.791436,1,39,1078,2.74
2024-12-04 07:12:28.93158,0,39,1096,2.74
2024-12-04 07:12:41.916734,2,42,993,2.76
2024-12-04 07:12:47.69947,1,39,1079,2.74
2024-12-04 07:34:03.117039,2,44,999,2.78
2024-12-04 07:34:43.429959,2,44,992,2.78
2024-12-04 07:34:51.81188,2,44,992,2.78
2024-12-04 07:35:02.280132,2,44,1003,2.78
2024-12-04 07:36:30.825848,3,43,1067,2.78
2024-12-04 07:36:31.99149,2,45,999,2.78
2024-12-04 07:36:36.606469,1,41,1085,2.74
2024-12-04 07:36:49.256659,0,40,1112,2.74
2024-12-04 07:37:02.291789,2,45,1001,2.78
2024-12-04 07:37:28.876269,0,40,1112,2.74
2024-12-04 07:37:32.016077,2,45,1001,2.78
2024-12-04 07:40:06.894715,1,41,1093,2.74
2024-12-04 07:40:09.064008,0,40,1099,2.74
2024-12-04 07:40:11.01387,3,43,1067,2.78
2024-12-04 07:40:12.193888,2,45,1001,2.78
2024-12-04 07:40:20.908661,3,43,1067,2.78
2024-12-04 07:40:26.709671,1,41,1093,2.74
2024-12-04 07:40:28.899625,0,40,1099,2.74
2024-12-04 07:40:49.249163,0,40,1101,2.74
2024-12-04 07:41:01.110274,3,43,1077,2.8
2024-12-04 07:41:02.385767,2,45,998,2.78
2024-12-04 07:41:18.981824,0,40,1101,2.74
2024-12-04 07:41:26.705638,1,41,1089,2.74
2024-12-04 07:41:32.006641,2,45,998,2.78
2024-12-04 07:41:40.72556,3,43,1077,2.8
2024-12-04 07:41:46.52588,1,41,1089,2.74
2024-12-04 07:41:49.260321,0,40,1109,2.74
2024-12-04 07:41:50.625173,3,43,1077,2.8
2024-12-04 07:42:06.894788,1,41,1082,2.74
2024-12-04 07:42:11.015372,3,43,1065,2.78
2024-12-04 07:42:12.205405,2,45,1006,2.78
2024-12-04 07:42:16.795441,1,41,1082,2.74
2024-12-04 07:42:18.975932,0,40,1109,2.74
2024-12-04 07:42:20.919184,3,43,1065,2.78
2024-12-04 07:42:22.095742,2,45,1006,2.78
2024-12-04 07:42:26.721844,1,41,1082,2.74
2024-12-04 07:42:28.886834,0,40,1109,2.74
2024-12-04 07:42:32.007652,2,45,1006,2.78
2024-12-04 07:42:46.520852,1,41,1082,2.74
2024-12-04 07:42:56.996802,1,41,1089,2.74
2024-12-04 07:43:01.102637,3,43,1079,2.78
2024-12-04 07:43:01.722777,2,45,1006,2.78
2024-12-04 07:43:12.201886,2,45,1001,2.78
2024-12-04 07:43:22.113227,2,45,1001,2.78
2024-12-04 07:43:26.704645,1,41,1089,2.74
2024-12-04 07:43:31.436722,0,40,1101,2.74
2024-12-04 07:43:31.997161,2,45,1001,2.78
2024-12-04 07:43:39.354812,0,40,1111,2.74
2024-12-04 07:43:40.728884,3,43,1079,2.78
2024-12-04 07:43:46.522637,1,41,1089,2.74
2024-12-04 07:44:01.717502,2,45,1001,2.78
2024-12-04 07:44:06.912467,1,42,1088,2.74
2024-12-04 07:44:16.807993,1,42,1088,2.74
2024-12-04 07:44:18.97867,0,40,1111,2.74
2024-12-04 07:44:20.938402,3,43,1084,2.8
2024-12-04 02:54:00.911268,3,48,1083,2.84
2024-12-04 06:45:22.063303,2,40,978,2.76
2024-12-04 06:45:30.792509,3,41,1072,2.78
2024-12-04 06:45:49.228259,0,38,1092,2.72
2024-12-04 06:45:50.593198,3,41,1072,2.78
2024-12-04 06:46:12.176274,2,40,985,2.76
2024-12-04 06:46:12.180935,2,40,985,2.76
2024-12-04 06:46:28.887962,0,38,1092,2.72
2024-12-04 06:46:31.966862,2,40,985,2.76
2024-12-04 06:46:49.231993,0,38,1098,2.72
2024-12-04 06:47:01.686878,2,40,985,2.76
2024-12-04 06:47:18.942092,0,38,1098,2.72
2024-12-04 06:47:28.856063,0,38,1098,2.72
2024-12-04 06:47:31.973902,2,40,988,2.76
2024-12-04 03:09:40.61133,3,48,1081,2.84
2024-12-04 03:09:40.658729,0,42,1107,2.78
2024-12-04 03:09:40.671362,3,48,1081,2.84
2024-12-04 03:09:41.861746,2,45,996,2.82
2024-12-04 03:10:00.926827,3,48,1080,2.84
2024-12-04 03:10:12.087105,2,45,994,2.82
2024-12-04 03:10:28.74045,0,42,1107,2.78
2024-12-04 03:10:30.686968,3,48,1080,2.84
2024-12-04 03:10:40.586853,3,48,1080,2.84
2024-12-04 03:10:46.372085,1,43,1093,2.78
2024-12-04 03:10:59.011416,0,42,1108,2.78
2024-12-04 03:11:12.269526,2,45,996,2.82
2024-12-04 03:11:26.566783,1,43,1093,2.8
2024-12-04 03:11:28.737293,0,42,1108,2.78
2024-12-04 03:11:31.872067,2,45,996,2.82
2024-12-04 03:11:50.468966,3,48,1079,2.84
2024-12-04 06:46:10.987094,3,41,1062,2.78
2024-12-04 06:46:22.076387,2,40,985,2.76
2024-12-04 06:46:36.587488,1,38,1071,2.72
2024-12-04 07:26:45.726975,3,42,1065,2.78
2024-12-04 07:26:47.106407,1,40,1081,2.74
2024-12-04 07:26:48.326478,0,39,1099,2.74
2024-12-04 07:27:00.52058,3,42,1066,2.78
2024-12-04 03:09:50.465145,3,48,1081,2.84
2024-12-04 03:09:56.829064,1,43,1093,2.78
2024-12-04 03:10:08.897126,0,42,1107,2.78
2024-12-04 03:10:31.892087,2,45,994,2.82
2024-12-04 03:11:36.461254,1,43,1093,2.8
2024-12-04 03:11:39.191783,0,42,1108,2.78
2024-12-04 06:46:40.706859,3,41,1062,2.78
2024-12-04 06:47:07.154452,1,38,1073,2.72
2024-12-04 06:47:10.991374,3,41,1060,2.78
2024-12-04 06:47:22.08637,2,40,988,2.76
2024-12-04 06:48:17.369227,1,38,1074,2.72
2024-12-04 07:26:51.827847,2,43,992,2.78
2024-12-04 07:27:02.276229,2,43,995,2.76
2024-12-04 07:27:11.005512,3,43,1065,2.78
2024-12-04 07:27:12.179837,2,43,995,2.76
2024-12-04 07:27:39.349879,0,39,1096,2.74
2024-12-04 07:28:01.726407,2,43,995,2.76
2024-12-04 07:28:09.050433,0,39,1096,2.74
2024-12-04 07:28:22.08752,2,43,997,2.78
2024-12-04 07:28:28.865648,0,39,1096,2.74
2024-12-04 07:28:28.904674,0,39,1096,2.74
2024-12-04 00:00:00.115174,3,52,1100,2.86
2024-12-04 00:00:01.300495,2,59,1040,2.9
2024-12-04 00:00:08.753341,0,48,1127,2.82
2024-12-04 00:00:46.071914,1,55,1131,2.88
2024-12-04 04:15:42.306974,0,41,1102,2.76
2024-12-04 04:15:42.361471,1,41,1083,2.78
2024-12-04 04:16:02.201772,2,42,984,2.78
2024-12-04 04:16:22.001787,2,42,984,2.78
2024-12-04 04:16:56.882798,1,40,1081,2.78
2024-12-04 04:17:20.7922,3,45,1071,2.82
2024-12-04 04:17:30.7016,3,45,1071,2.82
2024-12-04 04:17:40.621721,3,45,1071,2.82
2024-12-04 04:17:50.501721,3,45,1071,2.82
2024-12-04 04:17:51.722138,2,42,984,2.78
2024-12-04 06:47:36.577308,1,38,1073,2.72
2024-12-04 06:47:39.349127,0,38,1094,2.72
2024-12-04 06:47:51.791694,2,40,988,2.76
2024-12-04 06:47:59.132777,0,38,1094,2.72
2024-12-04 06:48:00.507467,3,41,1060,2.78
2024-12-04 06:48:23.278028,2,41,983,2.76
2024-12-04 00:00:18.621265,0,48,1127,2.82
2024-12-04 00:00:30.406621,3,53,1101,2.88
2024-12-04 00:00:36.176784,1,55,1131,2.88
2024-12-04 00:00:41.486431,2,59,1038,2.9
2024-12-04 00:00:51.384181,2,59,1038,2.9
2024-12-04 04:15:49.16751,0,41,1101,2.76
2024-12-04 04:15:51.716993,2,42,985,2.78
2024-12-04 04:15:56.887304,1,41,1082,2.76
2024-12-04 04:16:00.422157,3,45,1070,2.82
2024-12-04 04:16:06.797237,1,41,1082,2.76
2024-12-04 04:16:12.111565,2,42,984,2.78
2024-12-04 04:16:16.68669,1,41,1082,2.76
2024-12-04 04:16:20.792243,3,44,1070,2.82
2024-12-04 04:16:26.596548,1,41,1082,2.76
2024-12-04 04:16:28.782421,0,41,1101,2.76
2024-12-04 04:16:31.912426,2,42,984,2.78
2024-12-04 04:16:41.820098,2,42,984,2.78
2024-12-04 04:16:46.42348,1,41,1082,2.76
2024-12-04 04:16:51.732181,2,42,984,2.78
2024-12-04 04:16:59.066646,0,41,1101,2.76
2024-12-04 04:17:22.011537,2,42,984,2.78
2024-12-04 04:17:36.49213,1,40,1081,2.78
2024-12-04 04:17:49.152373,0,41,1101,2.76
2024-12-04 04:17:56.881608,1,40,1081,2.76
2024-12-04 06:56:11.501323,1,38,1075,2.72
2024-12-04 06:56:11.563561,3,41,1062,2.78
2024-12-04 06:56:11.565926,3,42,1062,2.78
2024-12-04 06:56:19.191439,0,38,1095,2.72
2024-12-04 06:56:30.795357,3,42,1062,2.78
2024-12-04 07:27:30.815691,3,43,1065,2.78
2024-12-04 07:27:40.71498,3,43,1065,2.78
2024-12-04 07:28:06.90548,1,40,1082,2.74
2024-12-04 07:29:01.702183,2,43,997,2.78
2024-12-04 07:29:20.936429,3,42,1065,2.78
2024-12-04 07:29:28.870071,0,39,1098,2.74
2024-12-04 07:29:39.351121,0,39,1099,2.74
2024-12-04 07:30:00.53136,3,42,1065,2.78
2024-12-04 07:30:01.714842,2,43,996,2.78
2024-12-04 07:30:11.011962,3,43,1066,2.78
2024-12-04 07:30:30.817869,3,43,1066,2.78
2024-12-04 07:30:36.596934,1,40,1086,2.74
2024-12-04 07:30:39.342037,0,39,1098,2.74
2024-12-04 00:00:58.801615,0,48,1128,2.82
2024-12-04 00:01:00.12739,3,53,1101,2.88
2024-12-04 00:01:10.587541,3,53,1101,2.86
2024-12-04 00:01:11.831169,2,59,1038,2.9
2024-12-04 00:01:18.606618,0,48,1128,2.82
2024-12-04 00:01:30.402168,3,53,1101,2.86
2024-12-04 00:01:48.903027,0,48,1128,2.82
2024-12-04 00:01:56.572446,1,55,1134,2.88
2024-12-04 00:02:01.283109,2,59,1038,2.9
2024-12-04 00:02:20.513487,3,53,1100,2.88
2024-12-04 00:02:39.01499,0,48,1127,2.82
2024-12-04 00:02:46.103568,1,55,1134,2.88
2024-12-04 00:02:58.813297,0,48,1127,2.82
2024-12-04 00:03:10.607803,3,53,1101,2.88
2024-12-04 00:03:16.385676,1,55,1133,2.88
2024-12-04 00:03:28.523674,0,48,1127,2.82
2024-12-04 00:03:31.588661,2,59,1040,2.9
2024-12-04 00:03:38.998891,0,48,1125,2.82
2024-12-04 00:03:56.563941,1,55,1134,2.86
2024-12-04 00:04:16.374696,1,55,1134,2.86
2024-12-04 00:04:20.504434,3,53,1102,2.88
2024-12-04 00:04:20.589258,3,53,1102,2.88
2024-12-04 00:04:30.093562,1,55,1134,2.86
2024-12-04 00:04:31.573884,2,59,1040,2.9
2024-12-04 00:04:46.094772,1,55,1134,2.86
2024-12-04 00:04:50.219166,3,53,1102,2.88
2024-12-04 00:04:51.409447,2,59,1040,2.9
2024-12-04 00:04:58.810339,0,48,1126,2.82
