time,position,t,p,v
2024-12-13 14:38:58.992155,0,43,1103,2.74
2024-12-13 14:39:31.112346,3,47,1086,2.78
2024-12-13 14:39:32.227273,3,47,1086,2.78
2024-12-13 15:08:30.710605,1,50,1106,2.8
2024-12-13 15:08:39.221042,0,44,1107,2.76
2024-12-13 15:08:41.070732,3,48,1082,2.8
2024-12-13 15:08:50.547965,1,50,1106,2.8
2024-12-13 15:09:20.793869,1,50,1102,2.78
2024-12-13 15:09:21.226064,3,48,1093,2.8
2024-12-13 15:09:25.175354,3,48,1093,2.8
2024-12-13 15:09:37.237435,2,55,1008,2.84
2024-12-13 17:35:49.263265,0,47,1115,2.78
2024-12-13 17:36:09.103256,0,47,1115,2.78
2024-12-13 17:36:50.762611,1,53,1107,2.82
2024-12-13 17:37:05.223887,3,52,1093,2.84
2024-12-13 17:37:17.124114,2,57,1012,2.88
2024-12-13 17:37:28.063577,3,52,1092,2.84
2024-12-13 17:37:28.873566,0,47,1114,2.78
2024-12-13 17:37:44.583479,3,52,1092,2.84
2024-12-13 17:37:52.82848,3,52,1092,2.84
2024-12-13 17:38:09.358927,3,52,1092,2.84
2024-12-13 19:19:17.335505,2,59,1027,2.88
2024-12-13 14:39:00.947164,1,50,1100,2.78
2024-12-13 14:39:06.89884,2,54,1010,2.82
2024-12-13 14:39:21.227594,3,47,1086,2.78
2024-12-13 14:39:27.253536,2,54,1010,2.82
2024-12-13 14:39:28.692505,0,43,1103,2.74
2024-12-13 14:39:38.597759,0,43,1103,2.74
2024-12-13 16:07:29.578431,3,50,1088,2.82
2024-12-13 16:07:34.082845,2,57,1016,2.86
2024-12-13 16:09:01.095301,1,53,1111,2.82
2024-12-13 16:09:16.437476,0,45,1111,2.76
2024-12-13 16:09:21.336951,3,50,1087,2.82
2024-12-13 16:09:21.750736,1,53,1111,2.82
2024-12-13 16:09:31.230833,3,50,1087,2.82
2024-12-13 18:19:52.01463,0,46,1113,2.78
2024-12-13 18:20:11.006601,3,51,1092,2.84
2024-12-13 18:20:17.781643,2,56,1007,2.86
2024-12-13 18:20:19.142088,0,46,1122,2.78
2024-12-13 18:20:28.925503,0,46,1122,2.78
2024-12-13 18:20:31.390913,3,51,1099,2.84
2024-12-13 18:20:51.213056,3,51,1099,2.84
2024-12-13 18:20:59.206769,0,46,1120,2.8
2024-12-13 18:21:01.326078,1,52,1116,2.82
2024-12-13 18:21:07.29727,2,56,1007,2.86
2024-12-13 18:21:09.126986,0,46,1120,2.8
2024-12-13 18:21:21.111513,1,52,1116,2.82
2024-12-13 18:21:37.607322,2,56,1021,2.86
2024-12-13 18:21:41.301998,3,52,1092,2.84
2024-12-13 18:22:07.324833,2,56,1021,2.86
2024-12-13 18:22:17.222654,2,56,1021,2.86
2024-12-13 18:22:38.84248,0,46,1114,2.78
2024-12-13 18:22:50.843234,1,52,1118,2.82
2024-12-13 18:22:57.417128,2,56,1021,2.88
2024-12-13 18:23:21.122268,1,52,1118,2.84
2024-12-13 14:51:21.908623,3,48,1079,2.78
2024-12-13 14:51:21.962274,1,51,1109,2.78
2024-12-13 14:51:31.117474,1,51,1109,2.78
2024-12-13 14:51:31.11977,3,48,1080,2.78
2024-12-13 14:51:38.604479,0,44,1105,2.74
2024-12-13 14:52:18.798673,0,44,1105,2.74
2024-12-13 14:52:39.186138,0,44,1105,2.74
2024-12-13 14:52:40.589482,1,51,1109,2.78
2024-12-13 14:52:41.063904,3,48,1082,2.78
2024-12-13 14:53:00.966968,1,51,1108,2.78
2024-12-13 14:53:16.792044,2,55,1016,2.82
2024-12-13 14:53:20.757561,1,51,1108,2.78
2024-12-13 14:53:28.703106,0,44,1105,2.74
2024-12-13 14:53:40.583718,1,51,1108,2.78
2024-12-13 14:54:00.39619,1,51,1108,2.78
2024-12-13 16:07:33.149172,0,45,1111,2.76
2024-12-13 16:07:39.279763,0,45,1110,2.76
2024-12-13 16:07:46.438651,2,57,1016,2.84
2024-12-13 16:08:00.53488,1,54,1113,2.82
2024-12-13 16:08:00.940082,3,50,1088,2.82
2024-12-13 16:08:02.959547,2,57,1016,2.84
2024-12-13 16:08:04.034071,0,45,1110,2.76
2024-12-13 16:08:25.881664,1,54,1112,2.82
2024-12-13 16:08:29.908648,2,57,1017,2.86
2024-12-13 16:08:37.079327,0,45,1110,2.76
2024-12-13 16:08:38.163493,2,57,1017,2.86
2024-12-13 16:08:51.661384,0,45,1111,2.76
2024-12-13 16:08:58.815066,2,57,1017,2.86
2024-12-13 16:08:58.915788,1,54,1112,2.82
2024-12-13 16:09:07.069533,2,57,1017,2.86
2024-12-13 16:09:10.852647,3,50,1088,2.82
2024-12-13 16:09:17.539324,2,57,1013,2.86
2024-12-13 16:09:24.915923,3,50,1087,2.82
2024-12-13 16:09:25.774209,2,57,1013,2.86
2024-12-13 18:20:00.734986,1,52,1118,2.82
2024-12-13 18:20:01.111483,3,51,1092,2.84
2024-12-13 14:52:00.959112,1,51,1109,2.78
2024-12-13 14:52:10.749573,3,48,1080,2.78
2024-12-13 14:52:10.859475,1,51,1109,2.78
2024-12-13 14:52:21.224912,3,48,1082,2.78
2024-12-13 14:53:00.852623,3,48,1082,2.78
2024-12-13 16:07:41.147509,3,50,1088,2.82
2024-12-13 16:07:50.559099,2,57,1016,2.84
2024-12-13 16:07:51.039875,3,50,1088,2.82
2024-12-13 16:07:55.79889,0,45,1110,2.76
2024-12-13 16:08:13.459531,1,54,1112,2.82
2024-12-13 16:08:16.440406,0,45,1110,2.76
2024-12-13 16:08:17.529306,2,57,1017,2.86
2024-12-13 16:08:42.396167,1,54,1112,2.82
2024-12-13 18:21:17.227867,2,56,1007,2.86
2024-12-13 18:21:17.275349,2,56,1007,2.86
2024-12-13 18:21:19.027255,0,46,1120,2.8
2024-12-13 18:21:21.487514,3,52,1092,2.84
2024-12-13 18:21:47.502154,2,56,1021,2.86
2024-12-13 18:21:49.306326,0,46,1114,2.78
2024-12-13 18:22:01.321358,1,52,1118,2.82
2024-12-13 18:22:19.027816,0,46,1114,2.78
2024-12-13 18:22:27.688511,2,56,1021,2.88
2024-12-13 18:22:28.943046,0,46,1114,2.78
2024-12-13 18:22:40.943715,1,52,1118,2.82
2024-12-13 18:22:41.307972,3,52,1093,2.84
2024-12-13 18:22:51.222544,3,52,1093,2.84
2024-12-13 18:23:11.043595,3,52,1093,2.84
2024-12-13 18:23:11.208347,1,52,1118,2.84
2024-12-13 14:53:09.037727,0,44,1105,2.74
2024-12-13 14:53:31.129561,3,48,1084,2.78
2024-12-13 14:53:38.610023,0,44,1105,2.74
2024-12-13 14:54:08.899023,0,44,1118,2.74
2024-12-13 16:48:45.018768,3,52,1106,2.84
2024-12-13 16:48:58.967616,1,53,1109,2.82
2024-12-13 16:49:01.007876,3,52,1107,2.84
2024-12-13 16:49:18.910952,0,47,1126,2.78
2024-12-13 16:49:19.712061,3,52,1093,2.84
2024-12-13 16:49:32.104356,3,52,1093,2.84
2024-12-13 16:49:48.626701,3,52,1093,2.84
2024-12-13 16:49:57.229837,2,57,1015,2.86
2024-12-13 16:50:15.5833,3,52,1094,2.84
2024-12-13 16:50:19.707549,3,52,1094,2.84
2024-12-13 16:50:25.934879,1,53,1120,2.82
2024-12-13 16:50:30.063635,1,53,1120,2.82
2024-12-13 16:50:48.62327,3,52,1094,2.84
2024-12-13 16:51:05.151493,3,52,1094,2.84
2024-12-13 16:51:09.015946,0,47,1115,2.78
2024-12-13 16:51:13.539679,1,53,1117,2.82
2024-12-13 16:51:21.797818,1,53,1117,2.82
2024-12-13 16:51:23.855921,3,52,1093,2.84
2024-12-13 19:16:26.853522,3,53,1096,2.86
2024-12-13 19:16:31.483633,3,53,1103,2.86
2024-12-13 19:16:41.038393,1,55,1120,2.84
2024-12-13 19:17:19.093608,0,48,1126,2.8
2024-12-13 19:17:38.90907,0,48,1126,2.8
