time,position,rpm
2024-12-01 03:07:39.521791,0,0
2024-12-01 10:41:48.948674,0,0
2024-12-01 10:41:53.996381,0,0
2024-12-01 10:41:58.91133,0,0
2024-12-01 10:42:03.921686,0,0
2024-12-01 10:42:08.918379,0,0
2024-12-01 10:42:13.931667,0,0
2024-12-01 10:42:18.93642,0,0
2024-12-01 10:42:23.948252,0,0
2024-12-01 10:42:28.949791,0,0
2024-12-01 10:42:33.940995,0,0
2024-12-01 10:42:38.965242,0,0
2024-12-01 10:42:43.950319,0,0
2024-12-01 10:42:48.973793,0,0
2024-12-01 10:42:53.970362,0,0
2024-12-01 10:42:58.969953,0,0
2024-12-01 10:43:03.97252,0,0
2024-12-01 10:43:08.973899,0,0
2024-12-01 10:43:14.002671,0,0
2024-12-01 10:43:19.017006,0,0
2024-12-01 10:43:24.032699,0,0
2024-12-01 10:43:29.006251,0,0
2024-12-01 10:43:34.0369,0,0
2024-12-01 10:43:39.03724,0,0
2024-12-01 10:43:44.016645,0,0
2024-12-01 10:43:49.060894,0,0
2024-12-01 10:43:54.051183,0,0
2024-12-01 10:49:04.266538,0,0
2024-12-01 10:49:09.26818,0,0
2024-12-01 10:49:14.272402,0,0
2024-12-01 10:49:19.287789,0,0
2024-12-01 10:49:24.291547,0,0
2024-12-01 10:49:29.298182,0,0
2024-12-01 10:49:34.299549,0,0
2024-12-01 10:49:39.308475,0,0
2024-12-01 10:49:44.308956,0,0
2024-12-01 10:49:49.246002,0,0
2024-12-01 10:49:54.270507,0,0
2024-12-01 10:49:59.27042,0,0
2024-12-01 10:50:04.299236,0,0
2024-12-01 10:50:09.293702,0,0
2024-12-01 10:50:14.301379,0,0
2024-12-01 10:50:19.301256,0,0
2024-12-01 10:50:24.300981,0,0
2024-12-01 10:50:29.295165,0,0
2024-12-01 10:50:34.311448,0,0
2024-12-01 10:50:39.332571,0,0
2024-12-01 10:50:44.333078,0,0
2024-12-01 10:50:49.341298,0,0
2024-12-01 10:50:54.331316,0,0
2024-12-01 10:50:59.373004,0,0
2024-12-01 10:51:04.353495,0,0
2024-12-01 10:51:09.353558,0,0
2024-12-01 10:51:14.365829,0,0
2024-12-01 10:51:19.372297,0,0
2024-12-01 10:51:24.371436,0,0
2024-12-01 10:51:29.375568,0,0
2024-12-01 10:51:34.390702,0,0
2024-12-01 10:51:39.413069,0,0
2024-12-01 10:51:44.390806,0,0
2024-12-01 10:51:49.340762,0,0
2024-12-01 10:51:54.36637,0,0
2024-12-01 10:51:59.365669,0,0
2024-12-01 10:52:04.370703,0,0
2024-12-01 10:52:09.372432,0,0
2024-12-01 10:52:14.374508,0,0
2024-12-01 10:52:19.418581,0,0
2024-12-01 10:52:24.445323,0,0
2024-12-01 10:52:29.405672,0,0
2024-12-01 10:52:29.52578,0,2194
2024-12-01 10:52:34.460644,0,0
2024-12-01 10:52:39.459329,0,0
2024-12-01 10:52:44.419213,0,0
2024-12-01 10:52:49.412343,0,0
2024-12-01 10:52:54.431802,0,0
2024-12-01 10:52:59.43432,0,0
2024-12-01 10:53:04.452905,0,0
2024-12-01 10:53:09.452803,0,0
2024-12-01 10:53:14.493366,0,0
2024-12-01 10:53:19.46947,0,0
2024-12-01 10:53:23.069361,0,17
2024-12-01 10:53:28.018375,0,0
2024-12-01 10:53:33.01906,0,0
2024-12-01 10:53:38.024325,0,0
2024-12-01 10:53:43.03023,0,0
2024-12-01 10:53:47.974331,0,0
2024-12-01 10:53:53.012806,0,0
2024-12-01 10:53:57.991492,0,0
2024-12-01 10:54:03.009124,0,0
2024-12-01 10:54:08.011273,0,0
2024-12-01 10:54:13.028621,0,0
2024-12-01 10:54:18.013449,0,0
2024-12-01 10:54:21.668604,0,16
2024-12-01 10:54:26.616401,0,0
2024-12-01 10:54:31.630682,0,0
2024-12-01 10:54:36.590311,0,0
2024-12-01 10:54:41.577481,0,0
2024-12-01 10:54:46.656719,0,0
2024-12-01 10:54:51.605505,0,0
2024-12-01 10:54:56.613273,0,0
2024-12-01 10:55:01.612202,0,0
2024-12-01 10:55:06.613186,0,0
2024-12-01 10:55:11.620594,0,0
2024-12-01 10:55:16.630995,0,0
2024-12-01 10:55:21.655254,0,0
2024-12-01 10:55:26.633053,0,0
2024-12-01 10:55:31.653179,0,0
2024-12-01 10:55:36.654391,0,0
2024-12-01 10:55:41.653227,0,0
2024-12-01 10:55:46.671358,0,0
2024-12-01 10:55:51.670559,0,0
2024-12-01 10:55:56.687701,0,0
2024-12-01 10:56:01.689309,0,0
2024-12-01 10:56:06.693999,0,0
2024-12-01 10:56:11.7115,0,0
2024-12-01 10:56:26.727426,0,0
2024-12-01 10:56:31.704548,0,0
2024-12-01 10:56:36.733623,0,0
2024-12-01 10:56:41.67061,0,0
2024-12-01 10:56:46.687594,0,0
2024-12-01 10:56:51.690415,0,0
2024-12-01 10:56:56.701188,0,0
2024-12-01 10:57:01.697515,0,0
2024-12-01 10:57:06.726026,0,0
2024-12-01 10:57:11.714584,0,0
2024-12-01 10:57:16.711388,0,0
2024-12-01 10:57:21.727807,0,0
2024-12-01 10:57:26.821466,0,0
2024-12-01 10:57:31.766824,0,0
2024-12-01 10:57:36.74796,0,0
2024-12-01 10:57:41.765753,0,0
2024-12-01 10:57:46.774686,0,0
2024-12-01 10:57:51.776018,0,0
2024-12-01 10:57:56.828209,0,0
2024-12-01 10:58:01.81287,0,0
2024-12-01 10:58:06.831768,0,0
2024-12-01 10:58:11.777705,0,0
2024-12-01 10:58:16.795098,0,0
2024-12-01 10:58:21.80567,0,0
2024-12-01 10:58:26.823272,0,0
2024-12-01 10:58:31.774814,0,0
2024-12-01 10:58:36.823199,0,0
2024-12-01 10:58:41.770973,0,0
2024-12-01 10:58:46.774693,0,0
2024-12-01 10:58:51.790873,0,0
2024-12-01 10:58:56.779894,0,0
2024-12-01 10:59:01.790665,0,0
2024-12-01 10:59:06.805967,0,0
2024-12-01 10:59:11.827392,0,0
2024-12-01 10:59:16.845714,0,0
2024-12-01 10:59:21.830523,0,0
2024-12-01 10:59:26.831877,0,0
2024-12-01 10:59:31.845993,0,0
2024-12-01 10:59:36.8303,0,0
2024-12-01 10:59:41.902612,0,0
2024-12-01 10:59:46.853328,0,0
2024-12-01 11:14:22.720907,0,0
2024-12-01 11:14:27.704646,0,0
2024-12-01 11:14:32.720809,0,0
2024-12-01 11:14:37.74195,0,0
2024-12-01 11:14:42.757003,0,0
2024-12-01 11:14:47.751157,0,0
2024-12-01 11:14:52.771034,0,0
2024-12-01 11:15:02.771526,0,0
2024-12-01 11:15:12.780983,0,0
2024-12-01 11:15:27.80108,0,0
2024-12-01 11:15:32.820912,0,0
2024-12-01 11:15:37.821234,0,0
2024-12-01 11:15:42.86222,0,0
2024-12-01 11:15:47.821144,0,0
2024-12-01 11:15:57.833136,0,0
2024-12-01 11:16:07.841943,0,0
2024-12-01 11:14:57.770957,0,0
2024-12-01 11:15:07.76482,0,0
2024-12-01 11:15:17.781805,0,0
2024-12-01 11:15:22.816154,0,0
2024-12-01 11:15:52.901832,0,0
2024-12-01 11:16:02.836387,0,0
2024-12-01 11:27:53.412421,0,0
2024-12-01 11:27:53.836363,0,132
2024-12-01 11:27:58.846996,0,0
2024-12-01 11:28:03.976971,0,0
2024-12-01 11:28:05.947059,0,31
2024-12-01 11:28:10.757553,0,0
2024-12-01 11:28:15.771655,0,0
2024-12-01 11:28:20.731931,0,0
2024-12-01 11:28:25.771499,0,0
2024-12-01 11:28:30.746766,0,0
2024-12-01 11:28:35.73187,0,0
2024-12-01 11:28:40.755378,0,0
2024-12-01 11:28:45.792083,0,0
2024-12-01 11:28:50.751376,0,0
