time,position,rpm
2024-12-03 13:53:55.846731,0,0
2024-12-03 13:54:05.860512,0,0
2024-12-03 13:54:08.561622,0,23
2024-12-03 13:54:21.105329,2,0
2024-12-03 13:54:23.46015,0,0
2024-12-03 13:54:31.105061,2,0
2024-12-03 13:54:36.124648,2,0
2024-12-03 13:54:38.440486,0,0
2024-12-03 13:54:43.565597,0,5119
2024-12-03 13:54:56.124998,2,0
2024-12-03 13:54:58.471228,0,0
2024-12-03 13:55:06.165058,2,0
2024-12-03 13:55:08.467071,0,0
2024-12-03 13:55:10.670943,0,28
2024-12-03 13:55:20.620929,0,0
2024-12-03 13:55:21.164841,2,0
2024-12-03 13:55:25.656439,0,0
2024-12-03 13:55:30.641056,0,0
2024-12-03 13:55:41.144882,2,0
2024-12-03 13:55:45.661955,0,0
2024-12-03 13:55:50.657059,0,0
2024-12-03 13:56:00.719437,0,0
2024-12-03 13:56:01.135301,2,0
2024-12-03 13:56:06.165078,2,0
2024-12-03 13:56:11.185335,2,0
2024-12-03 13:56:20.712245,0,0
2024-12-03 13:56:26.19492,2,0
2024-12-03 13:56:30.696459,0,0
2024-12-03 13:56:35.697886,0,0
2024-12-03 13:56:36.205678,2,0
2024-12-03 13:56:40.727863,0,0
2024-12-03 13:56:41.215376,2,0
2024-12-03 13:56:46.215571,2,0
2024-12-03 13:56:51.195569,2,0
2024-12-03 13:56:51.402744,0,85
2024-12-03 13:56:56.467687,0,0
2024-12-03 13:57:06.265033,2,0
2024-12-03 13:57:06.534164,0,0
2024-12-03 13:57:11.255357,2,0
2024-12-03 13:57:11.48815,0,0
2024-12-03 13:57:16.25524,2,0
2024-12-03 13:57:16.559679,0,0
2024-12-03 13:57:21.688937,0,0
2024-12-03 13:57:26.433924,0,0
2024-12-03 13:57:31.453089,0,0
2024-12-03 13:57:41.514307,0,0
2024-12-03 13:57:46.245372,2,0
2024-12-03 13:57:46.522962,0,0
2024-12-03 13:57:52.27395,0,0
2024-12-03 13:58:01.255376,2,0
2024-12-03 13:58:01.598723,0,0
2024-12-03 13:58:06.245189,2,0
2024-12-03 13:58:11.268639,2,0
2024-12-03 13:58:16.46899,0,0
2024-12-03 13:58:21.459005,0,0
2024-12-03 13:58:26.294988,2,0
2024-12-03 13:58:26.449758,0,0
2024-12-03 13:58:36.315131,2,0
2024-12-03 13:58:36.469616,0,0
2024-12-03 13:58:41.315026,2,0
2024-12-03 13:58:41.479524,0,0
2024-12-03 13:58:51.284924,2,0
2024-12-03 13:58:51.489719,0,0
2024-12-03 13:58:59.660919,0,19
2024-12-03 13:59:06.325112,2,0
2024-12-03 13:59:11.336617,2,0
2024-12-03 13:59:14.33967,0,13
2024-12-03 13:59:19.31024,0,0
2024-12-03 13:59:21.354879,2,0
2024-12-03 13:59:24.339828,0,0
2024-12-03 13:59:26.354775,2,0
2024-12-03 13:59:29.234226,0,0
2024-12-03 13:59:34.240396,0,0
2024-12-03 13:59:36.374759,2,0
2024-12-03 13:59:39.250256,0,0
2024-12-03 13:59:46.314942,2,0
2024-12-03 13:59:51.325093,2,0
2024-12-03 13:59:53.210532,0,16
2024-12-03 13:59:56.325993,2,0
2024-12-03 14:00:01.324717,2,0
2024-12-03 14:00:03.001171,0,0
2024-12-03 14:00:21.374853,2,0
2024-12-03 14:00:23.011012,0,0
2024-12-03 15:57:03.16881,0,0
2024-12-03 15:57:04.724853,2,0
2024-12-03 15:57:24.735485,2,0
2024-12-03 15:57:34.764915,2,0
2024-12-03 15:57:36.438612,0,0
2024-12-03 15:57:39.765015,2,0
2024-12-03 15:57:41.208362,0,0
2024-12-03 15:57:44.755025,2,0
2024-12-03 15:57:46.269168,0,0
2024-12-03 15:57:49.775104,2,0
2024-12-03 15:57:54.784715,2,0
2024-12-03 15:57:59.785266,2,0
2024-12-03 15:58:01.20924,0,0
2024-12-03 15:58:06.235854,0,0
2024-12-03 15:58:09.865168,2,0
2024-12-03 15:58:18.474065,0,30
2024-12-03 15:58:19.755432,2,0
2024-12-03 15:58:22.058855,0,30
2024-12-03 15:58:24.754973,2,0
2024-12-03 15:58:24.784066,0,23
2024-12-03 15:58:29.259764,0,25
2024-12-03 15:58:32.779177,0,18
2024-12-03 15:58:34.785679,2,0
2024-12-03 15:58:35.546334,0,20
2024-12-03 15:58:41.711547,0,0
2024-12-03 15:58:45.229866,0,0
2024-12-03 15:58:49.767476,2,0
2024-12-03 15:58:50.208873,0,0
2024-12-03 15:58:55.24257,0,0
2024-12-03 15:58:59.815641,2,0
2024-12-03 15:59:00.229411,0,0
