time,position,rpm
2024-12-12 00:00:00.047583,3,0
2024-12-12 00:00:02.336259,0,17
2024-12-12 00:00:03.387593,2,0
2024-12-12 00:00:05.037776,3,0
2024-12-12 00:00:06.100955,0,15
2024-12-12 00:00:08.387863,2,0
2024-12-12 00:00:10.027818,3,0
2024-12-12 00:00:11.105667,0,0
2024-12-12 00:00:12.336135,0,49
2024-12-12 00:00:13.38807,2,0
2024-12-12 00:00:15.056951,3,0
2024-12-12 00:00:16.135807,0,15
2024-12-12 00:00:18.396693,2,0
2024-12-12 00:00:20.056587,3,0
2024-12-12 00:00:23.447308,2,0
2024-12-12 00:00:23.666782,0,0
2024-12-12 00:00:25.052186,3,0
2024-12-12 00:00:28.392012,2,0
2024-12-12 00:00:28.670957,0,0
2024-12-12 00:00:30.046382,3,0
2024-12-12 00:00:31.692702,0,19
2024-12-12 00:00:33.497754,2,0
2024-12-12 00:00:35.076367,3,0
2024-12-12 00:00:36.691818,0,0
2024-12-12 00:00:38.416786,2,0
2024-12-12 00:00:40.076541,3,0
2024-12-12 00:00:41.707007,0,0
2024-12-12 00:00:43.427356,2,0
2024-12-12 00:00:45.096844,3,0
2024-12-12 00:00:46.715831,0,0
2024-12-12 00:00:48.432163,2,0
2024-12-12 00:00:50.111673,3,0
2024-12-12 00:00:51.715964,0,0
2024-12-12 00:00:53.426733,2,0
2024-12-12 00:00:55.107263,3,0
2024-12-12 00:00:56.726336,0,0
2024-12-12 00:00:58.507474,2,0
2024-12-12 00:01:00.108191,3,0
2024-12-12 00:01:00.23021,0,17
2024-12-12 00:01:03.506428,2,0
2024-12-12 00:01:05.106821,3,0
2024-12-12 00:01:05.270794,0,0
2024-12-12 00:01:05.675939,0,156
2024-12-12 00:01:08.407967,2,0
2024-12-12 00:01:10.052028,3,0
2024-12-12 00:01:10.686229,0,0
2024-12-12 00:01:11.070866,0,144
2024-12-12 00:01:13.447545,2,0
2024-12-12 00:01:15.067357,3,0
2024-12-12 00:01:16.196031,0,0
2024-12-12 00:01:18.427921,2,0
2024-12-12 00:01:20.061398,3,0
2024-12-12 00:01:22.335816,0,0
2024-12-12 00:01:23.450816,0,51
2024-12-12 00:01:23.4873,2,0
2024-12-12 00:01:25.067128,3,0
2024-12-12 00:01:26.546623,0,18
2024-12-12 00:01:28.436677,2,0
2024-12-12 00:01:30.086475,3,0
2024-12-12 00:01:30.668248,0,14
2024-12-12 00:01:33.436422,2,0
2024-12-12 00:01:35.138493,3,0
2024-12-12 00:01:35.656271,0,0
2024-12-12 00:01:38.518468,2,0
2024-12-12 00:01:40.082472,3,0
2024-12-12 00:01:40.655733,0,0
2024-12-12 00:01:43.471479,2,0
2024-12-12 00:01:45.182156,3,0
2024-12-12 00:01:45.626304,0,0
2024-12-12 00:01:48.476277,2,0
2024-12-12 00:01:50.116726,3,0
2024-12-12 00:01:50.595964,0,0
2024-12-12 00:01:53.451848,2,0
2024-12-12 00:01:55.117295,3,0
2024-12-12 00:01:55.69724,0,0
2024-12-12 00:01:58.466919,2,0
2024-12-12 00:02:00.117882,3,0
2024-12-12 00:02:00.625958,0,0
2024-12-12 00:02:03.493732,2,0
2024-12-12 00:02:05.17709,3,0
2024-12-12 00:02:05.63607,0,0
2024-12-12 00:02:08.471351,2,0
2024-12-12 00:02:10.116453,3,0
2024-12-12 00:02:10.616353,0,0
2024-12-12 00:02:13.46641,0,21
2024-12-12 00:02:13.487479,2,0
2024-12-12 00:02:15.131398,3,0
2024-12-12 00:02:18.515881,0,0
2024-12-12 00:02:18.607871,2,0
2024-12-12 00:02:20.142331,3,0
2024-12-12 00:02:20.440927,0,29
2024-12-12 00:02:23.010824,0,23
2024-12-12 00:02:23.497406,2,0
2024-12-12 00:02:25.146451,3,0
2024-12-12 00:02:26.332913,0,18
2024-12-12 00:02:28.497385,2,0
2024-12-12 00:02:29.066407,0,22
2024-12-12 00:02:30.147543,3,0
2024-12-12 00:02:31.386175,0,25
2024-12-12 00:02:33.506415,2,0
2024-12-12 00:02:33.821187,0,24
2024-12-12 00:02:35.187554,3,0
2024-12-12 00:02:36.500832,0,22
2024-12-12 00:02:38.532123,2,0
2024-12-12 00:02:40.166553,3,0
2024-12-12 00:02:41.476167,0,0
2024-12-12 00:02:43.528235,2,0
2024-12-12 00:02:45.16697,3,0
2024-12-12 00:02:46.455878,0,0
2024-12-12 00:02:48.511972,2,0
2024-12-12 00:02:50.187533,3,0
2024-12-12 00:02:51.420969,0,0
2024-12-12 00:02:53.536882,2,0
2024-12-12 00:02:54.576214,0,19
2024-12-12 00:02:55.187565,3,0
2024-12-12 00:02:58.658297,2,0
2024-12-12 00:02:58.947627,0,13
2024-12-12 00:03:00.196773,3,0
2024-12-12 00:03:03.171773,0,14
2024-12-12 00:03:03.48766,2,0
2024-12-12 00:03:05.19721,3,0
2024-12-12 00:03:07.776082,0,13
2024-12-12 00:03:08.496801,2,0
2024-12-12 00:03:10.236268,0,23
2024-12-12 00:03:10.237411,3,0
2024-12-12 00:03:12.851201,0,22
2024-12-12 00:03:13.49687,2,0
2024-12-12 00:03:15.211485,3,0
2024-12-12 00:03:16.111077,0,18
2024-12-12 00:03:18.52182,2,0
2024-12-12 00:03:20.171381,3,0
2024-12-12 00:03:21.136031,0,0
2024-12-12 00:03:23.59161,2,0
2024-12-12 00:03:25.167908,3,0
2024-12-12 00:03:26.136172,0,0
2024-12-12 00:03:28.682003,2,0
2024-12-12 00:03:30.167268,3,0
2024-12-12 00:03:31.116927,0,0
2024-12-12 00:03:33.626974,2,0
2024-12-12 00:03:35.176943,3,0
2024-12-12 00:03:36.116552,0,0
2024-12-12 00:03:38.541502,2,0
2024-12-12 00:03:40.213556,3,0
2024-12-12 00:03:41.206803,0,0
2024-12-12 00:03:42.556088,0,42
2024-12-12 00:03:43.541421,2,0
2024-12-12 00:03:45.125861,0,23
2024-12-12 00:03:45.21663,3,0
2024-12-12 00:03:47.286126,0,30
2024-12-12 00:03:48.541642,2,0
2024-12-12 00:03:49.797041,0,21
2024-12-12 00:03:50.246433,3,0
2024-12-12 00:03:53.5695,2,0
2024-12-12 00:03:53.920814,0,14
2024-12-12 00:03:55.216373,3,0
2024-12-12 00:03:57.536152,0,16
2024-12-12 00:03:58.557313,2,0
2024-12-12 00:04:00.037695,0,23
2024-12-12 00:04:00.277612,3,0
2024-12-12 00:04:03.561498,2,0
2024-12-12 00:04:05.056715,0,0
2024-12-12 00:04:13.587258,2,0
2024-12-12 00:04:18.56696,2,0
2024-12-12 00:32:14.930358,2,0
2024-12-12 00:32:16.567761,3,0
2024-12-12 00:32:26.569475,3,0
2024-12-12 00:32:31.579929,3,0
2024-12-12 00:32:32.255444,0,0
2024-12-12 00:32:36.570557,3,0
2024-12-12 00:32:37.205073,0,0
2024-12-12 00:32:37.890195,0,87
2024-12-12 00:32:44.899856,2,0
2024-12-12 00:32:46.605357,3,0
2024-12-12 00:32:47.889458,0,0
2024-12-12 00:32:51.590233,3,0
2024-12-12 00:32:52.900694,0,0
2024-12-12 00:32:54.901715,2,0
2024-12-12 00:32:56.590017,3,0
2024-12-12 00:32:57.909881,0,0
2024-12-12 00:32:59.911313,2,0
2024-12-12 00:33:04.910486,2,0
2024-12-12 00:33:09.920529,2,0
2024-12-12 00:33:11.56485,3,0
2024-12-12 00:33:12.921128,0,0
2024-12-12 00:33:16.570276,3,0
2024-12-12 00:33:18.720194,0,78
2024-12-12 00:33:20.094926,2,0
2024-12-12 00:33:24.944923,2,0
2024-12-12 00:33:34.695858,0,29
2024-12-12 00:33:34.90688,2,0
2024-12-12 00:33:39.900546,2,0
2024-12-12 00:33:41.400791,0,24
2024-12-12 00:33:41.596486,3,0
2024-12-12 00:33:44.920385,2,0
2024-12-12 00:33:46.000844,0,25
2024-12-12 00:33:46.610412,3,0
2024-12-12 00:33:49.916853,2,0
2024-12-12 00:33:51.060665,0,0
2024-12-12 00:33:51.620306,3,0
2024-12-12 00:33:54.720426,0,16
2024-12-12 00:33:57.431909,0,22
2024-12-12 00:33:59.930466,2,0
2024-12-12 00:34:00.012367,0,23
2024-12-12 00:34:01.630624,3,0
2024-12-12 00:34:02.426577,0,24
2024-12-12 00:34:04.641749,0,27
2024-12-12 00:34:06.746723,0,27
2024-12-12 00:34:08.776958,0,29
2024-12-12 00:34:10.000666,2,0
2024-12-12 00:34:10.691569,0,31
2024-12-12 00:34:12.720909,0,29
2024-12-12 00:34:14.946724,2,0
2024-12-12 00:34:16.495738,0,32
2024-12-12 00:34:16.646777,3,0
2024-12-12 00:34:18.41072,0,31
2024-12-12 00:34:19.960867,2,0
2024-12-12 00:34:20.431162,0,29
2024-12-12 00:34:21.646851,3,0
2024-12-12 00:34:26.660967,3,0
2024-12-12 00:34:28.816197,0,29
2024-12-12 00:34:30.666633,0,32
2024-12-12 00:34:34.99139,2,0
2024-12-12 00:34:41.66646,3,0
2024-12-12 00:34:42.007724,0,36
2024-12-12 00:34:43.887218,0,31
2024-12-12 00:34:45.897558,0,28
