time,position,rpm
2024-12-09 00:38:35.892232,0,0
2024-12-09 00:38:37.774003,2,0
2024-12-09 00:38:40.872861,0,0
2024-12-09 00:38:41.222142,2,0
2024-12-09 00:38:45.887524,0,0
2024-12-09 00:38:46.231234,2,0
2024-12-09 00:38:47.482102,3,0
2024-12-09 00:38:50.902342,0,0
2024-12-09 00:38:51.222165,2,0
2024-12-09 00:38:52.471818,3,0
2024-12-09 00:38:55.916958,0,0
2024-12-09 00:38:56.232722,2,0
2024-12-09 00:38:57.526996,3,0
2024-12-09 00:39:00.923211,0,0
2024-12-09 00:39:01.252238,2,0
2024-12-09 00:39:02.472437,3,0
2024-12-09 00:39:05.903304,0,0
2024-12-09 00:39:06.25437,2,0
2024-12-09 00:39:07.504232,3,0
2024-12-09 00:39:08.176738,0,26
2024-12-09 00:39:11.26844,2,0
2024-12-09 00:39:12.486747,3,0
2024-12-09 00:39:13.23268,0,0
2024-12-09 00:39:15.19288,0,29
2024-12-09 00:39:16.266998,2,0
2024-12-09 00:39:17.502308,3,0
2024-12-09 00:39:19.44518,0,14
2024-12-09 00:39:21.304155,2,0
2024-12-09 00:39:22.11254,0,22
2024-12-09 00:39:22.437155,3,0
2024-12-09 00:39:24.454011,0,25
2024-12-09 00:39:26.272331,2,0
2024-12-09 00:39:26.772545,0,25
2024-12-09 00:39:27.463204,3,0
2024-12-09 00:39:28.992596,0,27
2024-12-09 00:39:31.047944,0,28
2024-12-09 00:39:31.272984,2,0
2024-12-09 00:39:32.503805,3,0
2024-12-09 00:39:36.072417,0,0
2024-12-09 00:39:36.302893,2,0
2024-12-09 00:39:37.47219,3,0
2024-12-09 00:39:40.012588,0,15
2024-12-09 00:39:41.303312,2,0
2024-12-09 00:39:42.302961,0,24
2024-12-09 00:39:42.472707,3,0
2024-12-09 00:39:44.732936,0,25
2024-12-09 00:39:46.293151,2,0
2024-12-09 00:39:47.003793,0,26
2024-12-09 00:39:47.478254,3,0
2024-12-09 00:39:49.283452,0,26
2024-12-09 00:39:51.322947,2,0
2024-12-09 00:39:51.492571,0,26
2024-12-09 00:39:52.472608,3,0
2024-12-09 00:39:53.683699,0,27
2024-12-09 00:39:56.152875,0,25
2024-12-09 00:39:56.327155,2,0
2024-12-09 00:39:57.492983,3,0
2024-12-09 00:39:58.738139,0,22
2024-12-09 00:40:01.427426,2,0
2024-12-09 00:40:01.487192,0,20
2024-12-09 00:40:02.492784,3,0
2024-12-09 00:40:04.723579,0,19
2024-12-09 00:40:06.372609,2,0
2024-12-09 00:40:06.893038,0,26
2024-12-09 00:40:07.483023,3,0
2024-12-09 00:40:08.8739,0,30
2024-12-09 00:40:10.713226,0,32
2024-12-09 00:40:11.342734,2,0
2024-12-09 00:40:12.505028,3,0
2024-12-09 00:40:12.678533,0,30
2024-12-09 00:40:14.783852,0,28
2024-12-09 00:40:16.287751,2,0
2024-12-09 00:40:16.962892,0,28
2024-12-09 00:40:17.523523,3,0
2024-12-09 00:40:19.00301,0,27
2024-12-09 00:40:21.285914,2,0
2024-12-09 00:40:22.472714,0,17
2024-12-09 00:40:22.55376,3,0
2024-12-09 00:40:25.562852,0,19
2024-12-09 00:40:26.288259,2,0
2024-12-09 00:40:27.533133,3,0
2024-12-09 00:40:30.588843,0,0
2024-12-09 00:40:30.667771,0,511
2024-12-09 00:40:31.303241,2,0
2024-12-09 00:40:32.534037,3,0
2024-12-09 00:40:35.708227,0,0
2024-12-09 00:40:36.363227,2,0
2024-12-09 00:40:37.543199,3,0
2024-12-09 00:40:40.69808,0,0
2024-12-09 00:40:41.303536,2,0
2024-12-09 00:40:42.538565,3,0
2024-12-09 00:40:45.684263,0,0
2024-12-09 00:40:46.423028,2,0
2024-12-09 00:40:47.533147,3,0
2024-12-09 00:40:50.704014,0,0
2024-12-09 00:40:51.323732,2,0
2024-12-09 00:40:52.567967,3,0
2024-12-09 00:40:55.674248,0,0
2024-12-09 00:40:56.333597,2,0
2024-12-09 00:40:57.603765,3,0
2024-12-09 00:41:00.673166,0,0
2024-12-09 00:41:01.343374,2,0
2024-12-09 00:41:02.553342,3,0
2024-12-09 00:41:05.674043,0,0
2024-12-09 00:41:06.413617,2,0
2024-12-09 00:41:07.594221,3,0
2024-12-09 00:41:10.683578,0,0
2024-12-09 00:41:11.353262,2,0
2024-12-09 00:41:12.723074,3,0
2024-12-09 00:41:15.683331,0,0
2024-12-09 00:41:16.334004,2,0
2024-12-09 00:41:17.584546,3,0
2024-12-09 00:41:20.683774,0,0
2024-12-09 00:41:21.418689,2,0
2024-12-09 00:41:22.533486,3,0
2024-12-09 00:41:25.698796,0,0
2024-12-09 00:41:26.363825,2,0
2024-12-09 00:41:27.533739,3,0
2024-12-09 00:41:30.683878,0,0
2024-12-09 00:41:31.483584,2,0
2024-12-09 00:41:32.534687,3,0
2024-12-09 00:41:35.703402,0,0
2024-12-09 00:41:36.383758,2,0
2024-12-09 00:41:37.613533,3,0
2024-12-09 00:41:40.708179,0,0
2024-12-09 00:41:41.374012,2,0
2024-12-09 00:41:42.553337,3,0
2024-12-09 00:41:44.164217,0,17
2024-12-09 00:41:57.564196,3,0
2024-12-09 00:42:02.564079,3,0
2024-12-09 00:42:02.703696,0,13
2024-12-09 00:42:07.585509,3,0
2024-12-09 00:42:07.652637,0,0
2024-12-09 00:42:12.614434,3,0
2024-12-09 00:42:12.67417,0,0
2024-12-09 00:42:16.364215,2,0
2024-12-09 00:42:17.594022,3,0
2024-12-09 00:42:21.39467,2,0
2024-12-09 00:42:22.674241,3,0
2024-12-09 00:42:26.384532,2,0
2024-12-09 00:42:27.629194,3,0
2024-12-09 00:42:27.634608,0,0
2024-12-09 00:42:31.434754,2,0
2024-12-09 00:42:32.645025,0,0
2024-12-09 00:42:36.394041,2,0
2024-12-09 00:42:37.644048,0,0
2024-12-09 00:42:42.634444,0,0
2024-12-09 00:42:51.534562,2,0
2024-12-09 00:43:01.444713,2,0
2024-12-09 00:43:02.655698,3,0
2024-12-09 00:43:07.664833,0,0
2024-12-09 00:41:46.453606,2,0
2024-12-09 00:41:47.573666,3,0
2024-12-09 00:41:49.133566,0,0
2024-12-09 00:41:51.388552,2,0
2024-12-09 00:41:52.573899,3,0
2024-12-09 00:41:54.159061,0,0
2024-12-09 00:41:56.394984,2,0
2024-12-09 00:41:58.208754,0,14
2024-12-09 00:42:01.39915,2,0
2024-12-09 00:42:06.414142,2,0
2024-12-09 00:42:11.413943,2,0
2024-12-09 00:42:17.664209,0,0
2024-12-09 00:42:22.684805,0,0
2024-12-09 00:42:32.644497,3,0
2024-12-09 00:43:12.66923,3,0
2024-12-09 00:43:12.69971,0,0
2024-12-09 00:43:16.435423,2,0
2024-12-09 00:43:22.689703,0,0
2024-12-09 00:43:26.454833,2,0
2024-12-09 00:43:27.695195,0,0
2024-12-09 00:43:32.630129,3,0
2024-12-09 00:43:36.524943,2,0
2024-12-09 00:43:37.720003,0,0
2024-12-09 00:43:41.46024,2,0
2024-12-09 00:43:42.649863,3,0
2024-12-09 00:43:45.47503,0,0
2024-12-09 00:43:46.480052,2,0
2024-12-09 00:43:50.485274,0,0
2024-12-09 00:43:51.675561,2,0
2024-12-09 00:43:55.495177,0,0
2024-12-09 00:43:56.549899,2,0
2024-12-09 00:43:57.685301,3,0
2024-12-09 00:44:00.490363,0,0
2024-12-09 00:44:02.68499,3,0
2024-12-09 00:44:05.495073,0,0
2024-12-09 00:44:06.525481,2,0
2024-12-09 00:44:07.686384,3,0
2024-12-09 00:44:11.526131,2,0
2024-12-09 00:44:12.74581,3,0
2024-12-09 00:44:15.515788,0,0
