time,position,rpm
2024-12-08 04:33:58.791327,3,0
2024-12-08 04:34:00.740945,2,0
2024-12-08 04:34:03.806227,3,0
2024-12-08 04:34:07.941097,0,0
2024-12-08 04:34:08.807584,3,0
2024-12-08 04:34:10.776075,2,0
2024-12-08 04:34:12.947309,0,0
2024-12-08 04:34:13.816636,3,0
2024-12-08 04:34:15.76712,2,0
2024-12-08 04:34:18.821489,3,0
2024-12-08 04:34:20.766148,2,0
2024-12-08 04:34:22.945975,0,0
2024-12-08 04:34:23.826636,3,0
2024-12-08 04:34:25.777226,2,0
2024-12-08 04:34:28.82711,3,0
2024-12-08 04:34:30.782005,2,0
2024-12-08 04:34:35.786878,2,0
2024-12-08 04:34:37.911227,0,0
2024-12-08 04:34:48.87769,3,0
2024-12-08 04:34:50.832255,2,0
2024-12-08 04:34:52.93247,0,0
2024-12-08 04:34:53.851695,3,0
2024-12-08 04:35:01.65314,0,0
2024-12-08 04:35:03.860247,3,0
2024-12-08 04:35:05.908121,2,0
2024-12-08 04:35:09.414032,0,19
2024-12-08 04:35:10.831223,2,0
2024-12-08 04:35:11.878081,0,24
2024-12-08 04:35:13.889216,3,0
2024-12-08 04:35:19.94313,0,17
2024-12-08 04:35:30.792961,2,0
2024-12-08 04:35:33.916686,3,0
2024-12-08 04:35:35.083651,0,0
2024-12-08 04:35:35.802065,2,0
2024-12-08 04:35:37.369918,0,26
2024-12-08 04:35:40.819786,2,0
2024-12-08 04:35:43.873297,3,0
2024-12-08 04:35:48.114152,0,13
2024-12-08 04:35:50.813922,2,0
2024-12-08 04:35:58.870304,3,0
2024-12-08 04:35:59.864424,0,34
2024-12-08 04:36:03.884268,3,0
2024-12-08 04:36:04.54675,0,13
2024-12-08 04:36:08.902316,3,0
2024-12-08 04:36:15.866652,2,0
2024-12-08 04:36:18.898662,3,0
2024-12-08 04:36:20.881734,2,0
2024-12-08 04:36:24.069741,3,0
2024-12-08 04:36:25.689683,0,0
2024-12-08 04:36:35.884489,2,0
2024-12-08 04:36:40.900371,2,0
2024-12-08 04:36:48.97168,3,0
2024-12-08 04:36:49.257473,0,0
2024-12-08 04:36:50.900935,2,0
2024-12-08 04:36:53.939433,3,0
2024-12-08 04:37:50.927572,2,0
2024-12-08 04:37:55.932643,2,0
2024-12-08 04:38:00.934274,2,0
2024-12-08 04:38:02.655649,0,17
2024-12-08 04:38:03.976261,3,0
2024-12-08 04:38:05.93532,2,0
2024-12-08 04:38:15.950949,2,0
2024-12-08 04:38:17.517422,0,0
2024-12-08 04:38:18.991487,3,0
2024-12-08 04:38:20.952355,2,0
2024-12-08 04:38:22.529492,0,0
2024-12-08 04:38:26.061151,2,0
2024-12-08 04:38:27.538363,0,0
2024-12-08 04:38:30.968415,2,0
2024-12-08 08:08:20.651908,2,0
2024-12-08 08:08:21.058271,0,71
2024-12-08 08:08:23.663071,3,0
2024-12-08 08:08:25.326629,0,14
2024-12-08 08:08:28.771031,0,17
2024-12-08 08:08:30.657553,2,0
2024-12-08 08:08:31.132698,0,24
2024-12-08 08:08:33.488543,0,26
2024-12-08 08:08:36.989791,0,16
2024-12-08 08:08:40.671918,2,0
2024-12-08 08:08:43.554484,0,39
2024-12-08 08:08:45.611442,2,0
2024-12-08 08:08:48.39174,0,12
2024-12-08 08:08:48.647097,3,0
2024-12-08 08:08:50.632986,2,0
2024-12-08 08:08:52.215627,0,15
2024-12-08 08:08:53.652477,3,0
2024-12-08 08:08:55.381631,0,18
2024-12-08 08:08:55.630765,2,0
2024-12-08 08:08:58.652711,3,0
2024-12-08 08:09:00.701605,2,0
2024-12-08 08:09:03.660194,3,0
2024-12-08 08:09:15.405704,0,0
2024-12-08 08:09:15.736005,2,0
2024-12-08 04:34:02.937044,0,0
2024-12-08 04:34:05.745535,2,0
2024-12-08 04:34:17.96183,0,0
2024-12-08 04:34:27.956311,0,0
2024-12-08 04:34:32.931691,0,0
2024-12-08 04:34:33.883175,3,0
2024-12-08 04:34:38.901574,3,0
2024-12-08 04:34:40.796744,2,0
2024-12-08 04:34:42.916773,0,0
2024-12-08 04:34:43.861711,3,0
2024-12-08 04:34:45.816802,2,0
2024-12-08 04:34:47.91654,0,0
2024-12-08 04:34:55.837974,2,0
2024-12-08 04:34:56.592758,0,16
2024-12-08 04:34:58.959157,3,0
2024-12-08 04:35:00.822073,2,0
2024-12-08 04:35:06.330419,0,12
2024-12-08 04:35:08.867192,3,0
2024-12-08 04:35:14.143027,0,25
2024-12-08 04:35:15.788163,2,0
2024-12-08 04:35:16.728249,0,24
2024-12-08 04:35:18.903426,3,0
2024-12-08 04:35:20.809039,2,0
2024-12-08 04:35:23.903796,3,0
2024-12-08 04:35:24.999448,0,0
2024-12-08 04:35:25.799216,2,0
2024-12-08 04:35:26.513622,0,37
2024-12-08 04:35:28.893163,3,0
2024-12-08 04:35:30.163727,0,17
2024-12-08 04:35:38.863766,3,0
2024-12-08 04:35:42.333855,0,0
2024-12-08 04:35:43.783833,0,43
2024-12-08 04:35:45.823604,2,0
2024-12-08 04:35:48.883821,3,0
2024-12-08 04:35:53.119625,0,0
2024-12-08 04:35:53.873506,3,0
2024-12-08 04:35:55.830114,2,0
2024-12-08 04:35:58.133984,0,0
2024-12-08 04:36:00.848774,2,0
2024-12-08 04:36:05.854097,2,0
2024-12-08 04:36:10.791537,0,12
2024-12-08 04:36:10.856775,2,0
2024-12-08 04:36:13.911736,3,0
2024-12-08 04:36:14.32684,0,0
2024-12-08 04:36:19.325683,0,0
2024-12-08 04:36:25.860477,2,0
2024-12-08 04:36:28.932476,3,0
2024-12-08 04:36:29.566483,0,0
2024-12-08 04:36:30.931238,2,0
2024-12-08 04:36:33.907868,3,0
2024-12-08 04:36:34.25232,0,0
2024-12-08 04:36:38.939306,3,0
2024-12-08 04:36:39.245692,0,0
2024-12-08 04:36:43.938511,3,0
2024-12-08 04:36:44.252922,0,0
2024-12-08 04:36:45.891557,2,0
