time,position,rpm
2024-12-07 04:25:03.593871,3,0
2024-12-07 04:25:09.620217,2,0
2024-12-07 04:25:14.454453,0,0
2024-12-07 04:25:14.581788,2,0
2024-12-07 04:25:19.583913,2,0
2024-12-07 04:25:23.609003,3,0
2024-12-07 04:25:24.459917,0,0
2024-12-07 04:25:29.978851,0,0
2024-12-07 04:25:33.621384,3,0
2024-12-07 04:25:34.465155,0,0
2024-12-07 04:25:34.540166,2,0
2024-12-07 04:25:38.628703,3,0
2024-12-07 04:25:43.628674,3,0
2024-12-07 04:25:44.563859,2,0
2024-12-07 04:25:48.633674,3,0
2024-12-07 04:25:49.49436,0,0
2024-12-07 04:25:49.56109,2,0
2024-12-07 04:25:53.64882,3,0
2024-12-07 04:25:54.55912,2,0
2024-12-07 04:25:58.649774,3,0
2024-12-07 04:26:04.520995,0,0
2024-12-07 04:26:13.674172,3,0
2024-12-07 04:26:14.668056,2,0
2024-12-07 04:26:24.530208,0,0
2024-12-07 04:26:24.609426,2,0
2024-12-07 04:26:29.550208,0,0
2024-12-07 04:26:33.649506,3,0
2024-12-07 04:26:39.689425,2,0
2024-12-07 04:26:44.635198,2,0
2024-12-07 04:26:48.659791,3,0
2024-12-07 04:26:49.581166,0,0
2024-12-07 04:26:54.659237,2,0
2024-12-07 04:26:59.640425,0,0
2024-12-07 04:27:04.620606,0,0
2024-12-07 04:27:09.540982,0,0
2024-12-07 04:27:14.72017,2,0
2024-12-07 04:27:18.856723,3,0
2024-12-07 04:27:20.108108,0,142
2024-12-07 04:27:23.756659,3,0
2024-12-07 04:27:28.771117,3,0
2024-12-07 04:27:29.646681,2,0
2024-12-07 04:27:30.13267,0,12
2024-12-07 04:27:33.715723,3,0
2024-12-07 04:27:38.227675,0,0
2024-12-07 04:27:38.716681,3,0
2024-12-07 04:27:40.187561,0,480
2024-12-07 04:27:43.726111,3,0
2024-12-07 04:27:49.660239,2,0
2024-12-07 04:27:50.198059,0,0
2024-12-07 04:27:59.725224,2,0
2024-12-07 04:28:04.666148,2,0
2024-12-07 04:28:10.111859,0,0
2024-12-07 04:28:13.767784,3,0
2024-12-07 04:28:14.700328,2,0
2024-12-07 04:28:18.777844,3,0
2024-12-07 04:28:19.68553,2,0
2024-12-07 04:28:20.117178,0,0
2024-12-07 04:28:23.848882,3,0
2024-12-07 04:28:24.705401,2,0
