time,position,rpm
2024-12-14 01:26:09.128907,2,0
2024-12-14 01:26:09.272603,3,0
2024-12-14 01:26:09.41453,0,0
2024-12-14 01:26:09.98392,2,0
2024-12-14 01:26:11.844104,3,0
2024-12-14 01:26:13.569473,0,0
2024-12-14 01:26:14.928988,2,0
2024-12-14 01:26:16.854521,3,0
2024-12-14 01:26:18.499073,0,0
2024-12-14 01:26:19.229374,0,111
2024-12-14 01:26:19.929509,2,0
2024-12-14 01:26:21.914827,3,0
2024-12-14 01:26:22.27549,0,18
2024-12-14 01:26:24.943861,2,0
2024-12-14 01:26:26.824034,3,0
2024-12-14 01:26:27.234855,0,0
2024-12-14 01:26:29.969243,2,0
2024-12-14 01:26:31.275679,0,15
2024-12-14 01:26:31.834022,3,0
2024-12-14 01:26:35.009472,2,0
2024-12-14 01:26:36.175392,0,12
2024-12-14 01:26:36.824729,3,0
2024-12-14 01:26:38.819519,0,23
2024-12-14 01:26:39.958682,2,0
2024-12-14 01:26:40.955022,0,26
2024-12-14 01:26:41.844588,3,0
2024-12-14 01:26:43.270706,0,26
2024-12-14 01:26:44.974695,2,0
2024-12-14 01:26:45.570132,0,25
2024-12-14 01:26:46.870724,3,0
2024-12-14 01:26:48.039295,0,26
2024-12-14 01:26:49.97449,2,0
2024-12-14 01:26:50.05522,0,27
2024-12-14 01:26:51.870096,3,0
2024-12-14 01:26:52.170579,0,30
2024-12-14 01:26:53.871226,0,31
2024-12-14 01:26:55.114224,2,0
2024-12-14 01:26:55.625221,0,34
2024-12-14 01:26:56.830146,3,0
2024-12-14 01:26:57.594931,0,32
2024-12-14 01:26:59.629932,0,27
2024-12-14 01:26:59.983982,2,0
2024-12-14 01:27:01.869094,3,0
2024-12-14 01:27:01.905075,0,27
2024-12-14 01:27:04.149906,0,25
2024-12-14 01:27:04.990162,2,0
2024-12-14 01:27:06.509701,0,26
2024-12-14 01:27:06.889666,3,0
2024-12-14 01:27:08.690541,0,26
2024-12-14 01:27:09.982212,2,0
2024-12-14 01:27:11.13104,0,25
2024-12-14 01:27:11.869149,3,0
2024-12-14 01:27:13.401104,0,25
2024-12-14 01:27:15.009686,2,0
2024-12-14 01:27:15.490349,0,28
2024-12-14 01:27:16.869116,3,0
2024-12-14 01:27:17.590466,0,28
2024-12-14 01:27:19.915555,0,24
2024-12-14 01:27:20.009498,2,0
2024-12-14 01:27:21.881181,3,0
2024-12-14 01:27:24.921312,0,0
2024-12-14 01:27:25.015949,2,0
