time,position,rpm
2024-12-22 01:23:23.706299,2,0
2024-12-22 01:23:24.567783,3,0
2024-12-22 01:23:27.176403,0,0
2024-12-22 01:23:28.70064,2,0
2024-12-22 01:23:29.62565,3,0
2024-12-22 01:23:32.177413,0,0
2024-12-22 01:23:33.85704,2,0
2024-12-22 01:23:34.522071,3,0
2024-12-22 01:23:37.137319,0,0
2024-12-22 01:23:38.786806,2,0
2024-12-22 01:23:39.656451,3,0
2024-12-22 01:23:42.137221,0,0
2024-12-22 01:23:43.732249,2,0
2024-12-22 01:23:44.551869,3,0
2024-12-22 01:23:45.977895,0,16
2024-12-22 01:23:48.726209,2,0
2024-12-22 01:23:49.545919,3,0
2024-12-22 01:23:49.786204,0,15
2024-12-22 01:23:53.436332,0,16
2024-12-22 01:23:53.73135,2,0
2024-12-22 01:23:54.605886,3,0
2024-12-22 01:23:56.602185,0,19
2024-12-22 01:23:58.740609,2,0
2024-12-22 01:23:59.717508,3,0
2024-12-22 01:24:01.582503,0,0
2024-12-22 01:24:03.742043,2,0
2024-12-22 01:24:04.621562,3,0
2024-12-22 01:24:06.597078,0,0
2024-12-22 01:24:08.466885,0,31
2024-12-22 01:24:08.736002,2,0
2024-12-22 01:24:09.566368,3,0
2024-12-22 01:24:13.447616,0,0
2024-12-22 01:24:13.760936,2,0
2024-12-22 01:24:14.576006,3,0
2024-12-22 01:24:16.890898,0,17
2024-12-22 01:24:18.781537,2,0
2024-12-22 01:24:19.640937,3,0
2024-12-22 01:24:21.956196,0,0
2024-12-22 01:24:22.056306,0,640
2024-12-22 01:24:23.746472,2,0
2024-12-22 01:24:24.701806,3,0
2024-12-22 01:24:27.017072,0,0
2024-12-22 01:24:28.706111,2,0
2024-12-22 01:24:29.586248,3,0
2024-12-22 01:24:32.022272,0,0
2024-12-22 01:24:33.726295,2,0
2024-12-22 01:24:34.647043,3,0
2024-12-22 01:24:36.982006,0,0
2024-12-22 01:24:38.727658,2,0
2024-12-22 01:24:39.658247,3,0
2024-12-22 01:24:42.036431,0,0
2024-12-22 01:24:43.739428,2,0
2024-12-22 01:24:44.606464,3,0
2024-12-22 01:24:46.74701,0,12
2024-12-22 01:24:48.739786,2,0
2024-12-22 01:24:49.667043,3,0
2024-12-22 01:24:51.767148,0,0
2024-12-22 01:24:53.737891,2,0
2024-12-22 01:24:54.606233,3,0
2024-12-22 01:24:56.706967,0,0
2024-12-22 01:24:58.757272,2,0
2024-12-22 01:24:59.626361,3,0
2024-12-22 01:25:01.731824,0,0
2024-12-22 01:25:03.746678,2,0
2024-12-22 01:25:04.626896,3,0
2024-12-22 01:25:06.732737,0,0
2024-12-22 01:25:08.76785,2,0
2024-12-22 01:25:09.646406,3,0
2024-12-22 01:25:11.726462,0,0
2024-12-22 01:25:13.787106,2,0
2024-12-22 01:25:14.64727,3,0
2024-12-22 01:25:16.758691,0,0
2024-12-22 01:25:18.777207,2,0
2024-12-22 01:25:19.65697,3,0
2024-12-22 01:25:21.747824,0,0
2024-12-22 01:25:23.776896,2,0
2024-12-22 01:25:24.657412,3,0
2024-12-22 01:25:26.77389,0,0
2024-12-22 01:25:28.797573,2,0
2024-12-22 01:25:29.657196,3,0
2024-12-22 02:51:25.577575,0,0
2024-12-22 02:51:28.572965,3,0
2024-12-22 02:51:30.561765,0,0
2024-12-22 02:51:32.748962,2,0
2024-12-22 02:51:33.593182,3,0
2024-12-22 02:51:35.601927,0,0
2024-12-22 02:51:37.752553,2,0
2024-12-22 02:51:38.622242,3,0
2024-12-22 02:51:40.602244,0,0
2024-12-22 02:51:42.742966,2,0
2024-12-22 02:51:43.541635,3,0
2024-12-22 02:51:45.622634,0,0
2024-12-22 02:51:47.747476,2,0
2024-12-22 02:51:48.528706,3,0
2024-12-22 02:51:50.598115,0,0
2024-12-22 02:51:52.758058,2,0
2024-12-22 02:51:53.533594,3,0
2024-12-22 02:51:55.618538,0,0
2024-12-22 02:51:56.233831,0,99
2024-12-22 02:51:57.857683,2,0
2024-12-22 02:51:58.557293,3,0
2024-12-22 02:52:01.267743,0,0
2024-12-22 02:52:02.838254,2,0
2024-12-22 02:52:03.552782,3,0
2024-12-22 02:52:05.003471,0,15
2024-12-22 02:52:07.783604,2,0
2024-12-22 02:52:08.577211,3,0
2024-12-22 02:52:10.032354,0,0
2024-12-22 02:52:12.782,2,0
2024-12-22 02:52:13.462094,0,17
2024-12-22 02:52:13.562039,3,0
2024-12-22 02:52:17.782606,2,0
2024-12-22 02:52:18.442754,0,0
2024-12-22 02:52:18.592488,3,0
2024-12-22 02:52:22.788438,2,0
2024-12-22 02:52:23.450537,0,0
2024-12-22 02:52:23.562204,3,0
2024-12-22 02:52:24.40478,0,63
2024-12-22 02:52:27.888156,2,0
2024-12-22 02:52:28.593116,3,0
2024-12-22 02:52:28.843767,0,13
2024-12-22 02:52:32.82338,2,0
2024-12-22 02:52:33.063444,0,14
2024-12-22 02:52:33.712958,3,0
2024-12-22 02:52:36.953463,0,15
2024-12-22 02:52:37.833221,2,0
2024-12-22 02:52:38.602818,3,0
2024-12-22 02:52:43.623312,3,0
2024-12-22 02:52:47.833623,2,0
2024-12-22 02:52:53.613369,3,0
2024-12-22 02:52:56.923439,0,0
2024-12-22 02:52:57.783081,2,0
2024-12-22 02:52:42.029103,0,0
