time,position,rpm
2024-12-21 01:35:48.019318,2,0
2024-12-21 01:35:50.889777,0,25
2024-12-21 01:35:53.174997,2,0
2024-12-21 01:35:55.724828,0,25
2024-12-21 01:35:58.149354,0,24
2024-12-21 01:35:59.205131,3,0
2024-12-21 01:36:04.094612,3,0
2024-12-21 01:36:05.118967,0,26
2024-12-21 01:36:08.039767,2,0
2024-12-21 01:36:09.158077,3,0
2024-12-21 01:36:09.7429,0,25
2024-12-21 01:36:13.058429,2,0
2024-12-21 01:36:14.268499,3,0
2024-12-21 01:36:18.078113,2,0
2024-12-21 01:36:23.178992,2,0
2024-12-21 01:36:24.178951,3,0
2024-12-21 01:36:28.068177,2,0
2024-12-21 03:43:29.927569,3,0
2024-12-21 03:43:38.515866,0,22
2024-12-21 03:43:43.955379,2,0
2024-12-21 03:43:46.575819,0,22
2024-12-21 03:43:48.895805,2,0
2024-12-21 03:43:51.915856,0,22
2024-12-21 03:43:53.8862,2,0
2024-12-21 03:43:54.443333,0,23
2024-12-21 03:43:54.932849,3,0
2024-12-21 03:43:57.094293,0,23
2024-12-21 03:43:58.9638,2,0
2024-12-21 03:44:00.031172,3,0
2024-12-21 03:44:00.224232,0,19
2024-12-21 05:09:56.761109,0,0
2024-12-21 06:56:26.60276,0,21
2024-12-21 06:56:28.748149,3,0
2024-12-21 06:56:32.6985,0,18
2024-12-21 06:56:32.784813,2,0
2024-12-21 06:56:33.769293,3,0
2024-12-21 06:56:37.794889,2,0
2024-12-21 06:56:42.789376,2,0
2024-12-21 06:56:43.768835,3,0
2024-12-21 06:56:44.684047,0,23
2024-12-21 06:56:47.799551,2,0
2024-12-21 06:56:48.768906,3,0
2024-12-21 10:02:18.996768,0,0
2024-12-21 10:02:19.955344,0,62
2024-12-21 10:02:25.035905,0,0
2024-12-21 10:02:30.715935,0,0
2024-12-21 10:02:31.367978,2,0
2024-12-21 10:02:32.376325,3,0
2024-12-21 10:02:33.645576,0,20
2024-12-21 10:02:36.321438,2,0
2024-12-21 10:02:37.316654,3,0
2024-12-21 10:02:41.409392,2,0
2024-12-21 10:02:42.334609,3,0
2024-12-21 10:02:45.616239,0,60
2024-12-21 10:02:50.559162,0,0
2024-12-21 10:02:51.359213,2,0
2024-12-21 10:02:56.52747,0,22
2024-12-21 10:02:57.483877,3,0
2024-12-21 10:02:59.113413,0,22
2024-12-21 10:03:01.354728,2,0
2024-12-21 10:03:01.934877,0,21
2024-12-21 10:03:02.348478,3,0
2024-12-21 10:03:06.938533,0,0
2024-12-21 10:03:07.424899,3,0
2024-12-21 10:03:11.355217,2,0
2024-12-21 10:03:12.359135,3,0
2024-12-21 10:03:21.390496,2,0
2024-12-21 10:03:24.373696,0,20
2024-12-21 10:03:26.433885,2,0
2024-12-21 10:03:27.39574,3,0
2024-12-21 10:03:31.383016,2,0
2024-12-21 10:03:32.369134,3,0
2024-12-21 10:03:37.948519,0,0
2024-12-21 10:03:42.934156,0,0
2024-12-21 10:03:46.455918,2,0
2024-12-21 10:03:47.360102,3,0
2024-12-21 10:03:52.953888,0,0
2024-12-21 10:03:56.435216,2,0
2024-12-21 10:03:57.401516,3,0
2024-12-21 10:04:01.435077,2,0
2024-12-21 10:04:06.449846,2,0
2024-12-21 10:04:07.44961,0,0
2024-12-21 10:04:14.55419,0,21
2024-12-21 10:23:43.319147,3,0
2024-12-21 10:23:44.572416,0,0
2024-12-21 10:23:49.58575,0,0
2024-12-21 10:23:52.351341,2,0
2024-12-21 10:23:53.27648,3,0
