time,position,rpm
2024-12-20 09:24:59.396314,0,0
2024-12-20 09:24:59.730171,3,0
2024-12-20 09:25:03.439775,2,0
2024-12-20 09:25:04.283421,0,0
2024-12-20 09:25:04.744575,3,0
2024-12-20 09:25:08.445366,2,0
2024-12-20 09:25:09.288576,0,0
2024-12-20 09:25:09.745524,3,0
2024-12-20 09:25:13.429888,2,0
2024-12-20 09:25:14.294457,0,0
2024-12-20 09:25:14.794117,3,0
2024-12-20 09:25:18.452594,2,0
2024-12-20 09:25:19.300165,0,0
2024-12-20 09:25:19.865422,3,0
2024-12-20 09:25:23.479191,2,0
2024-12-20 09:25:24.382172,0,0
2024-12-20 09:25:24.754186,3,0
2024-12-20 09:25:28.463854,2,0
2024-12-20 09:25:29.378632,0,0
2024-12-20 09:25:29.990723,3,0
2024-12-20 09:25:33.630916,2,0
2024-12-20 09:25:34.356591,0,0
2024-12-20 09:25:34.822539,3,0
2024-12-20 09:25:38.477723,2,0
2024-12-20 09:25:39.335737,0,0
2024-12-20 09:25:39.938191,3,0
2024-12-20 09:25:43.534342,2,0
2024-12-20 09:25:44.393791,0,0
2024-12-20 09:25:44.786723,3,0
2024-12-20 09:25:48.475861,2,0
2024-12-20 09:25:49.333807,0,0
2024-12-20 09:25:49.844564,3,0
2024-12-20 09:25:53.485939,2,0
2024-12-20 09:25:54.353555,0,0
2024-12-20 09:25:54.852142,3,0
2024-12-20 09:25:58.507099,2,0
2024-12-20 09:25:59.35619,0,0
2024-12-20 09:26:00.025025,3,0
2024-12-20 09:26:03.494777,2,0
2024-12-20 09:26:04.363056,0,0
2024-12-20 09:26:04.976238,3,0
2024-12-20 09:26:08.594604,2,0
2024-12-20 09:26:09.424194,0,0
2024-12-20 09:26:09.844598,3,0
2024-12-20 09:26:13.463005,2,0
2024-12-20 09:26:14.378962,0,0
2024-12-20 09:26:14.819854,3,0
2024-12-20 09:26:18.466326,2,0
2024-12-20 09:26:19.432665,0,0
2024-12-20 09:26:19.817837,3,0
2024-12-20 09:26:23.482098,2,0
2024-12-20 09:26:24.386443,0,0
2024-12-20 09:26:24.952402,3,0
2024-12-20 09:26:28.485612,2,0
2024-12-20 09:26:29.387833,0,0
2024-12-20 09:26:29.837271,3,0
2024-12-20 09:50:00.412509,0,34
2024-12-20 09:50:00.918543,3,0
2024-12-20 09:50:01.230379,0,22
2024-12-20 09:50:04.613079,2,0
2024-12-20 09:50:05.897536,3,0
2024-12-20 09:50:06.229314,0,0
2024-12-20 09:50:09.57559,2,0
2024-12-20 09:50:10.977952,3,0
2024-12-20 09:50:11.301077,0,0
2024-12-20 09:50:14.575581,2,0
2024-12-20 09:50:15.983647,3,0
2024-12-20 09:50:16.252673,0,0
2024-12-20 09:50:19.568756,2,0
2024-12-20 09:50:20.917316,3,0
2024-12-20 09:50:21.242529,0,0
2024-12-20 09:50:24.583132,2,0
2024-12-20 09:50:25.923852,3,0
2024-12-20 09:50:26.21133,0,0
2024-12-20 09:50:29.596249,2,0
2024-12-20 09:50:30.940034,3,0
2024-12-20 09:50:31.201709,0,0
2024-12-20 09:50:34.591346,2,0
2024-12-20 09:50:35.951155,3,0
2024-12-20 09:50:36.103383,0,12
2024-12-20 09:50:39.315176,0,18
2024-12-20 09:50:39.613,2,0
2024-12-20 09:50:40.903985,3,0
2024-12-20 09:50:44.322649,0,0
2024-12-20 09:50:44.618824,2,0
2024-12-20 09:50:45.889539,3,0
2024-12-20 09:50:49.340549,0,0
2024-12-20 09:50:49.662312,2,0
2024-12-20 09:50:50.559532,0,47
2024-12-20 09:50:50.919117,3,0
2024-12-20 09:50:54.612586,2,0
2024-12-20 09:50:55.564306,0,0
2024-12-20 09:50:55.920806,3,0
2024-12-20 09:50:59.622023,2,0
2024-12-20 09:51:00.569917,0,0
2024-12-20 09:51:00.908692,3,0
2024-12-20 09:51:04.635546,2,0
2024-12-20 09:51:05.569433,0,0
2024-12-20 09:51:05.930095,3,0
2024-12-20 09:51:09.639118,2,0
2024-12-20 09:51:10.592522,0,0
2024-12-20 09:51:10.931708,3,0
2024-12-20 09:51:14.632067,2,0
2024-12-20 09:51:15.598798,0,0
2024-12-20 09:51:16.000614,3,0
2024-12-20 09:51:17.790452,0,27
2024-12-20 09:51:19.65144,2,0
2024-12-20 09:51:20.933543,3,0
2024-12-20 09:51:22.799255,0,0
2024-12-20 09:51:24.661088,2,0
2024-12-20 09:51:25.958807,3,0
2024-12-20 09:51:27.794437,0,0
2024-12-20 09:51:29.688629,2,0
2024-12-20 09:51:30.960238,3,0
2024-12-20 09:51:32.81077,0,0
2024-12-20 09:51:34.096173,0,46
2024-12-20 09:51:34.67242,2,0
2024-12-20 09:51:35.964753,3,0
2024-12-20 09:51:36.912518,0,21
2024-12-20 09:51:39.042674,0,26
2024-12-20 09:51:39.671745,2,0
2024-12-20 09:51:40.971829,3,0
2024-12-20 09:51:41.075218,0,29
2024-12-20 09:51:42.956041,0,32
2024-12-20 09:51:44.699033,2,0
2024-12-20 09:51:45.041673,0,28
2024-12-20 09:51:45.984064,3,0
2024-12-20 09:51:47.545795,0,24
2024-12-20 10:12:20.363034,0,0
2024-12-20 10:12:20.606613,2,0
2024-12-20 10:12:25.382681,0,0
2024-12-20 10:12:25.602173,2,0
2024-12-20 10:12:26.893042,0,39
2024-12-20 10:12:32.362204,2,0
2024-12-20 10:12:32.367622,0,0
2024-12-20 10:12:35.143831,0,19
2024-12-20 10:12:35.613005,2,0
2024-12-20 10:12:36.932716,3,0
2024-12-20 10:12:37.692925,0,22
2024-12-20 10:12:40.252994,0,23
2024-12-20 10:12:40.637238,2,0
2024-12-20 10:12:42.427183,3,0
2024-12-20 10:12:42.658042,0,24
2024-12-20 10:12:45.627875,2,0
2024-12-20 10:12:46.633474,0,15
2024-12-20 10:12:46.91767,3,0
2024-12-20 10:12:50.632574,2,0
2024-12-20 10:12:51.584094,0,0
