time,position,h1,h2,at
2024-12-11 13:50:10.392038,3,836,550,39
2024-12-11 14:45:50.251749,3,840,533,40.2
2024-12-11 14:46:35.891863,0,860,521,40.5
2024-12-11 14:47:03.573228,2,440,403,33
2024-12-11 14:48:02.174369,2,452,1392,33.2
2024-12-11 14:48:33.109237,0,906,575,40.5
2024-12-11 14:48:45.964212,3,883,549,39.2
2024-12-11 14:49:00.714427,2,447,399,33.2
2024-12-11 14:49:59.390456,2,428,310,33.2
2024-12-11 15:09:03.541406,0,899,581,39.2
2024-12-11 15:09:16.53357,3,915,594,38
2024-12-11 15:10:15.013899,3,868,561,40.5
2024-12-11 15:11:00.712746,0,898,593,43
2024-12-11 15:11:28.390815,2,450,331,32.5
2024-12-11 15:11:59.334008,0,864,546,42.5
2024-12-11 15:12:12.24486,3,848,543,41.5
2024-12-11 15:12:26.964711,2,454,312,31.8
2024-12-11 15:12:57.885625,0,892,581,43.5
2024-12-11 15:13:25.549964,2,443,297,31.8
2024-12-11 15:28:04.458456,2,442,310,32.2
2024-12-11 15:28:35.391947,0,911,556,39.8
2024-12-11 16:26:25.368495,3,899,591,33.2
2024-12-11 16:26:40.043004,2,452,415,30.5
2024-12-11 16:27:11.081251,0,921,580,34.5
2024-12-11 16:27:23.968871,3,885,584,34.5
2024-12-11 16:28:22.574653,3,826,522,37
2024-12-11 16:29:21.109843,3,836,525,38.2
2024-12-11 16:30:06.805974,0,837,530,40
2024-12-11 16:30:19.791642,3,885,557,39.5
2024-12-11 16:31:18.27348,3,876,525,39.5
2024-12-11 16:48:40.06676,0,903,560,40.5
2024-12-11 16:49:07.696105,2,473,331,32
2024-12-11 16:49:38.634722,0,849,528,42.5
2024-12-11 16:50:06.256145,2,487,445,31.2
2024-12-11 16:50:37.232003,0,923,592,45
2024-12-11 16:50:50.153797,3,911,609,40.8
2024-12-11 17:36:31.136331,0,890,567,32.5
2024-12-11 17:36:58.769355,2,448,306,30.5
2024-12-11 17:38:28.297164,0,901,571,35.5
2024-12-11 17:38:41.291916,3,883,565,35.5
2024-12-11 17:42:36.07076,3,876,571,36.8
2024-12-11 17:42:50.321779,2,492,348,30.8
2024-12-11 17:43:21.371871,0,856,535,36
2024-12-11 17:43:34.217005,3,837,527,37
2024-12-11 17:44:32.822362,3,889,567,38.5
2024-12-11 17:44:47.486543,2,455,309,30.5
2024-12-11 17:45:18.526169,0,902,558,42.2
2024-12-11 17:53:20.146196,3,837,519,40.2
2024-12-11 18:07:00.473667,3,907,567,38
2024-12-11 18:07:15.097667,2,456,317,31.5
2024-12-11 18:07:59.029364,3,837,524,40.5
2024-12-11 18:08:44.721729,0,892,565,42.5
2024-12-11 18:08:57.659386,3,863,551,42.8
2024-12-11 18:09:12.440838,2,439,295,32.2
2024-12-11 18:09:56.293576,3,919,594,37.8
2024-12-11 18:10:10.900167,2,439,299,32.2
2024-12-11 18:10:41.945632,0,918,571,39.2
2024-12-11 18:10:54.819742,3,880,564,39.2
2024-12-11 18:11:53.442939,3,876,560,41
2024-12-11 18:24:49.890835,2,476,292,30.8
2024-12-11 18:25:20.810706,0,930,605,40.5
2024-12-11 18:25:33.762644,3,874,566,39.2
2024-12-11 18:27:45.548556,2,452,306,31
2024-12-11 18:28:16.647989,0,898,568,40.2
2024-12-11 18:28:29.530476,3,865,576,40.2
2024-12-11 18:43:54.105382,0,872,538,39.2
2024-12-11 18:44:07.030878,3,880,669,38.8
2024-12-11 18:44:52.701123,0,892,573,42.8
2024-12-11 18:45:05.631482,3,910,579,40
2024-12-11 18:45:20.230199,2,428,300,32
2024-12-11 18:45:51.246126,0,860,536,42.8
2024-12-11 18:47:02.80868,3,922,588,38.2
2024-12-11 18:47:48.47812,0,856,586,40.8
2024-12-11 18:48:15.993558,2,486,282,30.5
2024-12-11 18:48:47.040194,0,864,554,39.8
2024-12-11 19:02:27.439233,0,872,560,43.5
2024-12-11 19:02:40.310041,3,840,560,44
2024-12-11 19:03:25.981008,0,922,582,43
2024-12-11 19:03:38.916674,3,874,574,43
2024-12-11 19:03:53.521973,2,469,320,30.2
2024-12-11 19:04:24.536138,0,859,553,41.8
2024-12-11 19:04:37.466082,3,842,536,44
2024-12-11 19:04:52.096921,2,481,333,30.2
2024-12-11 19:06:21.75193,0,925,620,40.5
2024-12-11 19:06:49.299825,2,430,290,30.5
2024-12-11 19:17:19.320936,3,914,588,39
2024-12-11 19:18:04.887753,0,895,588,39.2
2024-12-11 19:18:17.876768,3,905,568,37.5
2024-12-11 19:18:32.45251,2,444,312,30.5
2024-12-11 19:21:00.663247,0,889,558,40
2024-12-11 19:21:13.655109,3,877,565,39.5
2024-12-11 19:21:28.184143,2,465,306,30.5
2024-12-11 19:32:12.732437,2,426,284,28.2
2024-12-11 19:32:43.797028,0,898,608,41.5
2024-12-11 19:32:56.798478,3,914,615,37.2
2024-12-11 19:33:11.425162,2,411,422,29.2
2024-12-11 19:33:42.404358,0,891,558,40.8
2024-12-11 19:33:55.343825,3,875,553,38.8
2024-12-11 19:34:40.973153,0,888,563,41.2
2024-12-11 19:34:53.910209,3,862,549,38.8
2024-12-11 19:35:08.529915,2,464,316,29.5
2024-12-11 19:35:39.539389,0,898,580,39
2024-12-11 19:36:38.161071,0,870,568,39
2024-12-11 19:36:51.070418,3,826,511,40
2024-12-11 19:50:18.490524,0,902,574,40.5
2024-12-11 19:51:17.055422,0,863,534,40.5
2024-12-11 19:51:30.052233,3,853,559,39.8
2024-12-11 19:51:44.567267,2,476,318,31
2024-12-11 19:52:43.242482,2,462,589,31
2024-12-11 19:53:27.216926,3,825,545,42.5
2024-12-11 19:54:12.838718,0,939,583,39.2
2024-12-11 20:05:10.386769,3,855,548,42.5
2024-12-11 20:09:19.239376,2,465,337,30.5
2024-12-11 20:09:50.386861,0,912,593,43
2024-12-11 20:10:17.980174,2,437,294,30
2024-12-11 20:10:48.959664,0,880,720,43
2024-12-11 13:50:25.160778,2,456,321,33.5
2024-12-11 14:50:43.216243,3,898,604,38
2024-12-11 14:50:57.986796,2,439,314,32.8
2024-12-11 14:52:27.446992,0,881,564,40.8
2024-12-11 14:54:37.589228,3,884,572,40.2
2024-12-11 15:09:31.166959,2,449,284,32.5
2024-12-11 15:10:02.112006,0,861,536,42
2024-12-11 15:28:48.297217,3,853,537,40
2024-12-11 15:32:29.792441,0,851,543,41.5
2024-12-11 15:32:57.403179,2,456,339,32.2
2024-12-11 15:33:41.395338,3,893,586,38.8
2024-12-11 15:33:56.009938,2,450,294,32
2024-12-11 15:34:26.952001,0,905,586,37
2024-12-11 15:34:54.637674,2,437,284,32.8
2024-12-11 15:35:25.561945,0,883,572,39.8
2024-12-11 15:35:38.527034,3,867,566,40.2
2024-12-11 15:35:53.172337,2,438,285,31.8
2024-12-11 15:37:35.682951,3,852,546,42.2
2024-12-11 16:30:34.451221,2,444,300,31
2024-12-11 16:31:05.410399,0,900,565,39.2
2024-12-11 16:31:33.042204,2,462,324,31
2024-12-11 16:32:04.039368,0,910,566,39.2
2024-12-11 16:32:16.960385,3,906,587,38.8
2024-12-11 16:38:54.133017,0,932,593,40.5
2024-12-11 16:39:21.759482,2,457,309,30.8
2024-12-11 16:40:20.423775,2,505,355,31
2024-12-11 16:40:51.310564,0,853,551,41.5
2024-12-11 16:41:18.915667,2,454,319,30.8
2024-12-11 16:43:16.134088,2,463,311,31.8
2024-12-11 16:51:35.853216,0,927,591,38
2024-12-11 16:51:48.769971,3,909,590,35.5
2024-12-11 16:52:03.489756,2,458,380,31.8
2024-12-11 16:53:33.002314,0,896,568,37.2
2024-12-11 16:54:00.631261,2,521,347,31.8
2024-12-11 16:54:31.633212,0,893,580,39.5
2024-12-11 16:55:43.160918,3,890,556,40.5
2024-12-11 17:36:44.046653,3,897,594,32.2
2024-12-11 17:37:29.752456,0,888,584,33.8
2024-12-11 17:37:42.667652,3,872,571,33.5
2024-12-11 17:37:57.391556,2,437,302,30.8
2024-12-11 17:39:54.601923,2,498,470,31.5
2024-12-11 17:40:25.591315,0,902,575,38.2
2024-12-11 17:40:38.433937,3,905,584,37.2
2024-12-11 17:40:53.107386,2,450,302,31.2
2024-12-11 17:41:51.699491,2,480,314,30.8
2024-12-11 17:42:22.696168,0,910,572,37
2024-12-11 17:54:18.78316,3,918,592,39.2
2024-12-11 17:54:33.461881,2,459,315,31.5
2024-12-11 17:55:17.31749,3,877,574,38.8
2024-12-11 17:55:31.998572,2,478,350,31.5
2024-12-11 17:56:02.974204,0,884,562,40.2
2024-12-11 17:56:15.932759,3,858,550,40.5
2024-12-11 17:57:01.567167,0,836,520,40.8
2024-12-11 17:57:14.539805,3,836,550,40.8
2024-12-11 17:57:29.22259,2,498,382,30.8
2024-12-11 17:58:13.150747,3,869,552,40.8
2024-12-11 17:58:27.767179,2,471,330,30.5
2024-12-11 17:58:58.751579,0,882,559,40.8
2024-12-11 18:09:43.368869,0,940,600,38
2024-12-11 18:11:09.522541,2,436,296,31.2
2024-12-11 18:11:40.490677,0,877,561,41.2
2024-12-11 18:12:08.105827,2,427,407,30
2024-12-11 18:12:52.056753,3,905,566,41.2
2024-12-11 18:13:06.672964,2,437,312,30.8
2024-12-11 18:13:50.58281,3,895,572,41.5
2024-12-11 18:27:17.967788,0,941,616,41
2024-12-11 18:27:30.918816,3,888,573,39.8
2024-12-11 18:28:44.160461,2,505,322,31
2024-12-11 18:29:28.089269,3,877,562,41
2024-12-11 18:30:13.760783,0,843,526,41
2024-12-11 18:30:41.332033,2,464,301,30.5
2024-12-11 18:31:39.941128,2,458,325,30.5
2024-12-11 18:46:49.860169,0,925,597,41.8
2024-12-11 18:47:17.439275,2,452,280,32.2
2024-12-11 18:48:01.429471,3,905,581,39.2
2024-12-11 18:48:59.970206,3,888,576,39.8
2024-12-11 19:02:54.951413,2,487,322,30.5
2024-12-11 19:19:03.491682,0,925,603,38.8
2024-12-11 19:19:16.403643,3,890,578,37.5
2024-12-11 19:19:31.012868,2,436,300,30.2
2024-12-11 19:20:02.062456,0,890,575,39.8
2024-12-11 19:20:15.020265,3,870,555,40
2024-12-11 19:35:52.524636,3,909,586,38.8
2024-12-11 19:36:07.060756,2,452,263,29.5
2024-12-11 19:37:05.664253,2,480,327,29.2
2024-12-11 19:37:49.707312,3,848,529,38.8
2024-12-11 19:38:04.327195,2,477,303,30
2024-12-11 19:38:35.321778,0,877,558,39
2024-12-11 19:38:48.307199,3,858,514,39.5
