time,position,h1,h2,at
2024-12-21 00:39:27.776972,3,899,600,30
2024-12-21 00:39:32.882253,2,440,320,26
2024-12-21 00:39:52.391676,0,942,605,29.2
2024-12-21 00:40:26.412738,3,888,566,29
2024-12-21 00:40:31.542004,2,456,310,25.8
2024-12-21 00:40:50.947649,0,892,568,32.5
2024-12-21 00:41:25.018363,3,897,579,31.5
2024-12-21 00:41:30.088478,2,457,343,25.2
2024-12-21 00:41:49.533396,0,873,545,34.2
2024-12-21 00:56:03.899717,3,880,579,28.5
2024-12-21 00:56:08.909476,2,440,336,23.5
2024-12-21 00:56:28.460011,0,899,570,29.5
2024-12-21 00:57:02.46004,3,891,571,31
2024-12-21 00:57:07.530005,2,438,290,23.5
2024-12-21 00:57:27.14062,0,906,566,31.5
2024-12-21 01:35:32.088839,0,915,582,26
2024-12-21 01:36:06.114447,3,913,596,26.2
2024-12-21 01:36:11.257928,2,448,291,24.5
2024-12-21 01:36:30.702725,0,920,578,26.5
2024-12-21 02:53:15.928257,3,900,580,26.2
2024-12-21 02:53:20.062397,2,420,282,24.2
2024-12-21 03:43:03.200979,3,898,581,28.8
2024-12-21 03:43:08.300953,2,455,322,25.2
2024-12-21 03:43:27.727801,0,924,595,28.8
2024-12-21 03:44:01.748888,3,917,586,28.5
2024-12-21 04:11:22.375521,3,884,562,26.8
2024-12-21 04:11:27.506478,2,442,289,28.2
2024-12-21 04:11:46.906333,0,908,605,27.5
2024-12-21 04:12:20.986516,3,912,571,27.5
2024-12-21 04:12:26.082446,2,470,316,28
2024-12-21 04:40:40.14013,3,882,565,29.8
2024-12-21 04:40:45.350919,2,446,307,29.8
2024-12-21 04:41:04.809349,0,907,602,30.5
2024-12-21 04:41:38.940888,3,850,545,32.5
2024-12-21 04:41:43.891925,2,469,325,28.8
2024-12-21 05:08:25.300688,0,900,577,33
2024-12-21 05:08:59.313327,3,886,576,33.8
2024-12-21 05:09:04.483894,2,436,295,28.2
2024-12-21 05:09:23.928529,0,903,594,32.8
2024-12-21 05:27:32.578553,3,884,562,38
2024-12-21 05:27:37.808945,2,423,1372,30.5
2024-12-21 05:27:57.136845,0,930,602,37.8
2024-12-21 05:28:31.210954,3,871,571,37.8
2024-12-21 05:28:36.325865,2,380,243,29.8
2024-12-21 05:28:55.745188,0,898,584,39
2024-12-21 05:42:11.458084,3,887,582,33.5
2024-12-21 05:42:16.648823,2,441,319,29.8
2024-12-21 05:42:36.169726,0,904,584,36.5
2024-12-21 05:43:10.092393,3,906,595,33.5
2024-12-21 05:43:15.208028,2,452,306,30.5
2024-12-21 05:43:34.756861,0,917,586,33.8
2024-12-21 06:55:31.127377,2,440,305,30.5
2024-12-21 06:55:50.49485,0,902,582,39.8
2024-12-21 06:56:24.538511,3,900,589,40.2
2024-12-21 06:56:29.688412,2,446,302,31
2024-12-21 06:56:49.080234,0,916,593,40.8
2024-12-21 08:35:02.445242,3,878,565,41
2024-12-21 08:35:07.606115,2,445,307,30.8
2024-12-21 08:35:26.99616,0,953,583,39.5
2024-12-21 08:36:01.162388,3,907,586,41.2
2024-12-21 08:36:06.208242,2,434,300,30.2
2024-12-21 08:36:25.627799,0,916,597,39.2
2024-12-21 09:09:13.219706,3,894,569,37.8
2024-12-21 09:09:18.439327,2,450,406,33
2024-12-21 09:09:37.731745,0,908,588,36.2
2024-12-21 09:10:11.775567,3,901,586,35.8
2024-12-21 09:10:16.927156,2,431,392,33.2
2024-12-21 10:02:21.749042,0,892,578,35
2024-12-21 10:02:55.754887,3,900,593,36.5
2024-12-21 10:03:00.987911,2,472,1382,30.5
2024-12-21 10:03:20.315193,0,944,586,36.2
2024-12-21 10:03:54.386599,3,897,583,36.8
2024-12-21 10:03:59.59475,2,446,284,30.8
2024-12-21 10:12:47.866797,2,491,294,30.5
2024-12-21 10:13:06.286023,0,849,525,37.5
2024-12-21 10:13:40.352271,3,896,575,38.8
2024-12-21 10:13:45.473316,2,456,299,30
2024-12-21 10:14:04.992837,0,924,584,37.2
2024-12-21 10:14:38.896375,3,903,593,36
2024-12-21 10:14:44.103808,2,446,1377,31.2
2024-12-21 10:15:03.456468,0,916,601,34.2
2024-12-21 10:23:50.776672,0,882,565,34.2
2024-12-21 10:24:24.882465,3,892,578,37.2
2024-12-21 10:24:30.036943,2,420,299,30.8
2024-12-21 10:24:49.466526,0,904,588,36.5
2024-12-21 10:25:23.522574,3,905,586,36.2
2024-12-21 10:25:28.613035,2,448,307,32
2024-12-21 10:25:48.016227,0,920,582,34
2024-12-21 10:26:22.062076,3,866,560,34.5
2024-12-21 10:35:09.378875,3,890,573,32.2
2024-12-21 10:35:14.550945,2,448,302,31.8
2024-12-21 10:48:49.720696,3,872,556,30.8
2024-12-21 10:48:54.810462,2,444,296,31.5
2024-12-21 10:49:14.181265,0,910,578,32.5
2024-12-21 10:49:48.341243,3,902,582,33.5
2024-12-21 10:49:53.486298,2,454,305,31.5
2024-12-21 10:50:12.902807,0,920,590,33.2
2024-12-21 10:50:46.837154,3,922,609,33.8
2024-12-21 10:50:52.047144,2,451,301,31.5
2024-12-21 10:51:11.425125,0,916,595,34.5
2024-12-21 12:35:45.191541,0,896,573,29.8
2024-12-21 12:36:14.87196,3,898,593,30
2024-12-21 12:36:20.082635,2,440,328,29
2024-12-21 12:36:39.493216,0,920,589,31.5
2024-12-21 12:37:13.553433,3,925,597,29.8
2024-12-21 12:37:18.804371,2,453,344,29.5
2024-12-21 12:37:38.024461,0,896,586,30.8
2024-12-21 12:38:12.095067,3,880,578,31
2024-12-21 12:38:17.259964,2,449,309,29.5
2024-12-21 12:38:36.584819,0,900,573,32.8
2024-12-21 13:08:53.643667,0,893,579,36.5
2024-12-21 13:09:27.048855,3,866,552,36.8
2024-12-21 13:09:32.295376,2,421,278,29.2
2024-12-21 13:09:51.548777,0,902,568,37
2024-12-21 13:10:25.695396,3,870,559,36.2
2024-12-21 13:10:30.874845,2,415,274,29.2
2024-12-21 13:10:50.149506,0,904,577,36.8
2024-12-21 13:11:24.227718,3,869,562,38.8
2024-12-21 13:11:29.431503,2,394,264,29.5
2024-12-21 13:11:48.727867,0,896,575,38.2
2024-12-21 13:12:22.8164,3,882,578,38.8
2024-12-21 13:34:50.475269,3,894,593,36.5
2024-12-21 13:34:55.714782,2,430,316,29.2
2024-12-21 13:35:14.924645,0,928,592,34.5
2024-12-21 13:35:49.046213,3,874,568,36.5
2024-12-21 13:35:54.286686,2,452,290,30.5
2024-12-21 13:36:13.547236,0,900,563,37.2
2024-12-21 13:36:47.647052,3,863,552,37.8
2024-12-21 13:36:52.8318,2,452,283,30.8
2024-12-21 13:37:12.160473,0,872,536,38.2
2024-12-21 13:37:46.257212,3,903,570,37
2024-12-21 13:37:51.433168,2,446,280,31
2024-12-21 13:38:10.702916,0,862,533,37.2
2024-12-21 14:11:56.969671,3,879,560,37.5
2024-12-21 14:12:02.165296,2,453,324,29.8
2024-12-21 14:12:21.526852,0,832,523,40
2024-12-21 14:12:55.590799,3,900,563,38.8
2024-12-21 14:13:00.7906,2,455,292,30.2
2024-12-21 14:13:20.167086,0,875,559,39.2
2024-12-21 14:13:54.263149,3,899,571,38.5
2024-12-21 14:13:59.406833,2,435,278,30.8
2024-12-21 14:14:18.73779,0,919,590,40
2024-12-21 14:14:52.751808,3,876,578,38
2024-12-21 14:14:57.966338,2,457,319,31
2024-12-21 14:15:17.36311,0,837,518,40
2024-12-21 14:15:51.343722,3,875,554,38.8
2024-12-21 14:15:56.564484,2,485,330,30.8
