time,position,h1,h2,at
2024-12-01 10:42:38.463098,0,196,978,34.2
2024-12-01 10:43:37.046518,0,196,988,34.2
2024-12-01 10:49:28.565634,0,196,988,33.5
2024-12-01 10:50:27.186798,0,196,989,33.5
2024-12-01 10:51:25.789419,0,196,988,33.2
2024-12-01 10:52:24.348042,0,196,988,33
2024-12-01 10:53:22.951,0,196,988,32.8
2024-12-01 10:54:21.58088,0,196,988,33.2
2024-12-01 10:55:20.12588,0,196,986,33.2
2024-12-01 10:57:17.348054,0,196,980,33.8
2024-12-01 10:58:15.899336,0,196,978,34.2
2024-12-01 10:59:14.525812,0,196,985,34.8
2024-12-01 11:14:52.020973,0,196,975,32.8
2024-12-01 11:15:50.581348,0,196,974,33.5
2024-12-01 11:28:32.311603,0,196,978,28
2024-12-01 12:47:38.34693,0,196,532,27.2
2024-12-01 12:48:36.991321,0,196,976,28
2024-12-01 12:49:35.432374,0,196,866,28.2
2024-12-01 12:50:34.048312,0,196,524,28.5
2024-12-01 12:51:32.712118,0,196,640,28.2
2024-12-01 12:52:31.258678,0,196,1005,28.5
2024-12-01 17:53:17.644098,0,196,884,25.5
2024-12-01 17:54:16.310589,0,196,1008,25
2024-12-01 17:55:14.805268,0,196,1006,24.8
2024-12-01 17:56:13.437061,0,196,993,26.2
2024-12-01 17:57:12.047542,0,196,991,27
2024-12-01 17:58:11.018875,0,196,939,27.8
2024-12-01 17:59:09.214233,0,196,991,28.8
2024-12-01 18:00:07.764911,0,196,945,28.5
2024-12-01 18:01:06.378329,0,196,965,29
2024-12-01 18:02:04.996587,0,196,979,30.8
2024-12-01 18:03:03.542588,0,196,971,31.2
2024-12-01 18:04:02.144092,0,196,975,31.8
2024-12-01 18:05:00.82332,0,196,1000,30.8
2024-12-01 18:05:59.315487,0,196,993,30.5
2024-12-01 18:06:57.935209,0,196,943,31.2
2024-12-01 18:07:56.541147,0,196,970,29
2024-12-01 18:08:55.076863,0,196,1008,29.5
2024-12-01 18:09:53.922127,0,196,1010,26.8
2024-12-01 18:10:52.258415,0,196,856,28.8
2024-12-01 18:11:50.873984,0,196,976,33
2024-12-01 18:12:49.474836,0,196,962,35
2024-12-01 18:13:48.051108,0,196,967,36.8
2024-12-01 18:14:46.656165,0,196,962,37.2
2024-12-01 18:15:45.257083,0,196,971,37.5
2024-12-01 18:16:43.817779,0,196,958,36.2
2024-12-01 18:17:42.439261,0,196,970,35.2
2024-12-01 18:18:41.060017,0,196,964,34.5
2024-12-01 18:19:39.580276,0,196,970,34.5
2024-12-01 18:20:38.22066,0,196,972,34.5
2024-12-01 18:21:36.806622,0,196,977,34.5
2024-12-01 18:22:35.377977,0,196,954,35
2024-12-01 18:23:34.049607,0,196,964,34.8
