time,position,h1,h2,at
2024-12-20 09:25:25.099687,3,887,573,32.8
2024-12-20 09:25:29.918224,2,442,296,30
2024-12-20 09:25:41.356623,0,901,575,32.8
2024-12-20 09:26:23.715847,3,887,575,33.8
2024-12-20 09:26:28.595946,2,444,297,30.2
2024-12-20 09:50:06.359366,0,913,589,32.2
2024-12-20 09:50:48.514998,3,863,554,34.5
2024-12-20 09:50:53.380622,2,478,336,30.2
2024-12-20 09:51:04.917748,0,854,536,33.8
2024-12-20 09:51:47.117123,3,915,603,35.2
2024-12-20 10:12:22.42188,2,486,339,30.5
2024-12-20 10:12:33.822566,0,879,562,36
2024-12-20 10:13:16.162337,3,880,548,37.5
2024-12-20 10:13:22.365934,2,456,319,30.8
2024-12-20 10:13:32.458569,0,896,584,36
2024-12-20 10:14:14.728644,3,867,562,37.2
2024-12-20 10:14:19.554063,2,464,341,30.2
2024-12-20 16:31:11.352765,3,897,589,26.2
2024-12-20 16:31:16.433613,2,456,305,25.8
2024-12-20 16:31:38.272072,0,928,598,26.2
2024-12-20 16:32:10.030097,3,897,582,26
2024-12-20 16:32:15.018633,2,434,687,25.8
2024-12-20 16:32:34.604871,0,921,590,26.8
2024-12-20 16:33:08.572499,3,907,584,27
2024-12-20 16:33:13.60565,2,460,307,26
2024-12-20 17:28:48.577525,3,908,584,26.8
2024-12-20 17:29:12.922398,0,915,581,27
2024-12-20 17:29:47.062113,3,885,589,29.2
2024-12-20 17:29:52.018809,2,445,305,26
2024-12-20 17:30:11.550693,0,930,592,28.8
2024-12-20 17:30:45.498135,3,904,589,28.8
2024-12-20 17:30:50.560593,2,448,312,26.8
2024-12-20 17:31:10.328253,0,933,591,26.8
2024-12-20 17:44:50.382764,0,844,562,34.2
2024-12-20 17:45:24.397771,3,895,560,33.2
2024-12-20 17:45:29.446802,2,461,317,27
2024-12-20 17:45:49.005669,0,872,542,34.5
2024-12-20 17:46:22.944223,3,878,573,34.2
2024-12-20 17:46:28.052017,2,457,300,26.8
2024-12-20 17:46:47.612648,0,874,557,34.8
2024-12-20 19:19:09.378415,3,910,595,27.5
2024-12-20 19:19:14.42152,2,450,314,24.5
2024-12-20 19:19:33.889726,0,931,596,26.8
2024-12-20 19:20:07.919373,3,874,569,28.2
2024-12-20 19:20:12.963716,2,451,356,25.2
2024-12-20 19:20:32.520238,0,891,554,29.8
2024-12-20 19:47:28.604743,3,929,587,28.2
2024-12-20 19:47:33.604883,2,449,406,25
2024-12-20 19:47:53.244772,0,922,580,27.8
2024-12-20 19:48:27.099411,3,901,592,28.5
2024-12-20 19:48:32.204868,2,435,319,26
2024-12-20 19:48:51.690486,0,931,599,29
2024-12-20 19:49:25.755611,3,888,573,27.8
2024-12-20 19:49:30.765532,2,446,296,26
2024-12-20 20:18:43.483591,3,862,559,30.8
2024-12-20 20:18:48.602419,2,438,279,24.8
2024-12-20 20:19:08.167011,0,891,572,32.5
2024-12-20 20:19:42.112717,3,860,549,34.5
2024-12-20 20:19:47.172808,2,454,337,24.5
2024-12-20 20:20:06.852206,0,884,566,35.2
2024-12-20 21:46:02.850161,0,912,578,28.5
2024-12-20 21:46:36.838058,3,919,590,27.8
2024-12-20 21:46:41.948793,2,456,425,24.8
2024-12-20 21:47:01.462368,0,942,585,26
2024-12-20 21:47:35.457206,3,886,564,28.8
2024-12-20 21:47:40.517798,2,454,320,25
2024-12-20 22:15:54.632221,3,890,591,34.2
2024-12-20 22:15:59.741839,2,452,318,26.2
2024-12-20 22:16:19.201969,0,892,578,36.2
2024-12-20 22:16:53.223564,3,880,573,34
2024-12-20 22:16:58.277868,2,450,336,26.2
2024-12-20 22:17:17.787843,0,868,551,36
2024-12-20 22:17:51.862504,3,873,568,34
2024-12-20 22:17:56.887166,2,439,318,26
2024-12-20 22:18:16.437618,0,930,608,34.8
2024-12-20 23:57:28.257454,3,869,542,26.2
2024-12-20 23:57:33.357011,2,455,296,23.5
2024-12-20 23:57:52.872763,0,912,584,27.5
2024-12-20 23:58:26.866731,3,912,599,27
2024-12-20 23:58:31.957647,2,446,296,24
2024-12-20 23:58:51.426226,0,934,598,27.8
2024-12-20 23:59:25.496198,3,895,579,28
