time,position,h1,h2,at
2024-12-12 00:00:18.606237,0,963,606,38
2024-12-12 00:00:31.508672,3,884,590,36
2024-12-12 00:00:45.767354,2,425,278,29
2024-12-12 00:01:17.206035,0,900,563,39.5
2024-12-12 00:01:30.191543,3,906,572,36.8
2024-12-12 00:01:44.407498,2,470,340,29
2024-12-12 00:02:15.755961,0,925,577,40.8
2024-12-12 00:02:28.692234,3,900,593,38
2024-12-12 00:02:43.03683,2,434,289,29.2
2024-12-12 00:03:14.315974,0,934,575,40
2024-12-12 00:03:27.327393,3,883,581,37
2024-12-12 00:03:41.573099,2,472,299,29.8
2024-12-12 00:04:12.936066,0,902,564,38
2024-12-12 00:04:25.93158,3,904,603,38
2024-12-12 00:04:40.16676,2,458,318,29.5
2024-12-12 00:05:11.531027,0,897,577,39.2
2024-12-12 00:05:24.471655,3,932,598,38
2024-12-12 00:05:38.842841,2,437,410,29.8
2024-12-12 00:06:10.192017,0,908,574,38
2024-12-12 00:06:23.103643,3,833,527,37
2024-12-12 00:06:37.51727,2,466,317,29.8
2024-12-12 00:07:08.697146,0,898,578,39.2
2024-12-12 00:07:21.698475,3,894,576,38.2
2024-12-12 00:07:35.962882,2,463,299,29.2
2024-12-12 00:08:07.335929,0,925,590,38.2
2024-12-12 00:08:20.30165,3,916,591,35.8
2024-12-12 00:08:34.510866,2,460,317,29.2
2024-12-12 00:09:05.939465,0,894,582,36.8
2024-12-12 00:09:18.92627,3,880,571,37.5
2024-12-12 00:09:33.124103,2,460,336,28.8
2024-12-12 00:10:04.598505,0,913,559,38.8
2024-12-12 00:10:17.464017,3,881,560,39
2024-12-12 00:10:31.740573,2,459,309,28.5
2024-12-12 00:11:03.095765,0,876,542,38.8
2024-12-12 00:11:16.114865,3,868,547,38.5
2024-12-12 00:11:30.29683,2,472,318,29
2024-12-12 00:12:01.799677,0,919,590,36.5
2024-12-12 00:12:14.644999,3,913,591,34.8
2024-12-12 00:12:28.921269,2,464,308,30
2024-12-12 00:13:00.259898,0,884,564,31.8
2024-12-12 00:13:13.241219,3,870,557,33
2024-12-12 00:13:27.53126,2,448,298,30.2
2024-12-12 00:13:58.876512,0,928,592,36.5
2024-12-12 00:14:11.847386,3,869,550,37.2
2024-12-12 00:14:26.0966,2,445,300,30
2024-12-12 00:14:57.477891,0,893,562,38.2
2024-12-12 00:15:10.418792,3,881,566,38.5
2024-12-12 00:15:24.710226,2,454,310,29.8
2024-12-12 00:15:56.107158,0,868,530,39.2
2024-12-12 00:16:09.024376,3,875,570,39
2024-12-12 00:16:23.29958,2,444,304,29.5
2024-12-12 00:16:54.663032,0,885,550,39
2024-12-12 00:17:07.639467,3,851,534,39
2024-12-12 00:17:21.908845,2,454,295,29.2
2024-12-12 00:17:53.278869,0,905,579,40
2024-12-12 00:18:06.204184,3,865,552,39.5
2024-12-12 00:18:20.470093,2,463,330,29
2024-12-12 00:18:51.879473,0,862,552,39.5
2024-12-12 00:19:04.791302,3,831,526,39.5
2024-12-12 00:19:19.13975,2,478,319,29.2
2024-12-12 00:19:50.43068,0,898,583,40.5
2024-12-12 00:20:03.411038,3,876,566,41.2
2024-12-12 00:20:17.641945,2,446,295,29
2024-12-12 00:20:49.051187,0,883,556,40.2
2024-12-12 00:21:02.081582,3,861,547,40.5
2024-12-12 00:21:16.307307,2,450,300,29
2024-12-12 00:21:47.646805,0,894,561,40.5
2024-12-12 00:22:00.618,3,878,532,40
2024-12-12 00:22:14.847602,2,465,300,29
2024-12-12 00:22:46.218705,0,863,542,41
2024-12-12 00:22:59.308203,3,852,529,41
2024-12-12 00:23:13.419073,2,468,324,29.2
2024-12-12 00:23:44.817826,0,935,606,39.8
2024-12-12 00:23:57.838841,3,906,590,38
2024-12-12 00:24:12.028461,2,427,303,29.8
2024-12-12 00:24:43.418432,0,842,546,38.5
2024-12-12 00:24:56.423923,3,865,530,38.2
2024-12-12 00:25:10.629571,2,488,330,30
2024-12-12 00:25:42.039576,0,875,557,40
2024-12-12 00:25:54.969739,3,814,510,39.2
2024-12-12 00:26:09.205481,2,551,380,30.2
2024-12-12 00:26:40.594955,0,902,574,40.8
