time,position,h1,h2,at
2024-12-08 03:21:01.413002,3,886,562,28.8
2024-12-08 03:21:15.933156,2,454,306,25.2
2024-12-08 06:01:56.841923,0,790,581,37.2
2024-12-08 06:02:23.879759,2,462,317,30.2
2024-12-08 06:02:55.297759,0,874,554,40.2
2024-12-08 06:03:53.933198,0,899,583,39.5
2024-12-08 06:04:06.404737,3,889,568,37.2
2024-12-08 06:04:52.469031,0,916,582,37.2
2024-12-08 06:05:04.997172,3,871,558,36
2024-12-08 06:05:19.601795,2,457,322,30.8
2024-12-08 08:35:42.97885,2,490,364,34.5
2024-12-08 08:36:41.550069,2,472,320,34.2
2024-12-08 08:37:12.999615,0,881,532,45.8
2024-12-08 08:37:40.091343,2,440,304,33.8
2024-12-08 08:38:38.707894,2,482,316,33.8
2024-12-08 08:39:22.701831,3,883,580,45.5
2024-12-08 08:39:37.322163,2,429,2709,34
2024-12-08 08:57:43.448731,0,920,612,42.2
2024-12-08 08:58:10.563813,2,455,302,33.2
2024-12-08 08:59:40.624601,0,827,528,41.8
2024-12-08 08:59:53.150487,3,850,528,42.2
2024-12-08 09:00:07.774851,2,487,314,32.8
2024-12-08 09:30:24.171797,2,506,362,34.2
2024-12-08 09:30:55.587055,0,874,560,43
2024-12-08 09:31:08.118212,3,848,547,47.2
2024-12-08 09:31:22.722608,2,469,323,33.8
2024-12-08 09:31:54.297767,0,905,587,44
2024-12-08 10:50:28.756763,2,453,320,33.8
2024-12-08 10:52:57.441426,0,909,598,38
2024-12-08 10:53:09.991178,3,898,561,37
2024-12-08 10:53:24.54204,2,432,2525,34.5
2024-12-08 10:54:57.305166,0,942,604,36.8
2024-12-08 10:56:05.768665,3,866,552,37.5
2024-12-08 10:56:20.298968,2,443,299,34.5
2024-12-08 10:56:51.833072,0,868,581,38.5
2024-12-08 13:20:25.096125,0,895,571,32.5
2024-12-08 13:20:52.091944,2,466,241,30.5
2024-12-08 13:21:23.631129,0,882,568,31.8
2024-12-08 13:21:50.750679,2,468,308,30.8
2024-12-08 13:22:22.246675,0,875,549,33.2
2024-12-08 13:22:34.717883,3,896,585,32.8
2024-12-08 13:23:20.79351,0,922,601,33.8
2024-12-08 13:24:31.85018,3,898,583,34.2
2024-12-08 17:55:48.064312,0,910,577,29.8
2024-12-08 17:56:15.294939,2,449,314,27
2024-12-08 17:56:46.619657,0,935,590,28.8
2024-12-08 17:57:13.925201,2,456,330,27.2
2024-12-08 17:57:57.80133,3,926,595,27.5
2024-12-08 17:58:12.478774,2,551,318,28.8
2024-12-08 17:58:43.901088,0,918,603,27.2
2024-12-08 17:59:11.086592,2,469,308,28.8
2024-12-08 17:59:55.018597,3,913,584,30.2
2024-12-08 18:00:41.024151,0,863,533,30
2024-12-08 18:00:53.603734,3,845,534,30.2
2024-12-08 18:16:31.065026,3,859,546,33.2
2024-12-08 18:16:45.73613,2,468,336,29
2024-12-08 18:17:17.056318,0,930,604,34
2024-12-08 18:17:29.661573,3,884,572,33.8
2024-12-08 18:17:44.357084,2,458,333,28.5
2024-12-08 18:18:15.677396,0,875,552,35.2
2024-12-08 18:18:28.276769,3,881,565,34
2024-12-08 18:18:42.922508,2,453,412,28.2
2024-12-08 18:19:26.88764,3,892,588,34.5
2024-12-08 18:20:12.873895,0,908,586,35.2
2024-12-08 18:40:43.287889,0,903,595,37.8
2024-12-08 18:40:55.88849,3,899,582,37.2
2024-12-08 18:41:41.89984,0,866,570,35.5
2024-12-08 18:41:54.543086,3,870,584,36
2024-12-08 18:42:40.564912,0,929,599,32.8
2024-12-08 18:42:53.113415,3,920,599,32.5
2024-12-08 18:43:39.065922,0,928,587,32
2024-12-08 18:43:51.664138,3,881,566,32.2
2024-12-08 18:44:06.41902,2,453,301,29
2024-12-08 18:44:37.845596,0,859,525,34.2
2024-12-08 18:44:50.284772,3,874,555,35.8
2024-12-08 19:02:39.612303,2,457,418,27.8
2024-12-08 19:23:41.398838,0,883,564,38.2
2024-12-08 19:23:53.976294,3,872,566,39.5
2024-12-08 19:24:08.663428,2,468,328,27.2
2024-12-08 19:26:05.830013,2,446,400,28
2024-12-08 19:26:49.794942,3,865,543,32.8
2024-12-08 19:27:04.425096,2,474,429,28.2
2024-12-08 19:27:48.3855,3,908,570,32.2
2024-12-08 19:28:03.055764,2,483,347,28.2
2024-12-08 19:28:46.941763,3,900,597,28.8
2024-12-08 19:50:30.688198,2,475,323,27.5
2024-12-08 19:52:00.634083,0,887,561,35.2
2024-12-08 19:53:11.773641,3,876,560,35
2024-12-08 19:53:57.794124,0,886,564,37
2024-12-08 20:11:59.721761,2,469,420,27.8
2024-12-08 20:29:07.133789,0,928,596,31
2024-12-08 20:30:05.737067,0,919,595,31.5
2024-12-08 20:31:16.910595,3,851,525,31.2
2024-12-08 20:32:15.531042,3,888,581,33.2
2024-12-08 20:32:30.161319,2,508,340,26.5
2024-12-08 22:06:59.005577,3,886,585,28.8
2024-12-08 22:07:13.691603,2,462,316,25
2024-12-08 22:13:36.594797,0,920,590,28.8
2024-12-08 22:13:49.195889,3,847,532,28.2
2024-12-08 22:14:03.850216,2,495,336,25.5
2024-12-08 22:14:35.158881,0,871,546,28.5
2024-12-08 22:20:26.699675,0,910,590,26.2
2024-12-08 03:47:10.931149,0,902,572,28.8
2024-12-08 03:47:23.409366,3,905,590,29.5
2024-12-08 03:48:10.166673,0,908,584,30
2024-12-08 03:48:22.127604,3,902,579,30.5
2024-12-08 07:00:44.819073,3,868,570,39.8
2024-12-08 07:00:59.36209,2,445,309,30
2024-12-08 07:01:43.42297,3,900,585,40.5
2024-12-08 07:02:29.467116,0,920,592,41.8
2024-12-08 07:03:28.078217,0,920,585,37.5
2024-12-08 08:36:14.379182,0,914,580,44.2
2024-12-08 08:36:26.960436,3,885,575,43.8
2024-12-08 08:37:25.490366,3,836,761,46.5
2024-12-08 08:38:24.101584,3,893,578,45.2
2024-12-08 08:39:10.15098,0,884,571,45
2024-12-08 08:40:08.752146,0,848,546,45.8
2024-12-08 08:40:35.854041,2,451,340,34.5
2024-12-08 09:01:06.376245,2,442,405,33.8
2024-12-08 09:01:37.835706,0,916,588,40.2
2024-12-08 09:01:50.345017,3,882,570,40.8
2024-12-08 09:02:36.465926,0,922,596,39.5
2024-12-08 09:04:33.634341,0,863,540,41.8
2024-12-08 09:39:11.449901,2,434,299,34.8
2024-12-08 09:39:43.241848,0,900,578,35.5
2024-12-08 09:39:55.506696,3,899,586,34.5
2024-12-08 09:40:41.686675,0,914,590,36
2024-12-08 09:40:54.126565,3,907,596,35.2
2024-12-08 09:41:52.677582,3,893,582,39.8
2024-12-08 09:42:07.252556,2,451,316,35.2
2024-12-08 10:51:00.292454,0,920,596,36.5
2024-12-08 10:53:56.04041,0,920,604,36.8
2024-12-08 10:54:08.592662,3,902,582,35.8
2024-12-08 10:54:23.181892,2,432,309,35.2
2024-12-08 10:55:07.255851,3,902,594,36.8
2024-12-08 10:55:21.746693,2,459,292,35
2024-12-08 10:55:53.211547,0,911,592,38.5
2024-12-08 13:20:37.590815,3,886,570,32.5
2024-12-08 13:21:36.076216,3,909,603,31.2
2024-12-08 13:22:49.30784,2,462,1392,30.2
2024-12-08 13:23:33.354561,3,899,562,33
2024-12-08 13:23:47.888688,2,464,310,30.5
2024-12-08 13:24:19.313729,0,912,566,34.8
2024-12-08 13:25:30.475277,3,893,575,32
2024-12-08 13:25:45.105642,2,463,1402,31.5
2024-12-08 17:56:00.644882,3,892,580,29.8
2024-12-08 17:56:59.229527,3,887,583,28.5
2024-12-08 17:57:45.207518,0,931,592,28.5
2024-12-08 17:58:56.476201,3,893,566,27.2
2024-12-08 17:59:42.397065,0,914,585,29.2
2024-12-08 18:00:09.757804,2,449,303,28.2
2024-12-08 18:19:14.282714,0,907,575,35.5
2024-12-08 18:19:41.533096,2,469,408,28.5
2024-12-08 18:20:25.449047,3,878,567,34.2
2024-12-08 18:20:40.143898,2,462,312,29
2024-12-08 18:21:11.514613,0,860,525,36.5
2024-12-08 18:21:24.174796,3,873,547,34.5
2024-12-08 18:22:10.07622,0,922,590,34.8
2024-12-08 18:22:37.309853,2,461,307,27.5
2024-12-08 18:23:08.615943,0,895,584,34.8
2024-12-08 18:42:09.373138,2,458,298,29.5
2024-12-08 18:43:07.753851,2,458,313,29.5
2024-12-08 18:45:04.92978,2,453,297,28
2024-12-08 18:45:36.340761,0,891,568,34.8
2024-12-08 19:03:23.554879,3,891,575,36
2024-12-08 19:04:09.504326,0,882,564,34.8
2024-12-08 19:04:36.813796,2,444,312,28
2024-12-08 19:05:08.130616,0,936,602,34.8
2024-12-08 19:05:20.700254,3,870,557,35.2
2024-12-08 19:06:06.855998,0,880,613,35
2024-12-08 19:06:19.32495,3,857,552,35
2024-12-08 19:06:33.975391,2,443,303,28.2
2024-12-08 19:07:32.596431,2,472,331,28.5
2024-12-08 19:28:34.376921,0,922,612,29
2024-12-08 19:29:01.621888,2,470,314,28.2
2024-12-08 19:29:32.963348,0,933,592,28.8
2024-12-08 19:30:44.157623,3,904,588,28.8
2024-12-08 19:30:58.822887,2,464,323,28
2024-12-08 19:31:30.20454,0,918,588,29.5
2024-12-08 19:31:57.495274,2,458,306,27
2024-12-08 19:52:13.252548,3,874,558,35
2024-12-08 19:52:27.898021,2,480,342,27.2
2024-12-08 19:52:59.308453,0,887,565,35.5
2024-12-08 19:53:26.443684,2,478,324,27.2
2024-12-08 19:54:10.394384,3,879,570,35.5
2024-12-08 19:54:25.034346,2,477,324,27.2
2024-12-08 19:54:56.355217,0,909,565,35.5
2024-12-08 19:55:08.984367,3,889,565,35.5
2024-12-08 19:56:07.54071,3,878,581,34.8
2024-12-08 19:56:22.226004,2,464,324,27
2024-12-08 20:12:31.063243,0,927,589,31.2
2024-12-08 20:12:43.772004,3,910,586,28.8
2024-12-08 20:12:58.381914,2,447,323,28.2
2024-12-08 20:13:42.367917,3,910,581,31
2024-12-08 20:13:56.902564,2,462,329,28.8
2024-12-08 20:14:40.873213,3,842,530,32
2024-12-08 20:15:39.484906,3,888,573,33.2
2024-12-08 20:15:54.113691,2,460,308,28.8
2024-12-08 20:16:52.665021,2,460,326,28.8
2024-12-08 20:33:14.09715,3,906,588,33.8
2024-12-08 20:33:28.767627,2,442,306,26.5
2024-12-08 22:08:43.608643,0,912,587,27.5
2024-12-08 22:08:56.222143,3,880,564,27
2024-12-08 22:13:05.299557,2,440,729,26
2024-12-08 03:47:37.947318,2,464,322,25.8
2024-12-08 03:49:08.091594,0,896,568,30.8
2024-12-08 07:01:30.86733,0,900,585,42.5
2024-12-08 08:40:21.267532,3,842,535,46
2024-12-08 08:41:07.317871,0,843,528,46.2
2024-12-08 08:41:19.934707,3,843,513,46.2
2024-12-08 08:41:34.534342,2,484,344,33.5
2024-12-08 08:42:05.940003,0,888,562,46
2024-12-08 08:42:18.565138,3,868,559,46
2024-12-08 08:42:33.039931,2,424,280,32.5
2024-12-08 08:43:04.571173,0,902,571,46.2
2024-12-08 08:43:17.055726,3,828,530,45.5
2024-12-08 08:43:31.660617,2,475,356,32.2
2024-12-08 08:44:03.111025,0,892,570,46.2
2024-12-08 08:44:15.676608,3,875,572,46
2024-12-08 08:45:01.738569,0,857,541,45.2
2024-12-08 08:45:14.292086,3,878,1539,44.2
2024-12-08 09:05:32.184899,0,850,514,42.8
2024-12-08 09:05:44.904237,3,825,526,42.5
2024-12-08 09:06:30.895319,0,917,580,40
2024-12-08 09:06:43.405716,3,900,580,38.5
2024-12-08 09:11:36.283691,3,875,566,42
2024-12-08 09:12:22.354317,0,891,569,39.5
2024-12-08 09:12:49.494958,2,488,333,34
2024-12-08 09:13:20.904991,0,880,555,41
2024-12-08 09:40:10.057564,2,448,380,35
2024-12-08 10:51:12.792324,3,902,586,35.8
2024-12-08 10:51:27.352717,2,440,302,34
2024-12-08 10:51:58.82339,0,917,579,37.5
2024-12-08 10:52:11.409746,3,901,583,36.5
2024-12-08 10:52:26.019905,2,455,382,34.5
2024-12-08 10:57:18.902071,2,497,356,35
2024-12-08 13:24:46.498245,2,454,386,30.8
2024-12-08 13:25:17.929049,0,924,588,32.5
2024-12-08 13:26:16.590009,0,936,592,31
2024-12-08 13:26:29.06999,3,874,560,30.8
2024-12-08 18:01:08.262942,2,498,318,28.5
2024-12-08 18:01:39.623329,0,889,547,30
2024-12-08 18:01:52.194395,3,894,588,30.5
2024-12-08 18:02:38.229069,0,938,602,30
2024-12-08 18:03:05.549064,2,450,341,29
2024-12-08 18:21:38.689636,2,465,337,28.8
2024-12-08 18:22:22.615245,3,885,583,34.2
2024-12-08 18:23:21.226021,3,924,606,33.8
2024-12-08 18:23:35.925898,2,489,312,28.2
2024-12-08 18:24:19.836001,3,890,570,33.8
2024-12-08 18:24:34.476705,2,478,382,28.2
2024-12-08 18:25:18.443724,3,887,582,33.5
2024-12-08 18:26:04.392096,0,889,564,35.2
2024-12-08 18:26:16.992165,3,875,565,35.2
2024-12-08 18:45:48.810705,3,870,562,35
2024-12-08 18:46:03.546223,2,478,334,28
2024-12-08 18:46:47.437443,3,882,570,36.8
2024-12-08 18:47:33.702841,0,888,583,34.8
2024-12-08 18:47:46.062061,3,870,549,34.8
2024-12-08 18:48:00.702722,2,455,312,29
2024-12-08 18:48:32.058869,0,894,571,35
2024-12-08 18:48:44.670692,3,892,580,36
2024-12-08 18:48:59.303488,2,515,357,29.8
2024-12-08 18:49:43.213363,3,883,569,36.2
2024-12-08 18:49:57.983611,2,485,348,29.5
2024-12-08 19:08:03.925107,0,918,582,36.5
2024-12-08 19:08:16.496781,3,890,565,36.5
2024-12-08 19:08:31.182705,2,469,424,28.2
2024-12-08 19:09:02.748172,0,910,597,36.8
2024-12-08 19:09:29.757531,2,468,1380,28.8
2024-12-08 19:10:01.399378,0,943,612,32.8
2024-12-08 19:10:28.38817,2,452,319,28.8
2024-12-08 19:11:12.28442,3,886,567,31.2
2024-12-08 19:11:58.292546,0,896,568,33.2
2024-12-08 19:12:10.869496,3,887,566,33.5
2024-12-08 19:29:45.542653,3,906,586,29.2
2024-12-08 19:30:00.447662,2,466,323,28
2024-12-08 19:30:31.583965,0,925,597,28
2024-12-08 19:31:42.703431,3,878,566,31.2
2024-12-08 19:32:28.744612,0,899,573,31.5
2024-12-08 19:32:41.37452,3,877,560,32.5
2024-12-08 19:32:56.006965,2,458,298,26.5
2024-12-08 19:55:23.804794,2,483,324,27.8
2024-12-08 19:55:55.026195,0,898,573,34
2024-12-08 19:56:53.586354,0,892,577,33.8
2024-12-08 19:57:06.146134,3,901,560,34
2024-12-08 19:57:20.871812,2,466,320,27.5
2024-12-08 19:57:52.122704,0,888,567,34.5
2024-12-08 19:58:19.516798,2,470,322,27.2
2024-12-08 19:59:03.432657,3,882,566,35.8
2024-12-08 19:59:49.464368,0,936,569,36.2
2024-12-08 20:00:01.933222,3,903,581,34.8
2024-12-08 20:14:55.513564,2,498,357,29
2024-12-08 20:15:26.865139,0,891,567,35
2024-12-08 20:16:25.485899,0,902,593,33.5
2024-12-08 20:16:38.03432,3,896,572,32.5
2024-12-08 20:17:24.050851,0,906,574,34.2
2024-12-08 20:18:35.211606,3,892,576,33
2024-12-08 20:34:00.079667,0,931,606,30.5
2024-12-08 20:34:12.686373,3,878,574,29.2
2024-12-08 20:34:58.681749,0,903,588,32
2024-12-08 20:35:11.316248,3,878,572,31.5
2024-12-08 20:35:25.956406,2,443,318,28.2
2024-12-08 20:37:08.4497,3,862,526,31.8
2024-12-08 20:37:54.466474,0,894,577,33.5
2024-12-08 20:38:07.069911,3,886,564,32.8
2024-12-08 22:14:47.818631,3,871,550,28
2024-12-08 22:15:02.398381,2,518,369,25.8
2024-12-08 22:21:25.325364,0,897,565,28.8
2024-12-08 22:21:52.571305,2,451,336,27
2024-12-08 22:22:51.220981,2,491,388,27.8
2024-12-08 22:23:22.461751,0,872,580,31.2
2024-12-08 22:23:35.106234,3,902,597,31
2024-12-08 22:23:49.966888,2,456,312,28
2024-12-08 03:48:36.558197,2,481,342,25.8
2024-12-08 07:01:57.992647,2,462,313,31
2024-12-08 07:02:41.959401,3,910,588,39.5
2024-12-08 07:02:56.58897,2,447,1385,32
2024-12-08 08:44:30.287261,2,452,316,32.5
2024-12-08 08:45:28.807408,2,424,272,31.8
2024-12-08 09:05:59.264948,2,457,330,33.8
2024-12-08 09:06:57.896755,2,464,344,35.2
2024-12-08 09:07:29.352369,0,901,577,39.2
2024-12-08 09:07:41.891254,3,899,590,39
2024-12-08 09:07:56.486415,2,463,371,35.2
2024-12-08 09:08:27.947412,0,874,574,40.5
2024-12-08 09:08:40.546642,3,896,586,40
2024-12-08 09:41:08.636984,2,446,1396,35.5
2024-12-08 09:41:40.356306,0,896,564,39.8
2024-12-08 09:42:38.725242,0,883,582,42.8
2024-12-08 09:42:51.287333,3,887,564,43.5
2024-12-08 09:43:05.852861,2,441,321,35.8
2024-12-08 09:43:37.327519,0,912,577,42
2024-12-08 09:43:49.854695,3,891,581,43.8
2024-12-08 09:44:04.412843,2,458,334,35
