time,position,h1,h2,at
2024-12-03 01:39:32.237158,0,196,941,38.2
2024-12-03 01:40:30.79094,0,196,968,39.2
2024-12-03 01:42:28.027005,0,196,891,36.5
2024-12-03 01:54:11.178401,0,196,983,36.5
2024-12-03 01:57:06.896243,0,196,965,41.2
2024-12-03 01:58:05.455401,0,196,856,41.2
2024-12-03 03:49:25.148962,0,196,531,37.5
2024-12-03 03:51:22.420328,0,196,1003,37.5
2024-12-03 04:19:41.508749,0,196,962,36.5
2024-12-03 04:51:55.187646,0,196,974,38.5
2024-12-03 04:52:53.634772,0,196,975,38.8
2024-12-03 04:53:52.58161,0,196,985,39.8
2024-12-03 04:55:49.416111,0,196,948,42.5
2024-12-03 05:07:32.55495,0,196,992,40.8
2024-12-03 05:08:31.195326,0,196,982,38.5
2024-12-03 05:10:28.472061,0,196,1006,35.5
2024-12-03 05:21:12.857785,0,196,954,43
2024-12-03 05:36:50.335972,0,196,844,38.5
2024-12-03 05:37:48.897792,0,196,958,38.2
2024-12-03 05:38:47.907884,0,196,876,39.5
2024-12-03 05:40:44.669494,0,196,974,43.8
2024-12-03 05:54:24.94193,0,196,936,41.5
2024-12-03 05:55:23.561169,0,196,998,43.5
2024-12-03 06:15:09.530111,0,196,968,44.8
2024-12-03 06:16:08.111502,0,196,1011,44.5
2024-12-03 06:28:49.972857,0,471,966,48
2024-12-03 08:24:03.822791,0,196,990,41.2
2024-12-03 08:25:02.449222,0,196,884,38.8
2024-12-03 08:26:59.624936,0,196,866,39.2
2024-12-03 08:27:58.231216,0,196,970,39.8
2024-12-03 08:41:38.523691,0,196,962,44.8
2024-12-03 08:44:34.293324,0,196,959,46
2024-12-03 09:10:56.360648,0,196,744,36.8
2024-12-03 09:11:55.525778,0,196,977,38.8
2024-12-03 09:12:53.526919,0,196,980,39.2
2024-12-03 10:56:32.639208,2,1276,1282,24.8
2024-12-03 10:57:23.001712,0,196,940,40.2
2024-12-03 11:09:06.105208,0,196,964,42.8
2024-12-03 11:10:04.727762,0,196,714,42.2
2024-12-03 11:11:03.27168,0,196,964,42.5
2024-12-03 11:11:18.727214,2,1278,1282,23.5
2024-12-03 11:12:01.869426,0,196,862,42.5
2024-12-03 11:13:15.907084,2,1278,1282,23.5
2024-12-03 11:19:07.527113,2,1276,1282,23.8
2024-12-03 11:21:47.802486,0,196,967,43.2
2024-12-03 11:23:01.867848,2,1277,0,23.8
2024-12-03 11:23:45.059864,0,196,876,41
2024-12-03 11:32:32.327741,0,198,827,44.2
2024-12-03 11:39:22.53947,0,196,979,38.8
2024-12-03 11:40:21.038932,0,196,923,39.5
2024-12-03 11:41:19.688828,0,196,885,42.8
2024-12-03 11:53:18.260326,2,1277,1282,24
2024-12-03 11:55:15.439664,2,1278,1282,24
2024-12-03 12:05:01.389953,2,1276,1282,24
2024-12-03 12:05:44.525038,0,196,939,44.8
2024-12-03 12:06:58.520206,2,1276,1282,24.2
2024-12-03 12:07:57.170124,2,1276,1282,24.2
2024-12-03 12:15:45.849665,2,1279,1282,24.5
2024-12-03 12:16:29.161935,0,463,991,46.5
2024-12-03 12:17:44.21984,2,1279,1282,24.5
2024-12-03 12:19:24.870379,0,468,627,46.2
2024-12-03 12:19:40.229649,2,1277,1282,24.8
2024-12-03 12:26:14.97677,0,496,750,47.2
2024-12-03 12:26:30.439557,2,1277,1282,24.8
2024-12-03 12:27:13.571231,0,440,940,47.8
2024-12-03 12:27:28.984538,2,1277,1282,24.8
2024-12-03 12:28:12.159592,0,424,914,47.8
2024-12-03 12:28:27.580626,2,1278,1281,24.8
2024-12-03 12:29:10.749458,0,478,766,47.5
2024-12-03 12:29:26.229939,2,1277,1280,24.8
2024-12-03 12:30:09.355618,0,462,965,49.5
2024-12-03 12:30:24.819729,2,1278,1280,24.8
2024-12-03 12:31:07.922009,0,476,962,52
2024-12-03 12:37:14.929723,2,1276,1283,24.8
2024-12-03 12:37:58.070857,0,458,843,45.5
2024-12-03 12:39:55.24866,0,450,947,45.2
2024-12-03 12:40:10.699615,2,1281,1284,24.5
2024-12-03 12:40:53.913438,0,437,930,46
2024-12-03 12:42:07.909422,2,1281,1284,24.2
2024-12-03 12:48:42.65068,0,456,959,46.8
2024-12-03 12:49:41.191523,0,467,954,48.2
2024-12-03 12:50:40.037823,0,497,768,42.2
2024-12-03 12:51:38.430867,0,479,747,44
