time,position,h1,h2,at
2024-12-22 01:23:48.861793,3,911,580,25.5
2024-12-22 01:23:54.071432,2,448,314,24.8
2024-12-22 01:24:13.237189,0,925,594,25.2
2024-12-22 01:24:47.36718,3,909,592,26.2
2024-12-22 01:24:52.688209,2,449,303,25
2024-12-22 01:25:11.847382,0,914,580,26.5
2024-12-22 02:51:42.201915,3,896,579,26.2
2024-12-22 02:51:47.467216,2,464,318,24
2024-12-22 02:52:06.582544,0,924,589,26.8
2024-12-22 02:52:40.683384,3,897,583,27.5
2024-12-22 02:52:46.028856,2,457,299,24
2024-12-22 03:13:11.109668,3,892,571,27.5
2024-12-22 03:13:16.513638,2,502,354,24.5
