time,position,h1,h2,at
2024-12-09 00:38:37.771469,2,458,300,23.5
2024-12-09 00:39:06.931945,0,931,597,26.2
2024-12-09 00:39:19.4472,3,916,597,25.2
2024-12-09 00:39:34.152845,2,460,336,24.2
2024-12-09 00:40:05.553702,0,937,607,24
2024-12-09 00:40:18.083144,3,925,603,23
2024-12-09 00:40:32.812781,2,440,284,24.5
2024-12-09 00:41:04.038638,0,904,572,23.8
2024-12-09 00:41:16.633156,3,880,556,25
2024-12-09 00:41:31.373168,2,454,308,25
2024-12-09 00:42:02.608804,0,922,578,25.2
2024-12-09 00:42:15.244005,3,906,531,26.8
2024-12-09 00:42:29.914417,2,472,317,25.2
2024-12-09 00:43:01.27461,0,913,574,26
2024-12-09 00:43:13.869863,3,862,543,27.8
2024-12-09 00:43:28.624481,2,525,365,25.5
2024-12-09 00:43:59.835203,0,923,590,27.2
2024-12-09 00:44:12.415174,3,924,606,28.8
2024-12-09 00:44:27.145462,2,477,336,25.8
2024-12-09 00:44:58.38598,0,906,571,28
2024-12-09 00:45:11.006443,3,928,592,28.8
2024-12-09 00:45:25.696069,2,468,300,26
2024-12-09 00:45:57.007156,0,896,565,28
2024-12-09 00:46:09.616503,3,840,543,28.8
2024-12-09 00:46:24.331699,2,474,318,26
2024-12-09 00:46:55.607337,0,882,550,28
2024-12-09 00:47:08.232315,3,882,551,28
2024-12-09 00:47:22.932459,2,477,378,26
2024-12-09 01:03:44.547566,3,909,591,25.2
2024-12-09 01:03:58.987337,2,462,320,22.8
2024-12-09 01:04:30.327937,0,937,610,26.2
2024-12-09 01:04:42.847871,3,914,602,26
2024-12-09 01:04:57.669075,2,456,321,23.2
2024-12-09 01:05:28.818927,0,936,611,23.5
2024-12-09 01:05:41.461868,3,909,590,23.8
2024-12-09 01:05:56.311612,2,456,298,24
2024-12-09 01:06:27.423011,0,910,575,26
2024-12-09 01:06:40.054446,3,932,621,26.5
2024-12-09 01:06:54.767167,2,464,305,23.5
2024-12-09 01:07:26.061956,0,927,593,25.5
2024-12-09 01:07:38.607452,3,913,588,25.2
2024-12-09 01:07:53.368739,2,476,328,24.2
2024-12-09 01:25:00.658614,0,931,594,24.5
2024-12-09 01:25:28.047537,2,449,314,22.5
2024-12-09 01:25:59.393593,0,937,604,23.8
2024-12-09 01:26:11.897557,3,919,602,23
2024-12-09 01:26:26.60846,2,478,310,23.5
2024-12-09 01:26:57.884098,0,926,586,24
2024-12-09 01:27:10.493377,3,906,590,24.8
2024-12-09 01:27:25.205431,2,444,297,24
2024-12-09 01:27:56.485,0,877,549,26
2024-12-09 01:28:09.059105,3,856,544,26.5
2024-12-09 01:28:23.825302,2,492,329,24.8
2024-12-09 01:28:55.045845,0,931,604,26.2
2024-12-09 01:29:07.680423,3,902,584,26.2
2024-12-09 01:29:22.45567,2,450,302,24.8
2024-12-09 01:29:53.666321,0,906,559,26.5
2024-12-09 01:30:06.287016,3,881,564,27.2
2024-12-09 01:30:21.007454,2,457,328,24.8
2024-12-09 01:30:52.217349,0,922,577,27.2
2024-12-09 01:31:04.946424,3,899,570,27
2024-12-09 01:31:19.672049,2,448,334,23.8
2024-12-09 01:31:50.830015,0,886,554,28
2024-12-09 01:32:03.442512,3,904,571,27.8
2024-12-09 01:32:18.17184,2,484,332,24
2024-12-09 01:32:49.443426,0,885,557,28
2024-12-09 01:33:02.072501,3,931,610,27.5
2024-12-09 01:33:16.773235,2,446,415,24.8
2024-12-09 01:33:47.99318,0,887,564,27.8
2024-12-09 01:34:00.636713,3,868,548,27.8
2024-12-09 01:34:15.377102,2,461,323,25.5
2024-12-09 01:34:46.681942,0,929,593,27.8
2024-12-09 01:34:59.229493,3,910,598,28.8
2024-12-09 01:35:13.953967,2,474,334,25.2
2024-12-09 01:35:45.221701,0,909,577,28.5
2024-12-09 01:35:57.831233,3,926,608,30
2024-12-09 01:36:12.55024,2,454,369,26
2024-12-09 01:36:43.781048,0,910,589,29.8
2024-12-09 01:36:56.423413,3,874,553,29.5
2024-12-09 01:37:11.24097,2,475,334,26.5
2024-12-09 01:37:42.387632,0,910,571,28.5
2024-12-09 01:37:55.022041,3,879,558,29
2024-12-09 01:38:09.702596,2,491,528,26
2024-12-09 01:38:40.983268,0,886,578,30.8
2024-12-09 01:38:53.682343,3,878,566,29.5
2024-12-09 01:39:08.366722,2,430,322,26
2024-12-09 01:39:39.608379,0,944,592,28
2024-12-09 01:39:52.187162,3,914,592,26.5
2024-12-09 01:40:06.957441,2,470,317,25.5
2024-12-09 02:04:04.373945,0,932,607,26
2024-12-09 02:04:16.980724,3,917,590,24.8
2024-12-09 02:04:31.768437,2,464,324,23.2
2024-12-09 02:05:02.991441,0,912,582,24.5
2024-12-09 02:05:15.601119,3,911,583,25
2024-12-09 02:05:30.379199,2,494,1389,24
2024-12-09 02:06:01.551748,0,873,570,25.8
2024-12-09 02:06:14.15103,3,903,598,26
2024-12-09 02:06:28.945014,2,490,337,24.8
2024-12-09 02:07:00.157648,0,880,568,27.5
2024-12-09 02:07:12.778326,3,881,566,27.5
2024-12-09 02:07:27.501251,2,448,410,25.2
2024-12-09 02:07:58.819526,0,946,607,26.8
2024-12-09 02:08:11.388845,3,925,589,26.5
2024-12-09 02:08:26.092654,2,462,341,25.2
2024-12-09 03:00:11.583762,2,448,306,23.5
2024-12-09 03:59:46.420738,2,445,306,26.2
2024-12-09 04:00:17.008027,0,911,576,27.8
2024-12-09 04:00:29.472521,3,890,572,27.5
2024-12-09 04:00:44.290746,2,442,315,26
2024-12-09 04:01:15.438418,0,908,578,28.5
2024-12-09 05:06:41.131842,0,905,578,30.8
2024-12-09 05:06:53.812939,3,903,584,28.8
2024-12-09 05:07:08.693002,2,498,302,26
2024-12-09 05:07:39.744081,0,906,582,31.8
2024-12-09 05:07:52.332958,3,896,584,29.5
2024-12-09 05:08:07.191574,2,502,302,26.2
2024-12-09 05:08:38.345204,0,906,577,32.5
2024-12-09 05:08:50.955315,3,897,586,30
2024-12-09 05:09:05.829757,2,502,301,26.5
2024-12-09 08:53:20.480167,0,916,594,33.2
2024-12-09 08:53:27.197134,3,895,582,32.8
2024-12-09 08:53:42.141371,2,460,334,30
2024-12-09 08:54:13.147607,0,881,548,33.5
2024-12-09 08:54:25.867534,3,896,589,32.8
2024-12-09 08:54:40.781892,2,454,328,29.8
2024-12-09 13:28:51.270696,3,898,574,28.5
2024-12-09 13:29:05.464272,2,411,284,28
2024-12-09 13:29:36.225176,0,914,586,29.5
2024-12-09 13:29:48.848986,3,906,588,29
2024-12-09 13:30:03.959935,2,451,306,28
2024-12-09 13:30:34.795613,0,921,589,28.5
2024-12-09 13:30:47.463056,3,912,593,28.2
2024-12-09 13:31:02.568277,2,424,292,28.5
2024-12-09 13:31:33.34075,0,926,593,27.8
2024-12-09 13:31:46.108241,3,905,595,27.5
2024-12-09 13:32:01.267541,2,461,349,28.5
2024-12-09 13:32:31.967193,0,876,556,28.8
2024-12-09 14:13:32.858508,0,899,576,34
2024-12-09 14:13:45.572937,3,890,579,34.8
2024-12-09 14:14:00.776504,2,444,294,27.2
2024-12-09 14:14:31.396361,0,876,569,34.5
2024-12-09 14:14:44.111442,3,867,554,35.2
2024-12-09 14:14:59.188468,2,428,460,27
2024-12-09 14:15:30.027682,0,903,563,34.2
2024-12-09 14:15:42.678395,3,885,566,35.2
2024-12-09 14:15:57.861779,2,497,352,28.8
2024-12-09 14:16:28.638171,0,883,522,33.8
2024-12-09 14:16:41.30859,3,829,528,34.8
2024-12-09 14:16:56.482267,2,472,402,30
2024-12-09 14:17:27.189878,0,896,564,34.8
2024-12-09 14:17:39.924857,3,885,564,35.5
2024-12-09 14:17:55.042603,2,454,310,30
2024-12-09 14:18:25.78049,0,896,577,35
2024-12-09 14:18:38.452838,3,920,585,34.2
2024-12-09 14:18:53.580895,2,446,303,30
2024-12-09 14:51:38.044076,0,916,583,37.2
2024-12-09 14:51:50.621241,3,863,556,38.2
2024-12-09 14:52:05.810871,2,441,291,27.8
2024-12-09 14:52:36.525061,0,934,589,35.5
2024-12-09 14:52:49.221929,3,890,589,35.5
2024-12-09 14:53:04.474189,2,474,323,29.5
2024-12-09 14:53:35.248158,0,893,570,34.2
2024-12-09 14:53:47.891593,3,880,563,35.2
2024-12-09 14:54:02.931711,2,452,300,28.5
2024-12-09 14:54:33.805208,0,899,574,35.2
2024-12-09 14:55:01.586814,2,450,298,27.5
2024-12-09 14:55:32.301311,0,904,575,35.8
2024-12-09 14:55:45.005998,3,870,555,37.2
2024-12-09 14:56:00.211519,2,452,304,27.2
2024-12-09 14:56:30.89462,0,897,565,36.5
2024-12-09 14:56:43.618725,3,829,541,37
2024-12-09 14:56:58.749443,2,480,298,28
2024-12-09 14:57:29.528964,0,891,580,36.5
2024-12-09 14:57:42.168315,3,897,578,36.8
2024-12-09 14:57:57.311189,2,464,298,28.8
2024-12-09 15:20:09.867681,3,902,577,32.8
2024-12-09 15:20:24.947491,2,445,414,27
2024-12-09 15:20:55.738255,0,951,604,31.2
2024-12-09 15:21:08.443648,3,886,590,31
2024-12-09 15:21:23.609771,2,456,297,28.8
2024-12-09 15:21:54.298557,0,869,553,31.8
2024-12-09 15:22:07.004738,3,840,523,32
2024-12-09 15:22:22.174348,2,424,286,28.5
2024-12-09 15:22:52.96969,0,881,560,35.5
2024-12-09 15:23:05.630073,3,819,524,35.2
2024-12-09 16:01:56.641274,0,924,581,31.5
2024-12-09 16:02:09.3661,3,886,570,31.8
2024-12-09 16:02:24.441144,2,459,307,27.8
2024-12-09 16:02:55.266463,0,876,540,34.5
2024-12-09 16:03:07.962021,3,833,536,34
2024-12-09 16:03:23.071654,2,456,324,27.5
2024-12-09 16:03:53.892087,0,860,540,36
2024-12-09 16:04:06.551901,3,864,558,35
2024-12-09 16:16:48.216949,3,901,597,33.2
2024-12-09 16:17:03.336829,2,476,560,29.8
2024-12-09 16:17:34.143047,0,925,589,34
2024-12-09 16:17:46.818136,3,841,525,32.8
2024-12-09 16:18:01.978887,2,479,1414,30.2
2024-12-09 16:18:32.694776,0,913,587,33.5
2024-12-09 16:18:45.504357,3,894,579,32.8
2024-12-09 16:19:00.56442,2,448,297,30.5
2024-12-09 16:19:31.323999,0,917,584,34
2024-12-09 16:19:44.010638,3,904,575,33.2
2024-12-09 16:19:59.124641,2,454,294,30.8
2024-12-09 16:20:29.941565,0,868,541,33.2
2024-12-09 16:20:42.618457,3,840,554,33.5
2024-12-09 16:20:57.867219,2,461,302,30.8
2024-12-09 16:21:28.595533,0,901,578,33.8
2024-12-09 16:21:41.246082,3,876,567,33.2
2024-12-09 16:21:56.275908,2,464,330,30
2024-12-09 17:23:58.425523,0,900,576,34.5
2024-12-09 17:24:11.144038,3,900,591,34
2024-12-09 17:24:26.42995,2,438,342,26.5
2024-12-09 17:24:57.124823,0,931,599,32.2
2024-12-09 17:25:09.765251,3,912,591,30.2
2024-12-09 17:25:24.886255,2,458,346,27.5
2024-12-09 17:25:55.714795,0,906,596,30.2
2024-12-09 17:26:08.354787,3,886,566,29.8
2024-12-09 17:26:23.530136,2,464,319,27.8
2024-12-09 17:26:54.332508,0,883,585,29.8
2024-12-09 18:32:35.743037,3,890,568,36
2024-12-09 18:32:47.789029,2,444,290,29.8
2024-12-09 18:33:18.607396,0,945,599,33.8
2024-12-09 18:33:31.405712,3,930,600,33
2024-12-09 18:33:46.3682,2,434,307,29.2
2024-12-09 18:34:17.161674,0,920,576,34.2
2024-12-09 18:34:29.90867,3,890,570,33.2
2024-12-09 18:34:44.915787,2,449,295,28
2024-12-09 18:35:15.772116,0,904,570,33.5
2024-12-09 18:35:28.449795,3,892,572,33.2
2024-12-09 18:35:43.538494,2,460,306,27.5
2024-12-09 18:36:14.328336,0,940,584,33.5
2024-12-09 18:36:27.058178,3,880,564,32.5
2024-12-09 18:36:42.13573,2,468,307,27.8
2024-12-09 18:37:12.926675,0,898,580,34.8
