time,position,h1,h2,at
2024-12-07 03:01:51.209726,0,918,586,30.2
2024-12-07 03:02:03.492517,3,898,584,30
2024-12-07 03:02:23.879041,2,471,306,30
2024-12-07 03:02:49.835736,0,908,582,30.5
2024-12-07 03:03:02.12371,3,899,581,30.2
2024-12-07 03:03:48.421421,0,922,592,30.5
2024-12-07 03:45:47.827566,0,917,588,29.8
2024-12-07 03:46:46.457344,0,913,595,28
2024-12-07 03:46:58.756643,3,911,598,28.2
2024-12-07 03:47:57.371837,3,920,596,28.5
2024-12-07 03:48:43.676729,0,900,573,27.2
2024-12-07 04:38:06.031975,2,462,314,28.8
2024-12-07 04:38:31.839763,0,889,561,30.8
2024-12-07 04:38:44.149151,3,871,553,31.8
2024-12-07 06:29:25.699422,2,470,316,26.8
2024-12-07 06:29:51.366267,0,916,588,29.5
2024-12-07 06:30:03.681823,3,904,587,30.8
2024-12-07 06:30:24.191587,2,439,383,27.8
2024-12-07 06:30:49.926986,0,912,585,31.5
2024-12-07 10:46:41.712095,0,906,591,34.5
2024-12-07 10:46:53.51592,3,926,594,34
2024-12-07 10:47:14.242689,2,472,789,30.5
2024-12-07 10:47:52.116959,3,918,600,34
2024-12-07 10:48:12.782064,2,454,307,30.5
2024-12-07 10:49:36.941526,0,901,584,34.5
2024-12-07 12:28:27.195057,3,851,541,42.2
2024-12-07 12:29:13.396107,0,892,560,43.2
2024-12-07 03:03:22.51993,2,468,345,30
2024-12-07 03:46:00.179431,3,909,594,29.5
2024-12-07 03:46:20.587039,2,436,298,32
2024-12-07 03:47:19.172008,2,430,288,32
2024-12-07 03:47:45.053142,0,921,593,27
2024-12-07 03:48:17.817474,2,428,278,32.2
2024-12-07 03:48:55.939487,3,887,568,29.8
2024-12-07 03:49:16.672487,2,473,320,31.8
2024-12-07 03:49:42.206588,0,859,534,28
2024-12-07 04:39:04.598316,2,445,311,29
2024-12-07 06:31:02.241748,3,897,577,32.5
2024-12-07 06:31:22.827313,2,458,303,27.2
2024-12-07 10:48:50.672579,3,914,600,33.8
